Year,ERF
1850,0.08297044615824746
1851,-0.06842457547125734
1852,-0.045995206402108295
1853,0.3132308980176632
1854,-0.2570526958532806
1855,-0.3813673484234135
1856,0.18398877462610239
1857,-0.3353515806826649
1858,-0.2341607879697674
1859,-0.5588192398921736
1860,0.0660983936475273
1861,0.22655111900671504
1862,-0.47283935889589707
1863,0.001614207243501739
1864,-0.6858424372212316
1865,0.16431608249460566
1866,-0.23076189941902264
1867,0.29891711765382073
1868,-0.47073101867015904
1869,-0.20612281084939632
1870,-0.4125572492458651
1871,0.40891334448410493
1872,-0.19673192746432322
1873,0.2681943215785562
1874,-0.14831370446803915
1875,0.4212888173530809
1876,-0.6037486268144464
1877,0.37194438826781157
1878,-0.14852521444207453
1879,-0.34632916635010325
1880,-0.1827228906092614
1881,0.034103623832471355
1882,0.023017909540606833
1883,-0.09037559736494183
1884,-0.38452146278786953
1885,-0.01992104586089756
1886,-0.516125592550388
1887,0.06766956712794255
1888,-0.671963532053887
1889,-0.4479270342316385
1890,-0.25194386711843353
1891,-0.44014111143685364
1892,-0.07237818406876284
1893,-1.00217065940673
1894,-0.5598995941749064
1895,-0.38946396644246684
1896,-0.2122664563470843
1897,0.03332818498887352
1898,-0.8458003063825809
1899,-0.22564541173465827
1900,-0.6339097043670644
1901,-0.20447822276301655
1902,-0.6310540206358874
1903,-0.8391452886206544
1904,-0.3900550298658895
1905,-0.26523357323738544
1906,-0.5442881332413624
1907,-0.5153178865554258
1908,-0.3467150693343942
1909,-0.19852989724543543
1910,-0.2971069649932596
1911,-0.29943807809282436
1912,-0.2761173015987002
1913,-1.4251923732591814
1914,-0.8090037638947343
1915,-0.5178006096597332
1916,-0.3134324909078756
1917,-0.4142988562440256
1918,-0.1399468350422553
1919,-0.753276249646166
1920,-0.5940639473693354
1921,-0.6628632400379633
1922,-0.6030459600548874
1923,-0.8230628318609763
1924,-0.5635035418396568
1925,-1.1699755019029507
1926,-1.098255389018461
1927,-0.7523590427062832
1928,-0.8289359765230617
1929,-0.9026208506569229
1930,-0.8165746303161643
1931,-1.1120344510458866
1932,-1.3504227427723203
1933,-0.7049013657856796
1934,-0.9004636039534909
1935,-0.8150579347270547
1936,-0.639535365757899
1937,-0.9302707051446544
1938,-0.7507369894322466
1939,-1.25874791154067
1940,-0.6535144037299052
1941,-0.6217614361602309
1942,-1.03631084332156
1943,-0.6980749336428905
1944,-0.35897276420380037
1945,-1.4409973403895986
1946,-0.03835223490128592
1947,-1.0854696901883873
1948,-0.7539275847915553
1949,-1.304473770228103
1950,-0.9788815538200928
1951,-1.3995313385457377
1952,-1.2475408054216082
1953,-0.9280517315441911
1954,-0.8251808606453646
1955,-1.6199507019965766
1956,-0.940377459132072
1957,-1.3239938169536134
1958,-0.8550620704004277
1959,-1.7725305435763912
1960,-1.3071748048116842
1961,-1.4313202498344126
1962,-1.0796832037518493
1963,-1.516223935899874
1964,-1.3886067703625065
1965,-0.7637443582373362
1966,-1.3837162162635477
1967,-1.6951020710450724
1968,-2.0430104218536917
1969,-1.1457916889772437
1970,-1.2593947576464526
1971,-1.6455129720598598
1972,-2.0297107461874377
1973,-1.7664576163120325
1974,-1.298203502145365
1975,-2.7115069967810355
1976,-2.2359460926577626
1977,-1.4971239437526025
1978,-1.9485790482368408
1979,-1.901344031238392
1980,-2.1394338608439796
1981,-1.7546619268031056
1982,-1.897148122324196
1983,-1.612426276289923
1984,-1.5559367325230435
1985,-1.7053052867157081
1986,-2.807507856174634
1987,-1.6902617607028219
1988,-1.5473640582462571
1989,-1.4034048608821061
1990,-1.7354578967493863
1991,-2.002649606371234
1992,-2.2171549925942466
1993,-1.63842488644255
1994,-1.5745960361330444
1995,-1.836365321337384
1996,-1.8355487826497803
1997,-1.814680741861403
1998,-2.0871246735955156
1999,-1.4436615038368568
2000,-1.432650541288547
2001,-1.520373186066299
2002,-1.7354685443192188
2003,-1.3853451329755384
2004,-1.2747220743635324
2005,-1.410552886562721
2006,-1.5303637660119105
2007,-1.0754683376206708
2008,-1.616898637125085
2009,-1.6545631209456284
2010,-1.2757837925008593
2011,-1.693445625581041
2012,-1.3296469316212334
2013,-1.9639662514435665
2014,-0.9976783729308547
2015,-1.8724324525367297
2016,-1.3290302111276104
2017,-1.3581474129507725
2018,-0.75519507768141
2019,-1.071549446385672
2020,-1.0735470186268095
