Year,tas_diff
1850,-0.042608992299973045
1851,-0.150970359283526
1852,-0.011327429406486976
1853,-0.058484258130451675
1854,-0.09567744838723727
1855,-0.07048381336080727
1856,-0.2163886398568648
1857,-0.28786034283996753
1858,-0.10334955351460128
1859,-0.11129482623879189
1860,-0.11571321922389069
1861,0.061340068692441185
1862,-0.1427168242007896
1863,-0.1690173143733243
1864,-0.1368080142238855
1865,0.0010675582804150208
1866,0.023597111791324073
1867,-0.035399713327536546
1868,-0.035144814033237555
1869,0.06706070032535746
1870,-0.17674712042586066
1871,-0.27367999534278437
1872,-0.2818305014405881
1873,-0.28198495805279694
1874,-0.2631787333327231
1875,-0.11460870213730301
1876,-0.14248994977404186
1877,-0.17122104215860373
1878,-0.2440386662901356
1879,-0.19635599431794534
1880,-0.14858964611936976
1881,-0.18402218094311235
1882,-0.10155624073581627
1883,-0.21414684731392158
1884,-0.05712150384585751
1885,-0.13973372188001482
1886,-0.0796674557358025
1887,-0.2777544190581665
1888,-0.10733079400451145
1889,-0.14327213232216174
1890,-0.07822851920574994
1891,-0.03262313662003066
1892,-0.12296234359792368
1893,-0.0256545983401478
1894,-0.04323569529702048
1895,0.12631130984599082
1896,-0.064720392181184
1897,-0.030292718989511913
1898,-0.009428639025818447
1899,-0.150039241082628
1900,-0.007479028594933081
1901,0.032902285321249294
1902,0.06472186249420542
1903,-0.1326457288333758
1904,-0.0975825572219795
1905,-0.1433312447335395
1906,0.0284258733633828
1907,-0.09928489334515614
1908,0.10288006947906972
1909,-0.11576817323883265
1910,-0.08011909144536658
1911,-0.04011302004077186
1912,0.09450933363915605
1913,0.0843767089346991
1914,0.041789266995465285
1915,0.15339610575375617
1916,0.10636085871179315
1917,0.05993656119699603
1918,-0.028669393462925685
1919,-0.13120648780299224
1920,-0.12439055075170757
1921,-0.08468581194679003
1922,-0.125837127376753
1923,-0.2754408564652949
1924,-0.05160431925092584
1925,-0.012832195226646873
1926,-0.1458860593070022
1927,-0.07297189918669442
1928,-0.05101308119179035
1929,-0.20516012036757642
1930,-0.29050452293673934
1931,-0.09949153495881946
1932,-0.2688518251596554
1933,0.06545223966506294
1934,0.20356656336108592
1935,-0.06363919638176035
1936,-0.2516063192721893
1937,0.00493740562036514
1938,-0.03151438263951488
1939,-0.03748464510692209
1940,0.13921185631333421
1941,-0.09133542434952405
1942,-0.0363808146770112
1943,-0.11653505123986861
1944,-0.2316417126782024
1945,-0.03390804427928127
1946,-0.016322467752339698
1947,-0.06194970310323576
1948,-0.15128275698159444
1949,-0.11366539817103206
1950,-0.07570619301541913
1951,-0.198499805505338
1952,-0.1653900643569131
1953,-0.1300563597384924
1954,-0.06810501193039178
1955,0.0430160419838788
1956,0.10370633911491849
1957,0.10885354158978845
1958,0.058412158445129425
1959,-0.003243048164615403
1960,0.0018029252334616497
1961,-0.031221853569422177
1962,0.10651394104051944
1963,-0.24969063814365808
1964,-0.09725980060032664
1965,-0.14532670737664244
1966,-0.2595872090598761
1967,-0.1389624953087245
1968,-0.10518857144552765
1969,-0.01971591079960161
1970,-0.13017482373976855
1971,-0.16761657250019546
1972,-0.04208110364998277
1973,0.0013247588413371342
1974,-0.04540746805813692
1975,-0.08566018865123064
1976,-0.06390587901093872
1977,0.04517721756824403
1978,-0.07162500545473151
1979,0.022141853677522014
1980,0.09170257899140571
1981,0.06088395630558832
1982,0.05413954846735981
1983,0.13259004994453932
1984,0.003937877847047147
1985,-0.0016180513641191052
1986,0.014925099099304381
1987,-0.1791605045416598
1988,-0.08991580711337528
1989,-0.21815182338626005
1990,-0.030213185121731434
1991,-0.12463426573500302
1992,-0.13281419393356234
1993,-0.13895276515033372
1994,0.008043571828069918
1995,-0.12047324478517335
1996,-0.05108459566091239
1997,-0.013565437938766106
1998,-0.030411828642452232
1999,0.005052693875500225
2000,-0.033116553086445885
2001,0.18309704944067112
2002,0.15906128198734568
2003,-0.03752318008697432
2004,0.1223946518269059
2005,0.11725828788872919
2006,-0.009572983152679848
2007,0.06930755857086737
2008,0.015395579186858771
2009,0.11777056553463801
2010,-0.08680146986015207
2011,-0.14933556567085382
2012,-0.0038130993336454033
2013,-0.14159082722852573
2014,-0.1382341238160162
2015,-0.10392357088602966
2016,0.06751145434593574
2017,-0.10736588726184343
2018,-0.15295366516395914
2019,-0.18153435968911552
2020,0.046697740840888624
