Year,ERF
1850,0.6028436360035095
1851,0.02292676083720807
1852,-0.21027310500956964
1853,-0.04874066954957973
1854,0.006455121542223521
1855,0.3597473771218505
1856,0.5075495708163535
1857,0.12566905878174478
1858,-0.42595263537461114
1859,-0.421338885894634
1860,-0.09053442969503274
1861,-0.6492421231029751
1862,-0.2727619398688971
1863,-0.08994052112832589
1864,0.22149121171971964
1865,0.48694634277857485
1866,-0.45211844000196616
1867,-0.02551820076282825
1868,0.4476537939836026
1869,0.4300739223706929
1870,0.2576404158508859
1871,0.6168816315499809
1872,-0.047784721772802255
1873,-0.49814677327733803
1874,-0.22381615432566643
1875,0.0735166247975357
1876,-0.11587916094457708
1877,0.12977092782136054
1878,-0.23384512557398268
1879,0.1759660577147414
1880,0.04557634467800243
1881,-0.3354206893582348
1882,0.3229364808433592
1883,-1.0680442184984305
1884,-2.148664161026364
1885,-0.533304374474091
1886,-0.26326981396800114
1887,-0.5539964424030979
1888,0.28701916737890654
1889,-0.15421327168247306
1890,-0.5735422195395643
1891,0.3773759679268315
1892,0.11552825436819562
1893,-0.6173707308925684
1894,-0.07954834215404066
1895,0.07587630586166505
1896,0.001192620117227032
1897,-0.3283446561674442
1898,0.08550856522467955
1899,0.058439588704867006
1900,-0.22143011826336723
1901,0.19800982155666244
1902,-0.395901337714556
1903,-0.9328474650114673
1904,-0.8974441943637947
1905,-0.04086507526715771
1906,0.27276107580465414
1907,-0.45201276105416793
1908,0.03461039895089198
1909,-0.4051920659803484
1910,-0.15464445049736741
1911,-0.6690794696945797
1912,-0.7349881206370551
1913,-0.7038750644265266
1914,-0.10861921396378421
1915,-0.08800255767478943
1916,-0.25344736692006964
1917,-0.2513663983953673
1918,-0.4434488300987727
1919,0.4579833702926663
1920,-0.0714539874469115
1921,0.18645061790947098
1922,-0.6108472955776245
1923,-0.22934743735625773
1924,-0.4230831157293883
1925,0.010697408226532423
1926,-0.5147330094134619
1927,-0.25969923277457474
1928,-0.8003952710871949
1929,-0.36469744068705057
1930,0.563132134149464
1931,0.5246055732415557
1932,-0.29645983890506383
1933,0.27354079677046916
1934,0.1870765635311654
1935,0.048625182664803486
1936,0.16965469147979811
1937,0.27982925578996637
1938,-0.5985290716951777
1939,0.10746504184988381
1940,0.2990640823483259
1941,-0.007894398773456745
1942,0.15728102199016888
1943,-0.04552790236182435
1944,0.1752313952757062
1945,-0.009257520440850747
1946,0.19975438485765895
1947,0.1891738377030398
1948,-0.30780907175741257
1949,0.18790978929946056
1950,-0.07702053226934508
1951,0.6989981385381752
1952,0.02442368714298554
1953,-0.006293766667462022
1954,0.2087857790356491
1955,-0.050107548057621354
1956,0.208045512718825
1957,-0.041624755535021096
1958,0.557723636016648
1959,-0.24152336169159222
1960,0.6166709227062818
1961,-0.08250638196355367
1962,-0.16728512051630495
1963,-1.990998358610507
1964,-1.0514673363440639
1965,-0.712062188102009
1966,-0.048047874995163276
1967,-0.4685796349576917
1968,-0.14944258559124513
1969,0.16772591634163192
1970,0.008927376152710123
1971,-0.06799580767268437
1972,-0.5643119814797628
1973,-0.00795822544750821
1974,-0.5853970904911863
1975,-0.6729091102786291
1976,-0.24446715044360026
1977,-0.18288067214839676
1978,0.3287789464638309
1979,0.21385360360882316
1980,0.19267853392278447
1981,0.1439441404907408
1982,-0.547567930790078
1983,-0.9314982908566092
1984,-0.719017918126971
1985,0.21899410666789407
1986,0.07740694921480576
1987,-0.10875809463482315
1988,0.0423971372947351
1989,0.31582244097930734
1990,-0.026111782084247186
1991,-0.6733518609603477
1992,-1.8605116791985634
1993,-1.0528482963812824
1994,-0.5887213879566832
1995,0.049027427576620375
1996,-0.2567820146849616
1997,0.03888001499248947
1998,-0.06453036346418424
1999,0.3578401516436626
2000,-0.2836902023968872
2001,0.039846737952798694
2002,0.20565612894923171
2003,-0.1213607051181729
2004,-0.05603323060368362
2005,-0.4347227669347944
2006,0.1322686033400482
2007,-0.0625863225473422
2008,0.368852491473442
2009,-0.3228356655130124
2010,0.11035481860417212
2011,-0.2337320007463467
2012,-0.16532979685046148
2013,0.11626432276687307
2014,0.0055634089269503
2015,-0.14288758816416786
2016,-0.05668449852307289
2017,-0.27907792465185177
2018,-0.33049583416466255
2019,0.22620945035309248
2020,-0.6625365095145317
