Year,ERF
1850,0.0732821168490716
1851,-0.4418499173748468
1852,-0.17996312143708454
1853,-0.08914706458503628
1854,-0.16406615439571018
1855,-0.08075692816944724
1856,0.2293018219571654
1857,-0.42628538593227927
1858,0.23091531261282663
1859,-0.015272482204717636
1860,-0.3561396932204275
1861,-0.44502869671323786
1862,-0.4713071192169895
1863,-0.12207224039191497
1864,-0.15086598651202057
1865,0.028226396209623902
1866,-0.04077095006510772
1867,-0.10108578176325114
1868,-0.010403277350340273
1869,-0.2524433345918659
1870,0.16406123646022333
1871,-0.16134903212489612
1872,-0.4657806257972884
1873,-0.33946698204835324
1874,0.35809969276997194
1875,0.3477180640484909
1876,-0.3101780727294762
1877,-0.5479171645391023
1878,-0.12249210360268535
1879,0.08692215817413247
1880,0.20108474095090068
1881,-0.05220212287230827
1882,0.5488072684741921
1883,-1.1244920622310655
1884,-1.1924870937806067
1885,-0.5168948443612016
1886,0.39660470165023876
1887,0.12214292322131814
1888,-0.12146412835498616
1889,0.5073854604973947
1890,-0.46135854380359104
1891,-0.22345758477451172
1892,0.12458413079740621
1893,-0.21668064624014682
1894,0.2725081217840568
1895,0.22064695977681692
1896,-0.2035764268957022
1897,0.3982413327511782
1898,0.21363749754343955
1899,0.20134576490632025
1900,0.257503794273608
1901,0.474486813822482
1902,-0.24573649957703356
1903,-0.8619924013421013
1904,-0.29943738141578463
1905,-1.1034788165269078
1906,0.5632083649985866
1907,0.5831167848608062
1908,0.5144652629975071
1909,-0.07991849507498047
1910,0.44952311267072725
1911,-0.00621391490829358
1912,-0.35297045557961926
1913,-0.9786976445430179
1914,0.0997645164337096
1915,0.2941753357382602
1916,0.541387874379943
1917,0.1387871556353905
1918,0.722080372340194
1919,0.3871207379197506
1920,0.2895447166795474
1921,0.23390766473080465
1922,0.20112675157812604
1923,0.1705540061822413
1924,0.04928247823737933
1925,0.005248174064535038
1926,0.8880350371274436
1927,0.4871118527544289
1928,0.14263753373888502
1929,-0.6135380147954489
1930,0.6002201952809372
1931,0.4715363247400546
1932,0.16570591544497326
1933,0.05475049533301707
1934,0.6824552963281661
1935,0.9013723575123207
1936,0.11224396737137099
1937,0.5520494178993622
1938,0.4791658792013985
1939,0.6152214599726497
1940,0.1178945898844595
1941,0.296831448554243
1942,0.8433927244343131
1943,0.3972273110527183
1944,0.40749041868245356
1945,0.2512874974777355
1946,0.6734527175722342
1947,0.559350263526793
1948,0.7777860038568172
1949,0.3477231747868491
1950,0.3003277951088777
1951,0.6321904701000125
1952,0.3561121318264696
1953,0.7276244138589418
1954,0.41263514683258273
1955,0.44273225661823684
1956,0.06932963610049714
1957,1.0315927316405895
1958,0.7075035651599935
1959,0.6783635553811027
1960,0.6266434684043614
1961,0.8786784530149674
1962,0.49604304161038143
1963,-1.682714495415123
1964,-0.08650130877007488
1965,0.5267661082467178
1966,0.7278018266618721
1967,0.42127360583065887
1968,0.6995874623570426
1969,0.18086852795491098
1970,0.6171351105128574
1971,0.7429188972211761
1972,0.6173811204467259
1973,0.6714206783785441
1974,0.9523706683630655
1975,0.896374970392084
1976,0.7661872071913797
1977,1.1611352552263774
1978,1.2151712747608179
1979,1.2156225548186095
1980,0.6017018737049062
1981,0.8802159923006355
1982,1.18163586775765
1983,0.49093375834273045
1984,0.22725911684275124
1985,0.598104807062638
1986,1.1395756310925511
1987,1.488876626416491
1988,0.968680604405846
1989,1.4148706591294746
1990,1.9262485688348514
1991,0.8636803139152922
1992,-1.4641198769562136
1993,0.7350341733035862
1994,1.4864038293809
1995,0.9243524853047987
1996,1.7665367034979456
1997,1.702812719222874
1998,1.8743205577859605
1999,2.0326717233209384
2000,2.09663293443978
2001,1.0284881626383848
2002,2.2083414333820635
2003,1.7914977577440667
2004,2.164819946382075
2005,1.7379049294387683
2006,1.9679709389708242
2007,1.74801889986823
2008,2.1175074348467082
2009,2.039380088151852
2010,1.9978474474000816
2011,1.7259753389434351
2012,2.410145465811226
2013,2.765665374199987
2014,1.6751449074703815
2015,2.528800816114255
2016,2.444068426031291
2017,2.4838704252438726
2018,2.30022987805215
2019,2.408793639099368
2020,2.857494283909083
2021,1.7853880776518856
2022,2.5430906738421912
2023,2.5453001835660944
2024,2.2242702873956963
2025,2.7259922175304494
2026,2.837492905511163
2027,2.8757329592397327
