Year,tas_diff
1850,-0.035236309063075295
1851,0.10522213757960353
1852,0.08331474740177702
1853,-0.08978171308909134
1854,-0.06545826832778122
1855,0.1353548776147483
1856,0.17790056547785177
1857,0.2662123230335271
1858,0.22983560127729857
1859,0.0077628386943665445
1860,0.09570086326317027
1861,0.24319978924764862
1862,0.18358409173235057
1863,0.11838120007740646
1864,0.1703163285815729
1865,0.18152132195127635
1866,0.08272557474406461
1867,0.020840399951826058
1868,-0.02165812001233275
1869,0.048027904495885676
1870,-0.019870697967864726
1871,0.06383579926189739
1872,0.08778726558882155
1873,0.046641007137510515
1874,0.01784014341792159
1875,-0.24554057638249022
1876,0.028498622653653938
1877,0.07852392628168647
1878,0.06244805821208438
1879,0.046822122459425894
1880,0.03417951612132349
1881,-0.09970329402678763
1882,0.07225643553186448
1883,-0.03143723379154949
1884,-0.04762464415112763
1885,0.05620682907578292
1886,0.18959235117732995
1887,0.1680976447985806
1888,0.1721637616585536
1889,0.23711414380403567
1890,0.12904250351580548
1891,0.167691545604016
1892,0.10616589340321303
1893,0.1797995294508909
1894,0.09055346776143249
1895,-0.049108634522950924
1896,-0.05112244967077101
1897,0.042347666809385065
1898,0.06851352906809755
1899,-0.11582351927314674
1900,-0.18295383363579332
1901,0.020275110968546714
1902,0.13297655677289266
1903,-0.04580782894050792
1904,0.04627768555078058
1905,0.02346325928199182
1906,0.0385042108399755
1907,0.11432416305322729
1908,0.18315969373459273
1909,0.09998767362067115
1910,0.20606692295438303
1911,0.1159812932784883
1912,0.07377590793697614
1913,-0.05959179596482954
1914,-0.07844741945153866
1915,-0.14484914225809806
1916,-0.13183943760306047
1917,-0.03709133432632945
1918,-0.1731035918181788
1919,0.09841589124268718
1920,0.039974504637853625
1921,-0.25396150464009215
1922,-0.17022990356919118
1923,-0.05514750709566439
1924,-0.11042137713663029
1925,-0.2521464691408946
1926,-0.13484311864743923
1927,-0.07730984347224103
1928,-0.04885291668671643
1929,-0.2502760516752299
1930,-0.19345287141374384
1931,-0.046191326503245936
1932,-0.02764743689909277
1933,-0.1753986237829529
1934,-0.18207272328381105
1935,-0.13782183935947556
1936,-0.25487052870581595
1937,-0.3074764074954223
1938,-0.3848646980781181
1939,-0.2578401081536977
1940,0.0018325710760243863
1941,-0.03248120890952738
1942,-0.11065448575243042
1943,-0.04160867551765286
1944,0.013602791097049233
1945,0.018910943627973825
1946,0.10096328547525502
1947,0.05601618680023812
1948,-0.11227642603289578
1949,-0.19591199502792725
1950,-0.14734176328609785
1951,-0.10490618616935228
1952,0.20291207138682196
1953,-0.08239403466506623
1954,0.037090746469445865
1955,-0.124419733055421
1956,-0.030050126421856047
1957,-0.251758723072686
1958,-0.279750853373675
1959,0.0015103532697257754
1960,-0.0987964256162391
1961,-0.10322061450634726
1962,-0.23302006480665677
1963,-0.21909836700521731
1964,0.025740235954623034
1965,-0.07475229073966529
1966,-0.13174727421823818
1967,0.003075749350995992
1968,-0.04085716186155902
1969,-0.16941252016744196
1970,-0.149715439150893
1971,-0.23682097136469646
1972,-0.2548458781677192
1973,-0.2607913394411565
1974,-0.20685407835940695
1975,0.04531518813781557
1976,-0.0005721831226080387
1977,-0.15754680306020874
1978,0.1484163389348902
1979,-0.012957257700998471
1980,0.004177076265026218
1981,-0.03523855155984859
1982,-0.06723966130053788
1983,-0.1264453791286092
1984,-0.19058655505528022
1985,-0.24290514882630077
1986,-0.3819370517259888
1987,-0.3423917337610749
1988,-0.3704465753376109
1989,-0.3907729516909033
1990,-0.2303256714519838
1991,-0.10939395051535514
1992,-0.1022127049051888
1993,-0.2890281691404599
1994,-0.44060535866262196
1995,-0.41129801423006024
1996,-0.308344180909483
1997,-0.3066998101735075
1998,-0.3490493855215727
1999,-0.23435369264329453
2000,-0.20255176951860687
2001,-0.2750427126540964
2002,-0.25844580841832443
2003,-0.10645454042016445
2004,-0.24005053070121973
2005,-0.37531495406304305
2006,-0.13093273697342955
2007,-0.28885724323453243
2008,-0.3882575822571487
2009,-0.006042217080249879
2010,-0.06414063314474383
2011,-0.10896838874910242
2012,-0.3294871026422477
2013,-0.47234345344820383
2014,-0.20206425334082967
