Year,tas_diff
1850,-0.05642110238636907
1851,-0.03847369369785275
1852,-0.20895062968782444
1853,-0.05504171947258556
1854,-0.23723474618483345
1855,-0.29093275763964155
1856,-0.08893177870873403
1857,0.08711255808723445
1858,0.03439123437466331
1859,0.1264086728633781
1860,0.03729722833022851
1861,0.03309829217474171
1862,-0.16521551299777817
1863,0.08420537360352948
1864,0.07915156284064119
1865,-0.11456334118441938
1866,-0.01269166443423439
1867,0.017311094476313724
1868,-0.13749004184912572
1869,-0.10812521424975761
1870,-0.17330173412611044
1871,-0.0860176090285845
1872,-0.20174412419670693
1873,-0.03359156014724408
1874,0.002893943251157563
1875,-0.27852995132996483
1876,-0.30831906532245473
1877,-0.35330246281394556
1878,-0.5631449253301175
1879,-0.22342566535663633
1880,-0.2856493396382045
1881,-0.3066061970010199
1882,-0.10828049552317064
1883,-0.14924721022416834
1884,-0.2746282193655102
1885,-0.3451114383275588
1886,-0.16208812156810815
1887,-0.2829310663581428
1888,-0.4495842928217423
1889,-0.486222297829331
1890,-0.2257333111031178
1891,-0.24995969605242815
1892,-0.3098213052571107
1893,-0.2949552199770716
1894,-0.19185941703622175
1895,-0.2749462525156612
1896,-0.04258898801644897
1897,-0.1748308577336955
1898,-0.26465882380524663
1899,-0.09767878333356363
1900,-0.013524551572292154
1901,-0.17027943375888133
1902,-0.29271907128674
1903,-0.017517441097293217
1904,-0.0104589933715356
1905,-0.15507971514644064
1906,-0.043856073848788826
1907,-0.07139827126662662
1908,-0.011975253049735901
1909,-0.30309648784974064
1910,-0.13208669915157817
1911,-0.11501402618575868
1912,-0.09617615054943687
1913,-0.2240133871071504
1914,-0.17591583258368762
1915,-0.1391655004547119
1916,-0.14702355777776904
1917,-0.10860337588949656
1918,-0.061444281077369454
1919,-0.11276203188485523
1920,-0.43830505646696016
1921,-0.06877123591007547
1922,-0.09230509468002093
1923,-0.2622710715618378
1924,-0.24191173609113445
1925,-0.1740889342282335
1926,-0.13712777388540284
1927,-0.4002252213009581
1928,-0.2814796994745069
1929,-0.35160815650254007
1930,-0.24518345150220028
1931,-0.22125811873640613
1932,-0.10524367957996228
1933,-0.1440319648996723
1934,-0.27449442444482214
1935,-0.31279112005586335
1936,-0.1485452373666674
1937,-0.28902523408865627
1938,-0.25187267742575187
1939,-0.2241160418792956
1940,-0.1488213702316464
1941,-0.4504076588707172
1942,-0.13095331021869047
1943,-0.19851528062608692
1944,-0.25820984044159095
1945,-0.27745925109443703
1946,-0.3056066308393346
1947,-0.11473129879986083
1948,0.1247908940995466
1949,-0.08243015010893956
1950,-0.05107277540815337
1951,0.001844870006343216
1952,-0.16761357886716743
1953,-0.09722717533323419
1954,-0.2704050307047348
1955,-0.283110476930565
1956,-0.15679711543866723
1957,-0.13328759689976427
1958,-0.12924294630463698
1959,-0.4262764223072988
1960,-0.19651737979412337
1961,-0.37224689502590447
1962,-0.37058684986464324
1963,-0.4519670557983403
1964,-0.3592387913397607
1965,-0.4099257875881721
1966,-0.28795340108479794
1967,-0.25143389191406795
1968,-0.29354944205427436
1969,-0.275410016336482
1970,-0.46119206850146277
1971,-0.3967155218665456
1972,-0.3341770593670265
1973,-0.447062261923188
1974,-0.6051540927292907
1975,-0.4273986071805486
1976,-0.4539432083226942
1977,-0.44927206478319215
1978,-0.4454261773202931
1979,-0.3488162203917186
1980,-0.4615016427671459
1981,-0.2945950725341996
1982,-0.3219971368695017
1983,-0.26579110145983414
1984,-0.2809026745052905
1985,-0.5396214627186435
1986,-0.5207230942450858
1987,-0.5623323066321925
1988,-0.5760932897767166
1989,-0.6395392626348715
1990,-0.4881853265161836
1991,-0.5961768297510692
1992,-0.6758553544985146
1993,-0.4137286820294427
1994,-0.5254521160345705
1995,-0.47289173656337596
1996,-0.4783104751593899
1997,-0.5723458495482765
1998,-0.6348089065656904
1999,-0.4508814496725827
2000,-0.43940183611144246
2001,-0.580218395365447
2002,-0.6865780196439115
2003,-0.516139271912266
2004,-0.6083180118448397
2005,-0.6050996888457636
2006,-0.5093573382691565
2007,-0.4763525881346471
2008,-0.5151571984660284
2009,-0.6780710102692642
2010,-0.371603321037014
2011,-0.40363275400813314
2012,-0.5769409781955052
2013,-0.6773297409041248
2014,-0.5103801189199101
