Year,tas_diff
1850,-0.02886360346514127
1851,0.017036750316882898
1852,0.18116001371714005
1853,0.4282171195018283
1854,0.5194866384776792
1855,0.35082066042294713
1856,0.04644721103700772
1857,-0.1606355101925943
1858,0.024135826681835615
1859,0.16779153032270744
1860,0.2784899750336705
1861,-0.005802280312521946
1862,-0.4298561980050763
1863,0.11053576876324639
1864,0.3344883830243377
1865,0.3992293331536707
1866,0.33136298900410077
1867,0.21090287469448082
1868,0.1571945693914325
1869,0.3578833359872753
1870,0.31925777856409737
1871,-0.0598706842483831
1872,-0.1866197727226256
1873,-0.1446498597915548
1874,0.08000373698255403
1875,0.14059600161458485
1876,0.16296888780065855
1877,0.0158994096154087
1878,0.04101115447872433
1879,-0.1338159606460978
1880,-0.0025618185221086276
1881,-0.06915191420490802
1882,-0.22611680160236364
1883,-0.5326327473195442
1884,-0.18828830550349918
1885,-0.022642698721351887
1886,0.1059499869242965
1887,0.10853983899648412
1888,-0.2695922965197283
1889,-0.5834557128830423
1890,-0.11111967158385866
1891,0.26923153593421156
1892,0.4026935840706833
1893,0.2908082579043456
1894,0.14919139040996654
1895,-0.18506721854149244
1896,-0.5653072601494238
1897,-0.349567216780115
1898,0.03828292190377314
1899,0.04805790052475839
1900,0.12565134393157879
1901,-0.018122083401362676
1902,-0.3782544272539172
1903,-0.48399124676540145
1904,-0.3046474295908423
1905,-0.2612490052507874
1906,-0.38630815800651885
1907,-0.20328778068954256
1908,-0.17516605349266545
1909,-0.2093698539669085
1910,-0.10562129167082507
1911,-0.3834535952823038
1912,-0.4657023247241932
1913,-0.1122221837080532
1914,-0.03727085446502426
1915,-0.13980817816448488
1916,-0.19546401615986775
1917,-0.3866856097331713
1918,-0.3343646559498082
1919,-0.19571248909475691
1920,-0.10883531934549379
1921,-0.13027750345875044
1922,-0.38341758848653357
1923,-0.2645706413229938
1924,-0.1259116112065251
1925,-0.16902158312915738
1926,-0.3431635831083034
1927,-0.46164463605191336
1928,-0.28538748822934834
1929,-0.1335872741211095
1930,0.013961737484256886
1931,0.04727983344798781
1932,-0.04470957067411868
1933,-0.05767196323268775
1934,0.025875257802334906
1935,0.029420499973803582
1936,0.0691302362301841
1937,0.005126124213629013
1938,-0.2151882501508452
1939,-0.3535826950824843
1940,-0.22686601188129374
1941,-0.01949439980822798
1942,0.024762205569973772
1943,-0.1646853923117373
1944,-0.097827680908812
1945,0.09552932117309376
1946,0.1796902966697289
1947,0.1384145949030242
1948,0.1072603700806074
1949,0.19535764514549803
1950,0.15481042024172242
1951,0.039877267402689265
1952,0.028460440929970687
1953,-0.12226340621997589
1954,-0.3501124792105388
1955,-0.19839347250561645
1956,-0.047162781161942835
1957,-0.050235462966742306
1958,0.19683007825129928
1959,0.07949855935074035
1960,-0.21149752121388188
1961,-0.3597403817130207
1962,-0.19983580868290596
1963,-0.2690807592481399
1964,-0.2247123258583919
1965,-0.275383030179962
1966,-0.13065520669836117
1967,-0.18526459127586703
1968,-0.03094351084009428
1969,-0.005627107218092009
1970,0.0996602820975987
1971,-0.11443884263489579
1972,0.00787181338426246
1973,-0.21598140020869572
1974,-0.36929418538192826
1975,-0.49398941397345375
1976,-0.758820239856123
1977,-0.32375288394005497
1978,-0.0650065075014139
1979,-0.024995151528992676
1980,0.011406610247215343
1981,-0.17032982320094847
1982,-0.48648588007904603
1983,-0.48428782539339754
1984,-0.3218096850724568
1985,-0.2615639781155731
1986,-0.2716617931786378
1987,-0.4987094424538068
1988,-0.4526604701450483
1989,-0.3347247017066306
1990,-0.22191775177085993
1991,-0.2843585423990511
1992,-0.5305767423749538
1993,-0.6098203692107704
1994,-0.6823966247618438
1995,-0.5846299826324117
1996,-0.3352880071630302
1997,-0.1871966598081347
1998,0.032317582362995756
1999,0.003467242540717619
2000,0.013550529578272075
2001,-0.2200165026545835
2002,-0.2923449090290837
2003,-0.504588993451887
2004,-0.395172642928056
2005,-0.0647915200836846
2006,-0.028728159388310415
2007,-0.12753325445217056
2008,-0.2321156920126528
2009,-0.36286758404748665
2010,-0.4288930021429609
2011,-0.44472766005966724
2012,-0.07738070507682582
2013,0.18637139036102202
2014,0.24857828499907098
