Year	tas_diff
1850	-0.1500306776427523
1851	-0.1183132089197407
1852	-0.15757810236230696
1853	-0.3925184375301312
1854	-0.2374574821410973
1855	-0.24100256688981075
1856	-0.2231320315412041
1857	-0.25152462072782183
1858	-0.27848883636900335
1859	-0.13352866469250474
1860	-0.08657514780847798
1861	-0.220384799639862
1862	-0.14798332746639192
1863	-0.21640359697649403
1864	0.02946029095076809
1865	-0.07298737852435352
1866	-0.2374352249804451
1867	0.0805412144391024
1868	-0.02700251633973702
1869	-0.22065681771300824
1870	-0.19745895519006823
1871	-0.07975634874517021
1872	0.004403558022219568
1873	0.015588934627978179
1874	0.05383768032758119
1875	0.07399469589319986
1876	0.03785998290265749
1877	-0.16383259324578595
1878	-0.035328021680697964
1879	0.06455174398507255
1880	-0.0766843614391422
1881	-0.23584771563231632
1882	0.07066095851516974
1883	-0.15960912222926377
1884	0.10559444840151566
1885	0.09325959989095053
1886	-0.04735170317013719
1887	0.13138700307788712
1888	0.039347096181048424
1889	0.07361711307633409
1890	0.1755039681573081
1891	0.07660829411426466
1892	0.19161531134225102
1893	0.2192033427448537
1894	0.2951793527167425
1895	0.48198045077403556
1896	0.3572085377335784
1897	0.1958321966000921
1898	0.010930289719455921
1899	0.19331340356196047
1900	0.17156581263220946
1901	0.13024309760647598
1902	0.2625506571317955
1903	0.29494487611858583
1904	0.07469434143242029
1905	0.23344572426488738
1906	0.4935276342669418
1907	0.23664326851853718
1908	0.18472641441229878
1909	0.3971477017236744
1910	0.2658863401163267
1911	0.1890854530483278
1912	0.2571459391388936
1913	0.3749748823869379
1914	0.20020288561627428
1915	0.36907154524896946
1916	0.3725468555024208
1917	0.16901354942394825
1918	0.15167602895924187
1919	0.18015472874705613
1920	0.27342138153497797
1921	0.13737154863940673
1922	0.3262111386004243
1923	0.2753960273966426
1924	0.3050484304920233
1925	0.42546705679382346
1926	0.2819531743734097
1927	0.2303135070041682
1928	0.29320360117488437
1929	0.19537070765905998
1930	0.4184102896752632
1931	0.3421665232424703
1932	0.29256126557818063
1933	0.4163715849111938
1934	0.4780751104898939
1935	0.31546384099334834
1936	0.42442570347141756
1937	0.354021989826221
1938	0.3644392341399968
1939	0.2750046658767486
1940	0.17112420432861486
1941	0.22457922714239897
1942	0.2100303367204257
1943	0.17879219312137376
1944	0.1892233552632075
1945	0.2655527504612385
1946	0.30199740255575397
1947	0.15468732915976913
1948	0.07925280780752
1949	0.2988136233692787
1950	0.18421027694258638
1951	0.3077976678523311
1952	0.19208401752760593
1953	0.16950812435506565
1954	0.13257470074592043
1955	0.03583820545774169
1956	-0.06839532124653759
1957	0.1371597780002634
1958	0.17314397211725466
1959	-0.11499516933947512
1960	-0.13177232797056287
1961	-0.12783429202839325
1962	0.07102086755819313
1963	-0.28563926984651045
1964	-0.23474379823788966
1965	-0.37966620580815025
1966	-0.09100977128252134
1967	-0.05803640078613982
1968	-0.13164944028887995
1969	-0.26109747280381856
1970	-0.382368750076667
1971	-0.1516412474893646
1972	-0.15272873947461776
1973	-0.27165375542687636
1974	-0.08704928021737954
1975	0.002444429886609173
1976	-0.2939890437387348
1977	-0.21965992512836813
1978	-0.08266758970909693
1979	-0.08488381352525709
1980	-0.227203559019172
1981	-0.12691397107704938
1982	-0.12539974110586788
1983	-0.3768200088232589
1984	-0.15631322678400683
1985	-0.26452820468695104
1986	-0.18174000947688773
1987	-0.3325923162079618
1988	-0.2557648393858553
1989	-0.17769226102388852
1990	-0.3172994723058766
1991	-0.2659830623037515
1992	-0.2868204095731451
1993	-0.447859398925136
1994	-0.09610909756180144
1995	-0.07567674214077785
1996	-0.37284259077045534
1997	-0.07185556466618265
1998	-0.2658785540771106
1999	-0.2878170028560624
2000	-0.3313567233610192
2001	-0.3245152507081466
2002	-0.3289758458509473
2003	-0.16006458924424682
2004	-0.3151443820717005
2005	-0.0020657422527201597
2006	-0.10015380442961075
2007	-0.3944853655850369
2008	-0.3099754063561261
2009	-0.043888763522199836
2010	-0.021002414851715834
2011	-0.1331040391354663
2012	-0.2186461267505958
2013	-0.033170646805519066
2014	-0.054699562683133474
2015	-0.015247543842784372
2016	-0.12374845065259998
2017	-0.2916553042286123
2018	0.06868411046735201
2019	-0.011722267401996556
2020	-0.12298565311937071
2021	-0.09330690525002239
2022	-0.18522596745513487
2023	-0.020258676025030953
2024	0.01244196391369301
2025	-0.08352258936561463
2026	0.041150212575194134
2027	0.04090400692528795
2028	-0.14630212795058695
2029	0.19718033206256602
2030	0.14890780829391548
2031	-0.018786665552784187
2032	0.0550245557319371
2033	0.15868465188116376
2034	0.10166640089275836
2035	0.0780107509911685
2036	0.07279532737564054
2037	0.29181911998880583
2038	0.1822034879065888
2039	0.3296010378510643
2040	0.365651819832002
2041	0.17842874285809573
2042	0.019014480361513764
2043	0.31692093043545255
2044	0.3174811602801437
2045	0.06860649388967
2046	0.3611630893052773
2047	0.4127849798891827
2048	0.3923591737612979
2049	0.27866558149375575
2050	0.2569862566315608
2051	0.17503162804001304
2052	0.3579586714903895
2053	0.3077685720763541
2054	0.0583202185331837
2055	0.555336221075204
2056	0.46001821416236766
2057	0.1543502131270338
2058	0.3977557933448783
2059	0.45033095794294287
2060	0.05168166356030879
2061	0.35240873868753386
2062	0.38948460159401366
2063	0.08432307125588467
2064	0.4901527201064364
2065	0.5301298541556991
2066	0.06381310727111744
2067	0.37151044847627546
2068	0.38506554250751934
2069	0.20334824071375834
2070	0.49985304398371744
2071	0.20052605657049938
2072	0.26231547336482075
2073	0.16062052979684927
2074	0.13838878394088638
2075	0.02890406630760234
2076	0.2563479465836913
2077	0.33681150373770885
2078	0.5603882622605152
2079	0.445851159838774
2080	0.1495911927893876
2081	0.45619159255615394
2082	0.261353037750113
2083	0.4143476406319522
2084	0.24882247852351913
2085	0.48341919674869116
2086	0.3070603706698689
2087	0.19610257257432018
2088	0.11496742204637256
2089	0.3393868769276738
2090	0.3423130836468129
2091	0.25514011015604954
2092	0.07043942654909774
2093	0.42933026240105
2094	0.4555625252313056
2095	0.3046314728317143
2096	0.34800944512033016
2097	0.16385998881571817
2098	0.3364569913493769
2099	0.2939172561124157
2100	0.29431447531005306
