Year	ERF
1850	0.030169181801940448
1851	-0.08367250499442014
1852	-0.1461745365807851
1853	-0.17222951660734484
1854	-0.16869318347972484
1855	-0.06713357319066482
1856	0.19123167020089582
1857	-0.4079097129531785
1858	-0.1255769262502973
1859	0.22714128993783944
1860	-0.1272819855396961
1861	-0.42723181665173426
1862	-0.45449057044926827
1863	0.04791920138697964
1864	0.033420477490061315
1865	-0.20060234689703935
1866	0.14224600655586842
1867	-0.14408725097492836
1868	0.2615673172925316
1869	-0.24560787383822263
1870	0.27001760762382265
1871	0.13687912286280865
1872	-0.11609636382933643
1873	-0.13407591275153793
1874	-0.05140443813087465
1875	0.027883645809634816
1876	0.21755288825014749
1877	0.0034835868510991186
1878	-0.09590854987505207
1879	-0.04757008395562058
1880	0.07717186457131826
1881	0.20216347542146546
1882	-0.21353134374553467
1883	-0.4455739331624495
1884	-1.033423499364393
1885	-0.3767267422909125
1886	0.039287128505791934
1887	0.23643909472462143
1888	-0.052030028890223776
1889	0.27440665026670163
1890	0.2326422820278411
1891	-0.2436769999261857
1892	-0.06478824703793025
1893	0.3949676827215819
1894	-0.09664029506611382
1895	0.038125292516408116
1896	0.21489948828175273
1897	-0.10333106682499163
1898	0.1072746678495298
1899	-0.05766365669091616
1900	0.20653168669041008
1901	0.25730857219151115
1902	-0.33714519330786563
1903	-0.1784731233781227
1904	-0.19251499044375747
1905	0.20884497238287197
1906	0.22391082767508716
1907	-0.09704978046135115
1908	0.3654323326426555
1909	0.2924208952666926
1910	0.010703366313136425
1911	0.1288976532627933
1912	-0.007892066593953473
1913	-0.2820368491187572
1914	0.4830393784354595
1915	0.22886391605116813
1916	0.13029030221794394
1917	0.3530832605291429
1918	0.32529803770020976
1919	0.3384143386531975
1920	0.43054150944324765
1921	-0.20400420623099408
1922	-0.06290794608641492
1923	0.10756364030826439
1924	0.3429406792277202
1925	0.12291180784491622
1926	0.1475362741336527
1927	0.4166204881379082
1928	0.06707013492327106
1929	0.06093392639738804
1930	0.5761736320886949
1931	-0.12303821838388446
1932	-0.13908191866649383
1933	0.21428027907998579
1934	0.1120585920636814
1935	-0.2315789264246939
1936	0.4520838779553885
1937	0.5782623427972224
1938	0.3828249374849234
1939	0.14100549366981235
1940	0.08258734685220778
1941	0.46956142131752954
1942	0.08877466642521231
1943	0.11341509417141699
1944	-0.19965406681048065
1945	0.589722712133564
1946	0.02964246217058525
1947	0.12920210197467677
1948	0.35938618543587975
1949	0.1573907817972963
1950	0.07364974694258083
1951	0.08292188350635768
1952	0.22207279428531573
1953	0.07381154648544402
1954	0.3615638887047164
1955	0.31111893800325063
1956	-0.06265325008480567
1957	0.49174841108628153
1958	0.32154296444545466
1959	-0.3121023458207492
1960	-0.1469078584803895
1961	0.32479655136651053
1962	-0.5447821052308994
1963	-0.6205638593696192
1964	-0.23788815921795398
1965	0.27855126766372607
1966	0.037232596905457035
1967	-0.024173429995849816
1968	0.13369048304357853
1969	-0.02456724977860303
1970	0.2908250421191993
1971	-0.10332799587970015
1972	0.5342713778308729
1973	0.053908032937958816
1974	0.2257423891062986
1975	0.13648424503513606
1976	0.1966837946433848
1977	0.5579330505717246
1978	0.5047806032969786
1979	0.4299517632476508
1980	-0.06912567588501545
1981	0.5914981267142545
1982	0.22829462474797238
1983	-0.26013030483232563
1984	0.3164850517999095
1985	0.4377110020079198
1986	0.3533129547792675
1987	0.28727292123078796
1988	0.6168865947254625
1989	0.9934770977677576
1990	0.36279123075816216
1991	0.6500023293970619
1992	0.3222241399839179
1993	0.1815726004686588
1994	0.7109454833327665
1995	1.0346145709883994
1996	0.6988656064418846
1997	0.8942115747755188
1998	0.5908455177314345
1999	0.8957003969478327
2000	1.059215306763245
2001	1.2419475459799227
2002	1.0406746457231415
2003	0.8720401000872058
2004	1.2601590967201926
2005	0.9987196003440321
2006	1.180967602636554
2007	0.6029284412429546
2008	1.3536899934925897
2009	0.8610850938824937
2010	1.5094674633346825
2011	1.3037424118585101
2012	1.1387560814046556
2013	1.6880237718204891
2014	1.5697243938482797
2015	1.3193874081591164
2016	1.5558465640433767
2017	1.6495654646668783
2018	1.6020655875247938
2019	1.6403065036070594
2020	1.8026093109031742
2021	1.5714900608043565
2022	2.0458780707531896
2023	2.1925025574946506
2024	2.2806389945265106
2025	1.707517557873139
2026	2.306813406491944
2027	2.1668594092954088
2028	1.7759556586355814
2029	2.3880487021913193
2030	1.9138937306155464
2031	2.2086525282803042
2032	2.450057111654325
2033	2.47206285459578
2034	2.0001059957944247
2035	2.455170967769904
2036	2.9455858582167425
2037	2.739178613417465
2038	2.738271750088722
2039	2.2452125602275297
2040	2.5029510388615903
2041	2.928619442264775
2042	2.6811248216770363
2043	2.680483510390853
2044	2.8938624209816073
2045	2.7176494515367904
2046	3.2541071693945067
2047	3.005966680656501
2048	3.290753723057272
2049	3.3803295770999195
2050	3.2594266022906417
2051	2.9657041001633564
2052	3.4891191002751967
2053	2.9450971541883475
2054	3.418762205097525
2055	3.778037405906845
2056	3.250424305533487
2057	3.1556381651435097
2058	3.7493619502968385
2059	4.1520242389865665
2060	3.431754057263548
