Year,ERF
1850,-0.11643223650702103
1851,0.19783563739807702
1852,-0.2508368815420565
1853,0.0025294710641326906
1854,-0.25834427994904496
1855,0.3184599931275462
1856,-0.08444226152422021
1857,-0.25897206301935616
1858,0.028506032762380527
1859,0.2749708374714629
1860,-0.2839573353108282
1861,0.3836768354916653
1862,-0.1139503794248039
1863,0.006508202211849515
1864,-0.214249677188178
1865,-0.07842774444291033
1866,0.1707746259728179
1867,-0.15467306753767196
1868,-0.13339076559991578
1869,0.22207553484282605
1870,-0.34164305498851805
1871,0.08493687838969641
1872,0.17229617897824212
1873,-0.4004191766801451
1874,0.4041143776782845
1875,0.19459874018729673
1876,-0.36990297999433147
1877,-0.09476300207609686
1878,-0.07218748854019658
1879,-0.004333672574928216
1880,0.1787938160426396
1881,0.09439175840626947
1882,0.02874774572027726
1883,0.05559647748957169
1884,-0.32205193128515874
1885,-0.09631003824421036
1886,0.1469333359002108
1887,0.2716508980072237
1888,-0.40360843904603105
1889,0.10785416526708466
1890,-0.2812022062478279
1891,0.0690748745948459
1892,0.09501068639299301
1893,-0.20157117501980462
1894,-0.030976675034131127
1895,0.008842615218492136
1896,-0.44964086036768547
1897,-0.08529767835808305
1898,-0.5736676226082333
1899,-0.2357591688402759
1900,-0.20856276645027305
1901,-0.330215815202482
1902,-0.378940528834082
1903,-0.1468922375771698
1904,-0.13496774877263013
1905,-0.18491844414620393
1906,-0.20866972493606603
1907,-0.31426936266284033
1908,-0.31833490438966716
1909,-0.2554357190661123
1910,-0.29929514231389664
1911,-0.3298326001370025
1912,-0.1738342008939398
1913,0.10316534570297368
1914,0.052960491347584446
1915,-0.5078194645743409
1916,-0.43140131382772295
1917,-0.11552619345539973
1918,-0.0858766900521252
1919,0.04934879811544205
1920,-0.13840770436723948
1921,-0.228424453664199
1922,-0.5500749767909557
1923,-0.15169775735605748
1924,-0.021164674647170173
1925,-0.5222165113481502
1926,-0.5026554381896218
1927,-0.45210529092820384
1928,-0.18655497238295432
1929,-0.5882155013400748
1930,-0.4354320628797058
1931,-0.0071231355569661425
1932,-0.4260303208257997
1933,-0.29595161338611753
1934,-0.43683209513931975
1935,-0.2483914546198449
1936,-0.11658652775906828
1937,-0.4128131821587862
1938,-0.3044270491192041
1939,-0.6858667047549193
1940,-0.10995900290963401
1941,-0.8238689396532319
1942,-0.1390038186215818
1943,-0.37736317030233724
1944,-0.4619932410118306
1945,-0.8181329715651603
1946,-0.5498540577295348
1947,-0.34741030642575066
1948,-0.6292220866170037
1949,-0.3300984206243426
1950,-0.37213697928591194
1951,-0.3839485710898005
1952,-0.2940553398164124
1953,-0.5741844434696273
1954,-0.4363460629037944
1955,-0.583863616006437
1956,-0.6843322897292128
1957,-0.4386763741582042
1958,-0.43841741509201676
1959,-0.8667406918415433
1960,-0.38329992979387134
1961,-0.6809665848238795
1962,-1.1250180789376711
1963,-0.8289457619219783
1964,-0.905309152581093
1965,-0.7807866050493734
1966,-0.5144629563497096
1967,-1.1825837983957572
1968,-0.5175426962612437
1969,-0.6678524533320783
1970,-0.8265879263784401
1971,-0.7558500505074259
1972,-0.6606030804083434
1973,-0.8885843643145195
1974,-1.0460416434091917
1975,-0.8386697461071615
1976,-1.0445351171751551
1977,-1.3685379200713306
1978,-0.8212353282242457
1979,-0.7702649363422325
1980,-0.9707479279138699
1981,-0.6250537509087447
1982,-1.12413250382799
1983,-1.4717800833225954
1984,-1.020133044193842
1985,-1.3947788684559181
1986,-1.0987981025606115
1987,-0.905018145157413
1988,-0.9984648201988451
1989,-1.0071337292162887
1990,-0.8416836502153929
1991,-1.3022708049842064
1992,-0.9616198585250487
1993,-0.8950913266781296
1994,-1.0866141512266538
1995,-1.0727568926031572
1996,-1.031831856973382
1997,-0.9317095542422597
1998,-1.1137120316945066
1999,-0.6045696544292654
2000,-0.9489191105972526
2001,-0.9626688603231758
2002,-0.7888988847453371
2003,-1.3068112119055895
2004,-0.7160031872025234
2005,-0.8563520501954622
2006,-0.9003543772196445
2007,-1.08333657233705
2008,-1.3888870941282634
2009,-0.6384129736540978
2010,-0.7707584682713038
2011,-0.9896617908863661
2012,-0.8528788402069547
2013,-0.759099391928338
2014,-1.1801269157424645
2015,-0.37838101042357386
2016,-0.8702363926447978
2017,-0.7111966106405254
2018,-0.8647180815854036
2019,-0.670165865631386
2020,-0.6870048232718129
