Year,ERF
1850,-0.10606125919078283
1851,0.17853243954537498
1852,-0.073926296029313
1853,0.027922552834642123
1854,0.194642792505539
1855,-0.07060131087891987
1856,-0.2518674861720198
1857,0.06522183983760008
1858,-0.1931852517595925
1859,0.09339278777208548
1860,0.08212899682513199
1861,-0.6139531555710279
1862,0.08787252286795674
1863,0.07149167209513455
1864,-0.316682971626687
1865,0.19626722618965217
1866,-0.19440567933898967
1867,-0.1770641503510361
1868,0.20717933342539874
1869,0.06815065399725906
1870,0.014354245028795835
1871,0.06879086203775288
1872,-0.2951609261906318
1873,-0.1656045941407778
1874,0.06734553214846553
1875,0.05014213155939828
1876,-0.20970714170857493
1877,0.1353730699070915
1878,0.09212646396322746
1879,-0.19922015602358042
1880,0.21009787841503574
1881,0.24565397565710106
1882,-0.16283044102996394
1883,-0.6581417074504415
1884,-0.6262681319157328
1885,-0.17252336422717868
1886,-0.20886304214213566
1887,-0.013147908017452217
1888,-0.03294478195447256
1889,-0.03802820744951936
1890,-0.11696588285856199
1891,-0.19901818353441864
1892,-0.3037507566108456
1893,0.3418652103182954
1894,0.3464377891898025
1895,-0.04457066681801003
1896,0.2435023088228988
1897,-0.32053451977499153
1898,0.10035881142778003
1899,-0.10921231532963711
1900,-0.05159895521281958
1901,0.166399701868857
1902,-0.07905514670308383
1903,-0.4852441948496492
1904,-0.04921754138909683
1905,-0.09348659777602786
1906,0.07412681865573649
1907,-0.06447404614677857
1908,0.013175746498637259
1909,-0.21897365497985877
1910,-0.044141163355584816
1911,0.1424501426721958
1912,-0.3377283300631576
1913,-0.007216956579949016
1914,-0.35494061799325344
1915,0.2109169514459372
1916,-0.19037670635762646
1917,0.044138715767117864
1918,-0.07695934939815484
1919,0.18106447274211304
1920,-0.21574378789019713
1921,0.05708847753650116
1922,0.21651191978264328
1923,-0.4056134323853926
1924,-0.1434396755827626
1925,0.09159661512797904
1926,0.06534525817216344
1927,-0.2254428179050625
1928,-0.07764791318344269
1929,-0.053113849387150684
1930,0.0817708712138415
1931,-0.08963917061100365
1932,-0.12376875410088065
1933,-0.3342111930856852
1934,-0.1920121833872851
1935,0.12434336961733558
1936,-0.3065055458730065
1937,0.08542342883952805
1938,0.2577886225697821
1939,-0.5514487339840022
1940,0.1310201360781541
1941,0.22726166801670816
1942,-0.23097448476651455
1943,0.08686079329006599
1944,-0.10143677311284402
1945,0.12623267310656014
1946,0.0907999048150051
1947,-0.07012105802256914
1948,0.43988251195611555
1949,0.08205520694901527
1950,-0.032834032636950575
1951,0.214475850385409
1952,-0.20577512772739018
1953,-0.2479229132033511
1954,-0.09537710721383491
1955,-0.018472390974620945
1956,0.06484663450240254
1957,0.12692784997734996
1958,-0.08360029029951263
1959,0.11070620946584186
1960,0.041200347448490854
1961,0.14145036754877782
1962,0.05085443120814159
1963,-0.8208304404445035
1964,-0.08280722897442228
1965,-0.36753111418021006
1966,-0.023441546786315354
1967,-0.21623408873406547
1968,0.029480665325446853
1969,-0.030254992204636455
1970,-0.05158060027014247
1971,-0.10169165882052514
1972,-0.1348110224737477
1973,-0.20288911351620004
1974,-0.12719941230405435
1975,-0.43929964430283874
1976,-0.5391885687862004
1977,0.2997789889065256
1978,-0.45978011835761096
1979,0.21790576510266021
1980,0.32923249096093643
1981,-0.10074312263658548
1982,-0.5704502919059558
1983,-0.2699203509029134
1984,-0.21486587883713845
1985,-0.6129018533163095
1986,0.08343549152177482
1987,-0.22810857396638184
1988,-0.12244101380327965
1989,-0.12029652728276505
1990,-0.05148321493403693
1991,-0.7166530216920559
1992,-0.9826037890613699
1993,-0.44255541213239646
1994,-0.13245474437126
1995,0.11103627069556421
1996,-0.3070806623614937
1997,0.20395420442900136
1998,-0.25715688858338387
1999,-0.07692886190932718
2000,0.042609340775159876
2001,0.04235929736524571
2002,-0.36245772040089863
2003,-0.010603503744196496
2004,-0.21521225558727802
2005,-0.20234114485461366
2006,-0.05863104841974934
2007,-0.05638147857574875
2008,-0.03998597678908397
2009,0.1267049620935809
2010,-0.3329483349574429
2011,-0.17549061648134204
2012,-0.03750539867362501
2013,-0.28985791209519685
2014,0.006631575912213555
2015,0.01560491692665994
2016,-0.11889659303416922
2017,-0.2564618798550162
2018,-0.0011771845650551671
2019,-0.1471084303374029
2020,-0.02204974566877313
