Year	tas_diff
1850	0.21746345547174267
1851	0.05827416989854941
1852	-0.10175984155499439
1853	-0.11008025827890858
1854	-0.14818922919839653
1855	-0.13090550036255877
1856	-0.06592959458513072
1857	0.11032974456014832
1858	0.19795302230411796
1859	0.14134770460342566
1860	0.025649835769976606
1861	-0.030973331055602966
1862	-0.05425915541070344
1863	-0.07230739867622445
1864	0.006848593835230205
1865	0.003528193464415706
1866	0.05526029446388841
1867	-0.052484398816749045
1868	0.018726368930162482
1869	0.1552804552149107
1870	0.028364099290332706
1871	-0.08935920822280977
1872	-0.1127455162256657
1873	-0.05332863595056006
1874	-0.14540166930638274
1875	-0.011563710877411343
1876	0.0037368678443037845
1877	0.06327453356689511
1878	0.01746826200701547
1879	-0.027186823568920937
1880	-0.06311065517777319
1881	0.0926667849792829
1882	0.043293368944155045
1883	-0.16037643467509974
1884	-0.16075696489750557
1885	-0.13612088941431658
1886	-0.06696247592124635
1887	0.03423739242393051
1888	-0.001373975034214714
1889	-0.010108456306246322
1890	0.11753448462947445
1891	-0.025552824797154445
1892	-0.11080660119014983
1893	-0.009739121226743995
1894	0.014236457360205498
1895	0.10320969209777665
1896	0.13777887732285743
1897	0.06616445421596605
1898	-0.006276910143592933
1899	0.03182668002064593
1900	0.13359620869820674
1901	0.05218769553135705
1902	-0.029108199283111702
1903	0.14133184188503994
1904	-0.04419812589614865
1905	-0.06575893676326791
1906	0.11199733180186869
1907	0.18059670136167907
1908	0.18103593097178788
1909	0.21341371676408294
1910	0.11650078585411394
1911	0.12031167328292336
1912	0.150448552548928
1913	0.08302198498812892
1914	-0.051627006752835866
1915	-0.07848460007161936
1916	-0.0781992832868214
1917	-0.021014838678107176
1918	0.14701608360311327
1919	0.20216357938384005
1920	0.20694425909982495
1921	-0.08791081459926178
1922	-0.09659508113004461
1923	-0.10086324934997892
1924	-0.09685943227477706
1925	0.012320715969653367
1926	-0.0004229459190102647
1927	-0.16447484858060768
1928	-0.07019253194328304
1929	-0.1111132346716085
1930	-0.09063393291464156
1931	-0.08164919193213199
1932	-0.07824853452535097
1933	-0.08726590258077901
1934	0.020281537691191343
1935	-0.04049190323854135
1936	-0.08899623721484134
1937	-0.021829760937667253
1938	-0.16281054782397342
1939	-0.08874437169875049
1940	-0.05288971220093691
1941	-0.08675517117090692
1942	0.06983090587632418
1943	0.060694926908953506
1944	-0.14566962305337322
1945	0.018359524044828934
1946	-0.10227494755256117
1947	-0.05873051803299312
1948	-0.14657926075731842
1949	-0.16432138574610355
1950	-0.12478122201707326
1951	-0.07513135883286204
1952	-0.19752794864971612
1953	-0.28560877201941626
1954	-0.09966651944695071
1955	-0.05817046168484996
1956	-0.14462125966789896
1957	-0.19481122753911073
1958	-0.10899356653372383
1959	-0.1551552119869909
1960	0.0107881675442274
1961	-0.06887356161840097
1962	-0.045131067812771763
1963	-0.11089333557252257
1964	-0.20053075896388964
1965	-0.2802270534674307
1966	-0.09984096572230391
1967	0.07315210486196977
1968	-0.07414469219980147
1969	-0.027980970232711067
1970	-0.042029801586533744
1971	-0.08129995583017108
1972	-0.06620305876146404
1973	-0.13259133301422432
1974	-0.017940501020865474
1975	0.022937615992890736
1976	-0.11017769624266921
1977	-0.011383078491976839
1978	-0.06797497528376528
1979	0.029104419132458592
1980	-0.13940597429699797
1981	0.029558512575219686
1982	-0.0428252287029498
1983	-0.045771900467572846
1984	-0.008646953910993682
1985	-0.14810839336362103
1986	-0.0072266425939144785
1987	-0.026602643880786925
1988	-0.10213188253636896
1989	-0.1734746247008757
1990	-0.05027291695134717
1991	-0.05982127352631306
1992	0.016879190227069074
1993	-0.1124234484299389
1994	0.012359661235142427
1995	-0.06913385241345316
1996	-0.25335567661320335
1997	-0.09700101323538934
1998	-0.06071454275123678
1999	0.1413314954267575
2000	0.18464701956942964
2001	-0.057726400600572436
2002	0.007908004890428533
2003	0.02263672564371988
2004	0.10140685795891136
2005	-0.065261935321961
2006	0.04316657488769482
2007	-0.011664642534294334
2008	-0.045338302249562146
2009	-0.04852350718934728
2010	-0.044546719979482896
2011	-0.09485873350325891
2012	-0.17010640276439926
2013	-0.26172198936089774
2014	-0.06587034776962208
2015	-0.14896365016000956
2016	-0.0884184127233405
2017	-0.04410023456560852
2018	0.07974214236616528
2019	-0.11282156736218507
2020	-0.002584304145022198
2021	-0.26199811694617914
2022	-0.27735853417028267
2023	-0.2057579579909925
2024	-0.156062230521683
2025	-0.10446077177081836
2026	0.00794931704071633
2027	-0.06833036945362769
2028	0.07969293394961063
2029	0.13259109370045774
2030	0.12673817164332446
2031	0.017623184774044898
2032	0.007813381034048827
2033	-0.08855422120265066
2034	-0.08006544954635775
2035	0.05666427915711347
2036	0.029214591797787737
2037	0.031974729660233514
2038	-0.03854374459767129
2039	-0.03474050302760778
2040	0.010188253679230375
2041	0.16918577156169468
2042	0.014575716376552972
2043	-0.15541393775170054
2044	0.04932674073344501
2045	0.09039182571559135
2046	-0.011393085862837271
2047	-0.08534468997261868
2048	-0.05185833427194364
2049	-0.13090458558417195
2050	-0.3808872495404523
2051	-0.19318814550578445
2052	-0.08747160943120935
2053	-0.23026589034101086
2054	-0.16167254451094104
2055	-0.04813507432533681
2056	-0.06059382405845426
2057	-0.06683750080289785
2058	0.025773707059852047
2059	0.0012565988605524048
2060	0.008233931629483049
2061	-0.1489238502033019
2062	-0.1328620047962783
2063	0.0601152977197108
2064	0.05662527152878516
2065	-0.25458837451324
2066	-0.21868703523349353
2067	-0.0845974041060562
2068	-0.0838823153907069
2069	-0.1105067010994829
2070	0.009869874852670435
2071	-0.143132508962176
2072	-0.35938316678496296
2073	-0.23229060806960344
2074	-0.0512047104952158
2075	0.0605739375067369
2076	-0.15418927811265615
2077	-0.10632376661270104
2078	-0.01229382480098451
2079	-0.09450094440520607
2080	-0.13417095565744397
2081	-0.12215968109036623
2082	-0.26726814400327736
2083	-0.41059598521408835
2084	-0.10949619018500512
2085	-0.08758360604169146
2086	-0.16610030328914993
2087	-0.12887445784965257
2088	-0.11635498230507224
2089	-0.2930120410931254
2090	-0.5262378875509843
2091	-0.22609056794866822
2092	-0.22004043637829085
2093	-0.21766343522436138
2094	-0.22230927838490322
2095	-0.2536639542888235
2096	-0.21236205525899132
2097	-0.14316845095763853
2098	-0.22100176204163002
2099	-0.2136283141514701
2100	-0.17352840016326754
