Year	ERF
1850	0.02948014503056748
1851	-0.12092021956233853
1852	0.11671546933520269
1853	0.3800536227794338
1854	-0.14449069749596474
1855	-0.22348211804184012
1856	0.3613611653956638
1857	-0.25644189973656895
1858	0.37372044354352496
1859	0.4339246862627787
1860	0.18299130030874078
1861	-0.29551798197506374
1862	-0.1639091347515412
1863	-0.08357128627446711
1864	0.1533384689632497
1865	0.3287035996599304
1866	-0.0362310033944375
1867	-0.053053526115519375
1868	0.08928455151911581
1869	0.36641901211981376
1870	0.15465996125046647
1871	0.0960507254181419
1872	0.393093959197119
1873	0.27212124836353496
1874	0.3232984339756473
1875	0.4523739148835937
1876	-0.19820475496996917
1877	-0.09125354037624442
1878	-0.10194289015655211
1879	0.28199822723133144
1880	0.37554553768966115
1881	0.2344953762931082
1882	-0.2230374006663549
1883	-0.7816775735622559
1884	-1.6372210725014231
1885	0.025024772303584616
1886	-0.30798050507030195
1887	0.3188222937313665
1888	0.006613537345010197
1889	0.008569559556813974
1890	-0.08325513559668309
1891	0.10567650082080432
1892	0.05035950027931324
1893	-0.045011274193157175
1894	0.6868383044518274
1895	0.8358809972077189
1896	0.13630600656581493
1897	0.3957152901036658
1898	-0.12010184093340262
1899	0.28543212605379975
1900	0.30698408594415383
1901	0.5424802195373817
1902	-0.02897332113272326
1903	-0.6985443484979703
1904	-0.025441277929629514
1905	0.1018561228132676
1906	0.19629662144990498
1907	-0.1346845294729619
1908	0.5790476655773132
1909	0.11454212541726727
1910	0.5102737123813423
1911	0.36186441085932397
1912	-0.4799655181894812
1913	-0.3714717747923935
1914	0.14277093015421233
1915	-0.16911041768982105
1916	0.19984018373348414
1917	0.7496882156330928
1918	0.31626931036717787
1919	0.110766050075702
1920	0.6954640066164405
1921	0.3543930996893483
1922	-0.25942097893751437
1923	-0.016769824887092402
1924	0.6521881995241722
1925	0.16070193637484032
1926	0.2559855515644125
1927	0.027511637757851135
1928	0.7569632236646515
1929	0.3790141944455635
1930	0.1766610086705798
1931	0.7423051659676914
1932	0.8617180088091791
1933	0.15643717487886433
1934	0.1979658027638579
1935	0.1722500200104445
1936	0.7854166771225835
1937	0.7832653893180306
1938	0.6521354500222207
1939	0.09650662523112036
1940	0.651197528936636
1941	-0.10439869884991831
1942	0.3568392347441098
1943	0.46203703111890276
1944	0.2518152107437511
1945	-0.22602805457344935
1946	0.4324315345955538
1947	0.6791852934663232
1948	0.6223474820909588
1949	0.9957545993884278
1950	0.2276007075378183
1951	0.3096344098851878
1952	0.4763912734830249
1953	-0.11363845890565791
1954	0.45571304125991063
1955	0.30415958544358535
1956	0.4461967274690825
1957	0.42388399692479406
1958	0.5563026599809203
1959	0.44694946016403425
1960	0.6832006513288633
1961	0.02642086427309609
1962	0.08671128981916808
1963	-0.4025321945780217
1964	-0.516740395006806
1965	-0.0893338582979421
1966	0.462500374558785
1967	0.01867243743025486
1968	0.7073613456470368
1969	-0.03604834059369888
1970	0.5287517830427904
1971	0.12346677089362754
1972	0.45199185174202783
1973	0.3707342296870425
1974	0.009903546833357285
1975	0.3266695404882244
1976	0.6977708113423651
1977	0.39408719057189434
1978	0.8856750018531749
1979	0.9269808719582693
1980	1.0791859688655432
1981	0.9648675911179686
1982	0.10304014655225763
1983	0.4852687801057237
1984	0.8464117745530728
1985	0.5822866303950485
1986	0.9938084333742796
1987	1.2635626832328035
1988	1.5617921471428025
1989	1.1624481037213883
1990	1.611099672106977
1991	0.25960456936848597
1992	-0.4432600530089712
1993	0.7857184742817106
1994	0.6982669774285062
1995	1.4219568049895166
1996	1.738084265315231
1997	1.6827839910347384
1998	1.3416438491659988
1999	2.3393214107538567
2000	1.5590710072458194
2001	1.812776963009135
2002	1.7759567591315113
2003	1.7430089146788368
2004	2.174517100488101
2005	1.9517877907996544
2006	1.7539605258015232
2007	1.6578387935406653
2008	1.6760259267153046
2009	2.3572922746527594
2010	2.246446011069768
2011	1.7628406725969266
2012	2.3309632351148286
2013	1.9441849188023357
2014	2.506533060153553
2015	2.2273297388341775
2016	1.9282687096822517
2017	2.2261607037560127
2018	2.179519727472236
2019	2.5773266043927254
2020	2.787043853267237
2021	2.7664736417524285
2022	2.8614869824290583
2023	2.517074254177748
2024	2.509732882077751
2025	2.6167604349053004
2026	3.119209458409871
2027	2.5650307688942804
2028	2.7409943150185736
2029	2.6330760479981405
2030	3.2867513132629833
2031	3.2886314059373754
2032	2.7273734848889624
2033	2.9285265059681875
2034	3.38880533215327
2035	3.3466484208814204
2036	3.1752422453468183
2037	3.4393509408598226
2038	3.97123889982042
2039	3.004989068671554
2040	3.746780415418737
2041	4.021588159612176
2042	3.670005176564465
2043	4.033669729072167
2044	3.443768482037827
2045	3.6670211078336976
2046	3.727935866702843
2047	4.069461804239833
2048	4.492545740915341
2049	4.286015675876599
2050	4.192786785922824
2051	4.375802960058611
2052	4.0763860057187395
2053	4.52990764540614
2054	4.086195863983832
2055	4.802350930029368
2056	4.749880070795534
2057	4.417510007954203
2058	4.709946080011511
2059	4.8231713485817345
2060	4.938757142304547
2061	5.073185972496724
2062	4.5511273169232425
2063	5.207210403090059
2064	5.090709795022775
2065	5.383958097206204
2066	5.223273070680634
2067	5.0925026377064375
2068	5.68893976385607
2069	5.721981203479576
2070	5.604564913594837
2071	5.623768841089625
2072	5.2103895578497195
2073	5.828407212292625
2074	5.41011786635926
2075	5.877048544993622
2076	5.988916890041235
2077	5.554215199685396
2078	5.814151929803312
2079	6.028931180723412
2080	6.142499054768722
2081	6.100301685789152
2082	6.201441298906522
2083	6.080570993598022
2084	6.755605815995306
2085	6.212100492376445
2086	5.965648245707635
2087	6.622133290059067
2088	6.572085667951411
2089	6.639503910259371
2090	6.57838239681928
2091	6.946279404230971
2092	6.907273290872394
2093	7.072202352338273
2094	7.352945374197977
2095	7.244385665684371
2096	7.341883883453157
2097	7.364651771979933
2098	7.388063437367262
2099	7.423450923093739
2100	7.539013446063519
