Year,tas_diff
1850,-0.0201506484946132
1851,-0.09537386093935324
1852,0.046212477462503884
1853,0.17518517722914223
1854,0.06119482647757739
1855,0.07500801370736185
1856,0.18073324070104152
1857,0.19463031616853782
1858,0.23503020689397025
1859,0.10812092510741046
1860,-0.03756533650297926
1861,0.07145869666726522
1862,0.02691035308326818
1863,0.11182855501361866
1864,0.12589393915779473
1865,0.011274369128263573
1866,-0.004165029264934041
1867,0.1321881403406576
1868,0.1683449295748694
1869,0.14918527327878217
1870,0.15659740200426073
1871,0.07157979938257773
1872,0.16170734913111673
1873,0.19173805809363284
1874,0.08885220698866989
1875,0.13074525310487511
1876,0.053533333297113295
1877,-0.05292270861648332
1878,0.11998813344297019
1879,0.15529423235297127
1880,0.012643088667783325
1881,-0.10791640267733674
1882,-0.2156265798481109
1883,-0.023055022689086935
1884,0.037343997244940086
1885,-0.03211891186872162
1886,-0.026618525059765946
1887,-0.11000005095820961
1888,-0.22050323094885954
1889,-0.16600656846648695
1890,-0.03195892783214099
1891,-0.008173514572437326
1892,0.03276855825986774
1893,-0.05725434314511235
1894,0.01893104987432201
1895,-0.045948302142656494
1896,-0.07919020015522271
1897,-0.11585665414753826
1898,-0.1081374980144684
1899,-0.16394402575710681
1900,-0.15894591187202203
1901,-0.10315383772795286
1902,-0.2682190127370805
1903,-0.30031253435557176
1904,-0.20300940415902438
1905,-0.14388055642625838
1906,-0.16686947255123707
1907,-0.10587342261138946
1908,-0.1966739005208941
1909,-0.19251494807279793
1910,-0.17181581413125896
1911,-0.13994294332868676
1912,-0.12529934714965382
1913,-0.17410089849206808
1914,-0.1684856601932408
1915,-0.12015180151196972
1916,-0.1383507255320416
1917,-0.04735684112530808
1918,-0.12223494448040556
1919,-0.10911835940948139
1920,-0.13870860572247373
1921,-0.3149159117416547
1922,-0.08097878460259078
1923,-0.16512218224177483
1924,-0.16731624306490211
1925,-0.22719063027446662
1926,-0.09874523369737687
1927,-0.23201755277944536
1928,-0.13681127327307135
1929,-0.1317957347268247
1930,-0.03882480532328614
1931,-0.14664931166069783
1932,0.008464020989811583
1933,0.03364907795973515
1934,-0.0672358685027285
1935,-0.10511234823327309
1936,-0.20810476674028178
1937,-0.28557176027962494
1938,-0.027556590719168106
1939,-0.00891205792984373
1940,-0.013075943831278303
1941,-0.06389024676856936
1942,-0.16310187209887467
1943,-0.13564107179634022
1944,-0.12067713956208614
1945,-0.035204691181709324
1946,0.013353412804627596
1947,0.05012945898416904
1948,0.007505212873672007
1949,-0.03962441876270273
1950,-0.13491663930512526
1951,-0.07855420539527891
1952,0.04276281893254913
1953,-0.07273962745889251
1954,0.0356377356044531
1955,0.10017783097521016
1956,0.0012933406766537647
1957,0.006479797856861258
1958,-0.09479784517691159
1959,-0.2614021979499038
1960,-0.15765254016298247
1961,0.016863586930152996
1962,0.0309035419716841
1963,-0.004436323342726922
1964,-0.062029096674536266
1965,-0.07672314937212743
1966,0.0020881141864043107
1967,-0.05760937145194189
1968,-0.03610963450423721
1969,0.02881869568301143
1970,0.0858619443933275
1971,0.04382805399585099
1972,0.018680225663968986
1973,-0.039465068823949956
1974,0.028144527436034017
1975,0.12861610673500967
1976,0.1396197121745204
1977,0.13499615505426
1978,0.07034099833349972
1979,0.04914819636902856
1980,-0.053015005468092014
1981,-0.12877617438004885
1982,-0.19396129023645137
1983,-0.0631721602502715
1984,-0.12813548561117583
1985,-0.0641495758885624
1986,0.05367146896069164
1987,-0.1357217306785261
1988,-0.1758605191113234
1989,-0.21008345010305884
1990,0.08719752726882946
1991,-0.04094364298473163
1992,0.017256339601692483
1993,-0.001959251539554341
1994,-0.05150887002783322
1995,-0.09459975686923827
1996,-0.1401738287026837
1997,-0.17815106227141708
1998,-0.07425765563511533
1999,-0.17283456915789985
2000,-0.02838799565455119
2001,-0.08130540475724479
2002,-0.15895403850355616
2003,-0.08191282481774964
2004,-0.1627465815140674
2005,-0.11243973304845101
2006,-0.10462667497907407
2007,-0.2650765508871076
2008,-0.13855935739478098
2009,-0.005792409463862835
2010,-0.18795052034347615
2011,-0.06579299495088486
2012,-0.014353004269634706
2013,-0.24468152308996594
2014,-0.1755845904054616
2015,-0.12235269695228368
2016,-0.052575504557224484
2017,0.008924022240005325
2018,-0.020829391413825782
2019,-0.025779905850048745
2020,-0.010323872448617433
