Year,ERF
1850,-0.47806121281447067
1851,-0.1407235212902685
1852,0.22391666525654752
1853,0.449844973312011
1854,-0.17970597057006862
1855,0.0669299278501781
1856,-2.4790333614643084e-05
1857,-0.1379546083439498
1858,0.3255843174062033
1859,0.2073435574325042
1860,0.18718340681133216
1861,-0.16164290677038298
1862,-0.33858245552717575
1863,-0.08915478736394492
1864,-0.40640604523051643
1865,0.08152182666122418
1866,0.464163696227674
1867,0.17703957316746632
1868,0.1692367114350143
1869,0.04080058969802439
1870,-0.15106581518936463
1871,0.22881263274449012
1872,-0.05047991174422867
1873,-0.10414322007112585
1874,0.33939382021867137
1875,0.18048982115769005
1876,-0.0002565527880573279
1877,0.21726916099611976
1878,-0.11092673812360634
1879,0.09429431204503225
1880,-0.018188203305940072
1881,0.5185168598297186
1882,-0.037541370805004214
1883,-0.26399253044919846
1884,0.16199405550035617
1885,-0.18171539783281643
1886,-0.10989146327089273
1887,0.04255185719941034
1888,-0.06755626275435778
1889,-0.0656739344727628
1890,0.2828923645813578
1891,-0.038659155371980926
1892,-0.152354065295711
1893,-0.09599811449698464
1894,0.2789619034189371
1895,-0.14594365050962596
1896,0.6057761372153199
1897,0.609249468638279
1898,0.018177418230764686
1899,-0.11891883439111325
1900,0.4934063479251568
1901,0.6140207514636336
1902,0.11620543811143692
1903,0.1695300586455633
1904,0.4712533950114545
1905,-0.15607605198106844
1906,-0.07291079758440527
1907,0.12369509173538623
1908,0.13149006549915565
1909,0.5089761354821891
1910,0.40944003466853307
1911,0.014157199362964792
1912,0.48698784899777897
1913,0.14311322173421678
1914,0.34376314578410117
1915,0.013897703601646688
1916,0.8278379750588596
1917,0.7355892727200875
1918,0.2341611873182578
1919,0.006866592501789781
1920,1.053682223685416
1921,1.2156151770560288
1922,0.3228250979543652
1923,0.45725958428491636
1924,0.6122702576865572
1925,0.2355846598487735
1926,0.3917571305566532
1927,0.895590911239547
1928,0.8882392924487877
1929,0.38641925671212113
1930,0.3525695611391014
1931,0.628037398384464
1932,0.8045695140936882
1933,0.6407831546156666
1934,0.5015984830843199
1935,0.3979450994346682
1936,0.8615315724411663
1937,0.20991405880328462
1938,0.6435338735252983
1939,0.8168700897494423
1940,0.8657363411202443
1941,0.6502653812499556
1942,1.0483473763608453
1943,1.2401077884013345
1944,0.12790961478749424
1945,0.41530060642026784
1946,0.7589568831648461
1947,1.00885240096056
1948,0.788576484366808
1949,0.9532358075670146
1950,0.5673288722408492
1951,0.9528581827754472
1952,0.6718829972651905
1953,1.0101764557189985
1954,0.42980832589568474
1955,0.781927272409809
1956,0.9218977921308089
1957,0.6440373156073578
1958,0.7900395396837446
1959,0.6070278202513122
1960,0.8156489997174017
1961,0.6506607224080041
1962,0.8261013018939053
1963,1.3050864303824432
1964,0.6726885473708613
1965,0.7438869294392765
1966,1.0934412946181462
1967,0.9704582229348178
1968,0.6994551427983782
1969,1.0874311517332511
1970,1.423389314013678
1971,1.660983007090125
1972,0.8437692090074373
1973,1.2472849829125443
1974,1.266459216913863
1975,1.4357497758582376
1976,0.9593254746056987
1977,1.2978671593109896
1978,1.329050785959164
1979,1.652845911436973
1980,1.2779082959519927
1981,1.2764876008729398
1982,1.5845667107611976
1983,2.053710429336383
1984,1.273383150288498
1985,1.8672172745597606
1986,1.845092318046957
1987,1.7548363903563438
1988,1.7577196645910858
1989,1.9045461331989866
1990,1.8805952273392745
1991,2.1896266308810803
1992,2.081281486481511
1993,1.8038347623448001
1994,1.9994533867657025
1995,1.8454472374902116
1996,2.0694404236933877
1997,2.0442282092120845
1998,2.2776086770589465
1999,2.2806336709401505
2000,2.4042711045095717
2001,2.2906616636201558
2002,2.1303018158672336
2003,2.4198787033209
2004,2.4096674361638826
2005,2.1215212849972547
2006,2.4306726004071595
2007,2.6562687806239444
2008,2.3968023717278184
2009,2.610822701058603
2010,2.3894065011330623
2011,2.1519051912013776
2012,2.445648784401726
2013,2.7793271435427904
2014,2.6484121012823936
2015,2.5776439953094803
2016,2.3988991376948388
2017,2.7397778194459783
2018,2.51331195014622
2019,2.488632462015585
2020,2.8228851595153515
