Year,ERF
1850,0.3156889317122026
1851,-0.1825637841524621
1852,-0.10216827530876035
1853,-0.4926280533918017
1854,-0.12094709283872576
1855,0.056050749903589686
1856,0.015943806739219496
1857,-0.23966667438391678
1858,-0.18339994103721463
1859,0.003762163807029529
1860,-0.0728560613698307
1861,-0.08833914845394386
1862,0.18539165298312746
1863,-0.10665450446109219
1864,-0.23382607832450303
1865,0.07359296420645006
1866,-0.012822700229881079
1867,0.14296304196576912
1868,0.10853779462205629
1869,-0.41230374991676766
1870,0.09355497236570823
1871,-0.11172539851759075
1872,-0.4267446677065779
1873,0.23576703153561068
1874,-0.20098406630215887
1875,0.21334879208773216
1876,0.2976838430418079
1877,-0.11508781954847716
1878,-0.07541902108476195
1879,0.09664106072659491
1880,0.03754287035052632
1881,0.2322529633131509
1882,0.23416821230260404
1883,0.21855018351340835
1884,-0.04140986371661358
1885,0.07072676706247905
1886,0.3790179868939794
1887,0.23010736973098284
1888,-0.013413126868429964
1889,-0.3376748601709928
1890,0.0994569551292111
1891,0.23146526403131976
1892,0.5162225197310646
1893,0.37827525872134815
1894,0.2535713759653012
1895,-0.013601752234303308
1896,0.5387797619723387
1897,-0.13184015886635383
1898,0.26065872931471523
1899,0.3502804072611718
1900,0.4748684565261659
1901,0.29068279563842847
1902,0.27204749794981314
1903,0.2798270495724803
1904,0.25068053919147215
1905,0.36496973611467315
1906,0.426036825839854
1907,0.6633430585258889
1908,0.2977428529061569
1909,0.17384463628170338
1910,0.4418432231805969
1911,0.40583114683238636
1912,0.5403722500762358
1913,0.34400174568209896
1914,-0.23377764539944307
1915,0.5762334321348361
1916,0.9376790936031689
1917,0.3382362466481394
1918,0.7074906308288307
1919,0.6349306185282114
1920,0.7412172337036936
1921,0.7036315480008593
1922,0.09927101131448654
1923,0.7236615059675575
1924,0.5284591737780124
1925,0.05549958043214176
1926,0.7000876363248327
1927,0.6015201264315817
1928,0.4167873110098086
1929,0.7174589796728184
1930,0.9351948705226978
1931,0.2961989335747735
1932,0.6393138702599519
1933,0.33005063019187975
1934,0.8286376697692868
1935,0.5633450100248101
1936,0.22295163758385522
1937,0.7576945042124863
1938,0.9819375282802049
1939,0.5840995554074861
1940,0.9499058548623966
1941,0.6482342231035694
1942,0.26547433177122903
1943,0.6874566157170929
1944,0.5636738153409804
1945,0.9244732711563083
1946,0.7942130984377539
1947,1.3578378935614928
1948,0.4492018873620578
1949,1.0470087345065986
1950,0.5397741340020568
1951,0.7171543609462319
1952,0.3871700084099022
1953,0.7461877790797208
1954,0.9868277570435698
1955,0.7422248854227468
1956,0.7879768796780648
1957,0.7014864271274802
1958,1.052458903064161
1959,0.2728799377327566
1960,1.3043509526008163
1961,1.288004425100502
1962,0.7737211237733307
1963,0.6241677187162566
1964,0.5882011929475862
1965,1.0429777606541608
1966,1.010464552682101
1967,1.0779653290894082
1968,1.0357634664684414
1969,1.5446706245894697
1970,0.576846389173537
1971,1.0443459803358204
1972,1.2562497199738325
1973,0.9517919592585213
1974,1.3831308244550815
1975,1.1305052882323188
1976,1.110609680001364
1977,1.3360534572153964
1978,1.5894542298809873
1979,1.3180556221533597
1980,1.1818135929696392
1981,1.891278393407613
1982,1.5830354137099873
1983,0.9102317737064162
1984,1.7676334242931606
1985,1.7125075109344565
1986,1.722436312611001
1987,1.7753667616840432
1988,2.052876621906554
1989,2.0505353348132562
1990,1.7516966683782678
1991,2.002125857336374
1992,1.9153363473358287
1993,2.2405826713661385
1994,1.7913384609152403
1995,2.422989105947413
1996,1.841908623339081
1997,2.4525099080895236
1998,2.4688561937218525
1999,2.503181268683525
2000,1.9004078951564836
2001,1.8712880302338748
2002,1.8547017400573396
2003,2.6936722942417735
2004,2.0613637071224007
2005,2.5474837852250714
2006,2.49707368006617
2007,2.3946115956594145
2008,2.25465064364954
2009,2.0333085911941513
2010,2.708296758537785
2011,2.360313196180194
2012,2.375639837965715
2013,2.8424780895071877
2014,3.0393884060269825
2015,2.9775833194587733
2016,2.1613183047777373
2017,2.8976808294584036
2018,2.943360679549965
2019,2.824679640096141
2020,2.5833690945856667
