Year,ERF
1850,0.2668659819933804
1851,-0.3132983659924382
1852,-0.31707536115545476
1853,0.22121676351461808
1854,0.18256920490310863
1855,-0.2886476014528569
1856,0.07563613057451427
1857,-0.20341503219107257
1858,-0.4084875419777513
1859,-0.03158605370061519
1860,-0.29108639689234167
1861,-0.3381327278478018
1862,0.3022600548505908
1863,0.2623758749156231
1864,0.4262376891122293
1865,0.20908051534438674
1866,-0.11063081106771955
1867,-0.06615070492844236
1868,-0.33299194567094725
1869,0.14868068997197517
1870,-0.19773881163060594
1871,-0.32827217771704337
1872,0.22241835178122105
1873,0.2073756455531779
1874,-0.3984500212494447
1875,-0.22970562312845783
1876,0.14821803659520344
1877,-0.012575169680985536
1878,0.26366586370628575
1879,0.2709402513345342
1880,0.002827662105276768
1881,0.3007350514742348
1882,-0.023036472207755683
1883,0.1423741307487918
1884,-0.009670325791650319
1885,0.024459869990025907
1886,-0.29167342649362
1887,-0.11705457297869117
1888,0.15474782078534513
1889,0.30903774133628237
1890,-0.007567947670901416
1891,0.024550265357280374
1892,-0.46738083009663445
1893,-0.24401887221975055
1894,0.05734701304843612
1895,-0.1277999833515029
1896,-0.23925389110717502
1897,-0.03520230347667964
1898,0.37615453047551584
1899,-0.32660703657847445
1900,0.06387675324709075
1901,-0.07689305784974383
1902,0.03125221338061119
1903,-0.35134184758446485
1904,0.0851896160875599
1905,-0.6565677161732814
1906,0.24350066313777474
1907,-0.16888400453070154
1908,-0.3359709129233627
1909,-0.566123340820928
1910,-0.21580120743254216
1911,0.16004552578685743
1912,-0.04943102896576464
1913,-0.4058748715780963
1914,-0.12447429614447912
1915,-0.28567830507370545
1916,-0.4394648507439965
1917,-0.10706984365742865
1918,-0.4394113178317243
1919,-0.5563839238909473
1920,-0.3040254816053016
1921,-0.26722812262062495
1922,-0.2087327589840532
1923,-0.538478959804433
1924,-0.15359070568231892
1925,-0.2419143496242771
1926,-0.9497322164246769
1927,0.009701368350619827
1928,-0.05008594887777312
1929,-0.6971528295517594
1930,-0.3596367351975874
1931,-0.0561387324751591
1932,-0.18633615003438433
1933,-0.33032040872330154
1934,-0.4943984845322812
1935,-0.494281311002031
1936,-0.3190829563138894
1937,-0.5388387651669417
1938,-0.11030027581505064
1939,-0.8406279973911069
1940,-0.12270889989430228
1941,-0.7298277572776106
1942,-0.10495374649647665
1943,-0.016555867046294748
1944,-0.8031165996635189
1945,0.11962950782365647
1946,-0.1197350263570465
1947,-0.7266760678869926
1948,-0.27415152532449116
1949,-0.31935429459374176
1950,-0.7168580556590415
1951,-0.2818092572284561
1952,-0.39470474960156154
1953,-0.5511797030547826
1954,-0.4909669688725811
1955,-0.23347671367315875
1956,-0.8670633958110029
1957,-0.8200053675941817
1958,-0.4821074217951623
1959,-0.9853192078632175
1960,-0.8433361615490322
1961,-0.7938441317927579
1962,-0.6246707607465439
1963,-0.7590279619119242
1964,-0.7267528929004727
1965,-0.5978719770352348
1966,-1.4063312175983598
1967,-0.760245321700824
1968,-0.25985385226067226
1969,-1.2451720921087062
1970,-0.8961727525791938
1971,-0.7257808910464787
1972,-0.3257274189906051
1973,-1.0147354159214448
1974,-1.3692543147542335
1975,-0.9444414130139224
1976,-1.0651821917140185
1977,-0.9672934261807004
1978,-0.7200004201535956
1979,-1.0907149129541307
1980,-0.788613088280691
1981,-0.6811056406989333
1982,-0.7041314577548723
1983,-1.2414851151753514
1984,-1.0440411166083514
1985,-0.6349363160906496
1986,-0.4010442843382085
1987,-1.0396010532509856
1988,-1.1282884276246625
1989,-0.8194955483906977
1990,-1.0735182368529381
1991,-0.8588350995151346
1992,-0.6015278767194551
1993,-0.29785101751059395
1994,-0.7982298700395136
1995,-0.8015876602712404
1996,-0.6764133796013937
1997,-0.8464908171237214
1998,-0.3775509331409577
1999,-1.2411230020700645
2000,-1.1290282670491463
2001,-0.4259125478061476
2002,-0.6459289506350343
2003,-0.5540503763023162
2004,-0.8247909664225158
2005,-0.5434108213916905
2006,-1.2061339063245824
2007,-0.8838084350146048
2008,-0.5365198408262194
2009,-0.6061963128801964
2010,-0.26749338817992435
2011,-0.7149578887591316
2012,-0.5692753220394572
2013,-0.5247956423653646
2014,-1.1003354004505512
2015,-0.893256343892953
2016,-0.4134108537372605
2017,-0.32921170863408833
2018,-0.30071324883451295
2019,-0.5182990618057843
2020,-0.5996688288157236
