Year,tas_diff
1850,0.066021684127315
1851,0.09721762826908353
1852,-0.05440524622650611
1853,0.025422916937243297
1854,-0.053986790613852344
1855,-0.013884776846547275
1856,0.08545470573705238
1857,0.042562469465993374
1858,0.09623173732060802
1859,0.0931890054739418
1860,0.10276632547066168
1861,0.1696908049107853
1862,0.16370482630543462
1863,0.0426053186805647
1864,-0.07500525625585155
1865,0.08571960455425369
1866,0.15361589697885095
1867,0.05052042890479289
1868,0.14867119412645255
1869,0.054784656983316776
1870,-0.05091796541327618
1871,-0.18379855343936874
1872,-0.029537658836064982
1873,0.08772340038507706
1874,0.02282140673458154
1875,0.013504049582024075
1876,-0.039561512888518884
1877,-0.10600844613453075
1878,-0.09324257121279289
1879,-0.07035199119341803
1880,-0.1217644149383904
1881,-0.11361609175152022
1882,0.010225617277326196
1883,-0.005229688967154518
1884,-0.04080130511427253
1885,-0.08534406185928649
1886,-0.17603242923551377
1887,-0.23271555855738593
1888,-0.15770966111149676
1889,-0.2282328550770504
1890,-0.05363124253052369
1891,0.028677649147286266
1892,-0.13137549699826
1893,-0.1122653921852417
1894,-0.08112925272602989
1895,-0.12440583815030268
1896,0.08402220870891228
1897,-0.010685414569210086
1898,-0.051845873669969636
1899,-0.15133803695431508
1900,-0.01021550949487568
1901,-0.15256212700483304
1902,-0.03782458473714195
1903,-0.045044667065505986
1904,-0.03055429354326486
1905,0.05085116689351972
1906,-0.06603696365945726
1907,0.01993957107039282
1908,-0.027841538989643616
1909,-0.17089014044717935
1910,-0.16053406789585453
1911,-0.2196447583708815
1912,-0.11399386656349528
1913,-0.22363075212718297
1914,-0.11752758370984162
1915,-0.04735260824833898
1916,0.0620354389866809
1917,0.0031178564681138277
1918,-0.008205623760356301
1919,0.0733704715918595
1920,-0.13205814250259726
1921,-0.08126160863998097
1922,0.043482855308514284
1923,-0.05706590819778315
1924,-0.1166578297256293
1925,-0.010304295654236878
1926,-0.002096469096029424
1927,0.05701732356942907
1928,0.12532219708107817
1929,0.059271521393337356
1930,0.11582029248266745
1931,0.03308933197183561
1932,0.08455320803299088
1933,0.008004088380614088
1934,-0.22118352697995922
1935,-0.12122922979318232
1936,-0.027869943312147927
1937,0.10852124782131489
1938,0.17848145339995974
1939,0.004654076536046214
1940,0.07614566225578812
1941,0.29226478781430776
1942,0.11994789542630174
1943,0.0580805672794758
1944,0.0740069135388744
1945,-0.01352234844653133
1946,0.034002061025905694
1947,0.07514372321677193
1948,0.09267839190910615
1949,0.09499602887181746
1950,-0.03752874894255159
1951,-0.12952618924556525
1952,-0.20362380057899132
1953,-0.05730971543750718
1954,0.002750288129422074
1955,-0.055575038461824766
1956,-0.09843219267273468
1957,0.0299637142428133
1958,-0.025503075549940912
1959,-0.15373712044330645
1960,-0.05822590105647224
1961,-0.032825402676787574
1962,-0.10715520913169374
1963,-0.014308885299921803
1964,0.05466069078275504
1965,0.014834609967479095
1966,0.03629510499229194
1967,0.02638783196710126
1968,-0.058424520037307914
1969,-0.3117900034525575
1970,-0.167944996718837
1971,-0.1472908373304448
1972,-0.07781353868874441
1973,0.05775804522108674
1974,-0.10539539074403903
1975,-0.19546939252267093
1976,0.029273232070124444
1977,-0.006867484641659538
1978,-0.12766336365255548
1979,-0.11630647848302145
1980,0.07302132824956065
1981,-0.08007724770439928
1982,0.021022283088393934
1983,0.02549503672623543
1984,0.0345191448091724
1985,0.11240172655457636
1986,0.005147513799393266
1987,0.10542437421890904
1988,-0.018128665158751778
1989,-0.07189238675118703
1990,0.07295070876397913
1991,0.033396507937801134
1992,0.07533970818356261
1993,0.14085414906239002
1994,0.1994080508181596
1995,0.22263253649643644
1996,0.15153105121585275
1997,0.19230803018053366
1998,0.14189665007717678
1999,0.012622598933885953
2000,0.15360560430141235
2001,0.2524691976629565
2002,0.06117556073213282
2003,0.1666930379389926
2004,0.2998572363154012
2005,0.3181205111275257
2006,0.3318143556488098
2007,0.20946793320730228
2008,0.10612565970240884
2009,0.15036838040959077
2010,-0.0013543469412922171
2011,0.04677638590598887
2012,-0.08787272197891927
2013,0.05948342686656649
2014,0.3301232984882454
2015,0.2833527353295463
2016,0.3004302607046405
2017,0.23654737269787396
2018,0.28599898020941394
2019,0.2956897126520238
2020,0.3620598318774244
