Year,tas_diff
1850,-0.08531888904999523
1851,-0.2243702074380137
1852,-0.022994758149812694
1853,0.14759369465180405
1854,0.01082319774776648
1855,-0.03340126107481502
1856,-0.0030806178891595176
1857,-0.10139247361158797
1858,-0.07442109977707054
1859,-0.03106347946763429
1860,-0.0671600085874018
1861,-0.007213905208451632
1862,-0.12990340634608594
1863,-0.09225296955610074
1864,-0.10113507240353597
1865,-0.10427061178235833
1866,-0.15016775936253693
1867,-0.08397380889271037
1868,-0.0274807093852306
1869,0.019611933216795562
1870,0.10106644784035881
1871,-0.06974607473432937
1872,-0.08289268462547461
1873,-0.17960934067444462
1874,-0.23815130120531633
1875,-0.2757104776752586
1876,-0.06908309983137376
1877,0.006732882583705677
1878,-0.1712983674045428
1879,-0.2312020628645921
1880,-0.1306066409569469
1881,-0.2070971425365609
1882,-0.37281136309823326
1883,-0.46601904811473255
1884,-0.36451897279106626
1885,-0.10577964456724603
1886,-0.19398219293804156
1887,-0.15710139033277737
1888,-0.022270514057908197
1889,-0.03900132572801479
1890,-0.00509347211138203
1891,-0.09720398974542631
1892,-0.18645318999113059
1893,-0.28832081188895115
1894,-0.23677758553697165
1895,-0.07946398943405966
1896,0.018504530269217508
1897,-0.127262285780687
1898,-0.03135359605656418
1899,-0.08802902804871707
1900,-0.022486310005475976
1901,-0.10484434142561724
1902,-0.09568189328772282
1903,-0.06997574242749084
1904,-0.2407998795768584
1905,-0.0938481441310065
1906,-0.10142402392604978
1907,-0.053852743630012925
1908,-0.16855072654819078
1909,-0.23507341465691384
1910,-0.15551893499551933
1911,-0.20907360825901672
1912,-0.1263695805998488
1913,0.0504007238009177
1914,-0.09644197672058914
1915,-0.030761087277272933
1916,0.12400306809728476
1917,0.082106522175402
1918,0.1700119373181291
1919,0.0329589314515763
1920,0.023373678088969996
1921,0.05353013278191298
1922,0.08276946693315479
1923,0.009499384969578098
1924,0.030633356658223986
1925,0.09540201907946902
1926,0.14297087681830573
1927,0.07805829094201883
1928,0.15007249804378858
1929,0.05272086082860389
1930,0.018092678941940332
1931,0.00481528865150993
1932,-0.06643580610603184
1933,-0.030498226650118268
1934,0.14876324065180835
1935,0.18627535128396716
1936,0.07408824772102465
1937,0.08519956267169645
1938,-0.013388596756893079
1939,-0.04896261099461793
1940,-0.1686222791847637
1941,0.05599530532402858
1942,0.07580235433980018
1943,-0.08739859394918159
1944,-0.29281873693351895
1945,-0.0337679768581772
1946,-0.10183871667129758
1947,-0.03794509385770904
1948,-0.09469395163596885
1949,-0.002773462725601361
1950,0.054282393062153544
1951,-0.06510820261400554
1952,-0.11655782440934215
1953,-0.030832108693276114
1954,-0.06948839624263123
1955,-0.2452466248632931
1956,-0.17303173458346197
1957,-0.11221062625333494
1958,-0.053071278434831254
1959,0.07713305844534914
1960,-0.0027665297070514905
1961,-0.02586554171305247
1962,-0.16634801988373343
1963,-0.11099142904929735
1964,-0.08975209162537334
1965,-0.20673266577557323
1966,-0.04816453479023325
1967,0.042985832750092434
1968,0.15087255559671403
1969,0.09590974762013468
1970,-0.14418347711605564
1971,-0.005386713469644339
1972,0.06547264645360508
1973,0.1448344236570177
1974,0.05383713354452925
1975,0.0770990171906157
1976,0.13141931202184604
1977,0.0008563996611152674
1978,0.07281131008083665
1979,-0.031868987030800114
1980,0.1185181263501762
1981,0.078599543813548
1982,-0.02813538628684605
1983,0.15029724069243605
1984,0.09361277809564279
1985,0.14529524961489432
1986,0.09769714663362454
1987,0.2058969872165197
1988,0.2099376325301984
1989,0.17951306439852016
1990,0.11116850276502135
1991,0.07109682592342936
1992,0.08470539932669127
1993,-0.15283354985968206
1994,0.05235491907804368
1995,-0.02038696214723984
1996,0.017867128938949067
1997,-0.19254922570089694
1998,-0.09008978222562414
1999,-0.04996162028782911
2000,0.11848262671259872
2001,0.021450970431210883
2002,0.1638861736194508
2003,0.04518255913892966
2004,-0.13442053106984742
2005,-0.07700377813393688
2006,-0.037838171137709015
2007,-0.09884287878227346
2008,-0.07148378902438773
2009,0.016767710081460357
2010,-0.17521026590628608
2011,-0.13062210267772428
2012,0.024785005951443104
2013,-0.05906276950461296
2014,-0.17896695769158133
2015,-0.21114764105018627
2016,-0.08815222135413525
2017,-0.04366863284465812
2018,-0.1325470209533866
2019,-0.1584867369903357
2020,-0.02989859888990458
