Year,ERF
1850,0.29322627307696597
1851,0.16278547105502933
1852,0.23204988946234217
1853,0.056798329582289725
1854,0.2509380706211911
1855,0.08325689244088043
1856,0.5677723778140822
1857,0.28379688665109615
1858,0.27363163165203075
1859,-0.29110325530858605
1860,0.2969791731568178
1861,0.19457985281697027
1862,-0.12987705095365998
1863,0.10059246915781014
1864,0.027484829963331632
1865,0.05421944863621658
1866,0.1511045514702238
1867,0.2428544587957227
1868,-0.1555524690130171
1869,0.621984178845465
1870,0.5089432180643895
1871,0.3408862862801022
1872,0.039899600347820946
1873,-0.05906485274386025
1874,0.3305703054641936
1875,0.25020181307161776
1876,0.36105043236122997
1877,0.029975488175484177
1878,0.11913288070667269
1879,0.19770219021988447
1880,0.0047731124394451985
1881,0.13736867091138
1882,0.49769305177719614
1883,-1.0093335597022681
1884,-1.5586253402769088
1885,-0.15545150622126924
1886,0.23019044043340536
1887,0.48750403159180133
1888,0.23333622332058862
1889,0.41142491362321243
1890,0.04655501300653607
1891,-0.14253197524286448
1892,0.4078971854134632
1893,0.455601886818989
1894,0.36691152300661944
1895,0.1546561502569097
1896,0.2150263272542819
1897,0.42190000245527903
1898,-0.16103860244035956
1899,0.5466912810576752
1900,0.8078612453060936
1901,0.03925560641871498
1902,0.09885984744148024
1903,-0.6520231112316915
1904,0.31553516188919883
1905,-0.312856891883707
1906,0.36051653900025094
1907,-0.010079673323244588
1908,0.4549976489790096
1909,0.3237258564029184
1910,0.17088205693720926
1911,-0.0007829004639400977
1912,-0.14980614757995975
1913,-0.11071349525610716
1914,0.2921016138636357
1915,0.4506168653629874
1916,0.3510388718881768
1917,0.33711902966217655
1918,0.08572725466361644
1919,0.5815253771376845
1920,0.23392950703591947
1921,0.6805269020327728
1922,0.09974747633372327
1923,0.03649434198383253
1924,0.4050792745946089
1925,0.4952235812760991
1926,0.48451600903567577
1927,-0.06237254608357162
1928,0.4292707705129458
1929,0.09700447601168183
1930,0.09929476081803087
1931,0.5796033912062137
1932,0.2878765004002677
1933,0.28956001718221136
1934,0.6154940057029331
1935,0.5153219742208277
1936,0.22159402784218032
1937,0.48247011111840554
1938,0.5335778968051434
1939,0.26986046300137667
1940,0.41601923685383296
1941,0.22577494422682687
1942,0.33056313183472447
1943,0.6189437648691392
1944,0.815768270283463
1945,0.32925039482824014
1946,0.3109711339854478
1947,-0.168751510553534
1948,0.46451103637363234
1949,0.7811882170054048
1950,0.3182058622356433
1951,0.033631239052442724
1952,0.7052407878433198
1953,0.2530370522976445
1954,0.48419968938504443
1955,-0.01776509282562988
1956,0.4627110163613242
1957,0.36399557514081016
1958,0.46834866979105144
1959,0.065968941335144
1960,0.7734458371415318
1961,0.5929000147087411
1962,-0.3046251576224047
1963,-1.0456524572521648
1964,-0.1967594111150459
1965,-0.27379268836983683
1966,0.48337729473782026
1967,0.5971458594240454
1968,0.2569764171319674
1969,0.5689852874606958
1970,0.609172712889042
1971,0.3120237414206763
1972,0.11864535964086201
1973,0.8067167900277274
1974,0.5549379466520428
1975,0.10964905559825922
1976,0.31743571539512283
1977,0.7597705770023877
1978,1.0288342741533898
1979,1.2438094343244888
1980,0.648170465566867
1981,0.9374926478901113
1982,1.4180078587621159
1983,0.19537382590846608
1984,0.518071468850803
1985,1.3405189288015535
1986,1.0928990727852765
1987,0.8969645107482395
1988,0.781541632421636
1989,1.3033091341663632
1990,1.3498408496103345
1991,0.7452571009881085
1992,0.0808310881129286
1993,0.40204312698075506
1994,1.373126528304987
1995,1.1265656369209087
1996,1.9718341469080016
1997,1.8301585869622745
1998,1.960173664516844
1999,1.6931369764515114
2000,1.8513840282473195
2001,1.7105760459048502
2002,1.6871374633810439
2003,2.159557727097563
2004,1.6760623772501193
2005,1.7144745201107896
2006,1.9766980594320565
2007,1.4204149107121653
2008,2.057625859271609
2009,1.9137746446615314
2010,2.2829690171453674
2011,1.799897074189449
2012,2.2996356945119674
2013,2.5106607686668916
2014,2.2114978651158124
2015,2.309025081733204
2016,2.2011357393258777
2017,2.5277194789559356
2018,2.215218704485116
2019,2.7235356871052163
2020,2.530396448259194
2021,2.577722988095707
2022,2.9387677889786845
2023,2.841292141640138
2024,2.550212542802261
2025,2.7483532416136454
2026,2.882872942181713
2027,2.559545833316467
2028,3.2692768220580533
2029,2.3314605882131456
2030,2.825714300783546
2031,3.329138379020052
2032,2.7069253992091173
2033,3.139687909069064
2034,3.5162044672432082
2035,2.8024698067841416
2036,3.3418009498508017
2037,3.113374478331294
2038,3.178256847040762
2039,3.355996079356906
2040,3.2358176549949897
2041,3.202934800721204
2042,3.421588327141556
2043,3.4103313486716784
2044,3.216259924181375
2045,3.1516850072274067
2046,3.5052583252234193
2047,3.8969903040043428
2048,3.4637336059548156
2049,3.8400746887515007
2050,3.6622397876458797
2051,3.603771047043275
2052,3.8755323009090645
2053,3.3890521621908603
2054,3.4714420798768
2055,3.870571555160873
2056,3.8969420114604927
2057,3.7403484849028668
2058,3.618199656903203
2059,4.199440301895805
2060,4.048816913087929
2061,3.9188340938779236
2062,4.009935152960225
2063,4.030567189236412
2064,4.1921222976452075
2065,3.9669798043402063
2066,4.149043077657386
2067,3.6759449704908334
2068,4.393109182327677
2069,4.592250523018261
2070,4.299018601438899
2071,4.629083741680844
2072,4.556896387403637
2073,4.224392236153639
2074,3.997163728303989
2075,4.159174170768367
2076,4.308043297204618
2077,4.086711512813696
2078,4.380997132532645
2079,4.510533653079012
2080,4.073660330412206
2081,4.435414814077887
2082,4.56978833593821
2083,4.656368913164139
2084,4.091857484805452
2085,4.0666050033167185
2086,4.7892191116271
2087,4.550204175245332
2088,4.120835970508502
2089,4.57074478452143
2090,4.377847466857178
2091,4.688619980721577
2092,4.267411584655106
2093,4.805477555620116
2094,4.50067290733976
2095,4.694512028856176
2096,4.581526100285991
2097,4.467531520921519
2098,4.343188324135524
2099,4.5843935561662
2100,4.596352974810236
