Year,ERF
1850,0.13992022451951922
1851,0.33508084899548735
1852,0.013793073138577083
1853,-0.06846208445811619
1854,0.04398595868876347
1855,0.11438198912879131
1856,-0.14455291702833528
1857,0.4814812963872468
1858,-0.03796984387696256
1859,0.06238844559769371
1860,-0.011204762141280616
1861,-0.35537912625732526
1862,-0.442613518721983
1863,0.010712197801325679
1864,0.18626831981290293
1865,0.3716561974059036
1866,0.08591280423997417
1867,0.5171239170907925
1868,0.0350139927852256
1869,0.3533170331594583
1870,0.19957009907753537
1871,0.03290919258420015
1872,0.3077228112365444
1873,0.38044100138941317
1874,1.0016628876382037
1875,0.31122233798606247
1876,-0.053701626932309454
1877,0.24628942087999206
1878,-0.0464048526903699
1879,0.4468136608394042
1880,0.23616897913003584
1881,0.05502828429566846
1882,0.42702884665350405
1883,-0.9018974138182575
1884,-1.9256808872368514
1885,-0.21777600854814883
1886,0.2528180982719742
1887,0.16101236821929155
1888,0.4017405956472311
1889,-0.11828784194229242
1890,0.21321016324675146
1891,0.34392293603145085
1892,0.24892339600569485
1893,0.4933259835899781
1894,0.2458989485700013
1895,0.28144368705829786
1896,-0.03276694863215289
1897,0.4742764449669612
1898,0.1272053874176222
1899,0.06822392746710423
1900,0.10618316077845112
1901,-0.03276778279655017
1902,0.281627910301383
1903,-0.8584459672535913
1904,0.1487016126772094
1905,0.357021684295464
1906,-0.014580774526699758
1907,0.23766109080378506
1908,0.2325386543451068
1909,0.5167244516924457
1910,-0.10243168760008342
1911,0.20984402004338581
1912,-0.568060952782666
1913,0.25438780392350935
1914,0.19087310532132476
1915,0.4508408820690909
1916,0.2815657009445801
1917,0.5725139238490038
1918,0.27289285844985334
1919,0.3077491973162072
1920,0.5860726384837135
1921,0.5101486373647401
1922,0.17061922460946405
1923,0.16683431155960768
1924,0.5638867895350999
1925,0.30951802058793015
1926,0.37175530079717867
1927,0.28745100432200665
1928,0.27438282234749234
1929,-0.07702952906577396
1930,-0.1585461448904565
1931,-0.5446300862995604
1932,-0.020968157900414564
1933,0.7796870928356499
1934,0.20199595900861048
1935,0.3749138844633416
1936,0.16677268175089133
1937,0.10142212628879901
1938,0.19403297506148565
1939,0.4093985804177498
1940,0.31271846626251276
1941,0.11238082791907258
1942,-0.0836316480530177
1943,0.09914345658153029
1944,0.005849251353707952
1945,0.2607803773517803
1946,0.33783402065499724
1947,0.3700476078449648
1948,0.0728988273165686
1949,0.07327627608038859
1950,0.24361505428096705
1951,0.1629584017810911
1952,0.5867046800645148
1953,0.33709763118453107
1954,0.08700657682344648
1955,-0.0453190304216215
1956,0.530873564739119
1957,0.7145193484240815
1958,0.3629169821891485
1959,0.5096726305320117
1960,0.13591312037728204
1961,0.2012376058449585
1962,0.22820095164611315
1963,-1.451161614454695
1964,-0.11380163670612911
1965,-0.5797343544081869
1966,0.2547900556605206
1967,0.42980156249907103
1968,0.15427219275132664
1969,0.5180386731052924
1970,0.37316469320137996
1971,0.38074608739297744
1972,0.48638738053482083
1973,0.21187686759137705
1974,0.3877238328974391
1975,-0.08477154182032745
1976,0.6813202457084262
1977,0.7572140793334733
1978,0.5525385237976235
1979,0.5760621345099401
1980,0.41952684093072534
1981,1.1647852908652916
1982,0.43828374382202445
1983,0.448246746580802
1984,0.544579422133463
1985,0.6872711611284525
1986,0.8142427624184556
1987,0.9968520552367296
1988,1.1165197935851305
1989,1.4002968173324724
1990,1.2448048238684686
1991,0.3790617483184712
1992,-0.27761268211459095
1993,0.8684171228089954
1994,1.1151307665986718
1995,1.0780997296185024
1996,1.6082376822537539
1997,1.711505061645505
1998,1.494777090515341
1999,1.3161891111752606
2000,1.9651859605413429
2001,1.86666546425834
2002,1.4054998277867132
2003,1.406824471539506
2004,1.9190324176271942
2005,1.4140269736239963
2006,1.6519557837854144
2007,1.701563073507124
2008,1.7383917947769434
2009,1.9355299291722319
2010,1.627042690944154
2011,2.0965617743856555
2012,2.285458702657741
2013,2.121095225044283
2014,1.9250341639147694
2015,2.7584984955058545
2016,1.9398337033047053
2017,1.7871421497512856
2018,2.956723717281867
2019,2.03550330079973
2020,2.2481676676100815
2021,2.3784584565750917
2022,2.6489413337816448
2023,2.7122884293884564
2024,2.6387699156978712
2025,2.786249904524536
2026,2.757457685478293
2027,2.912069693125062
2028,2.8450525128500703
2029,2.4793217904749696
2030,3.2067356998446135
2031,2.851829680476116
2032,3.496830779731552
2033,3.0828127883090417
2034,2.924217475821531
2035,3.5864073169195803
2036,3.37126460661288
2037,3.282156076019052
2038,3.7454261901946326
2039,3.6485699776045664
2040,3.7256759393688217
2041,3.644445019183929
2042,3.696251459842119
2043,3.544677489858813
2044,3.9587197403203795
2045,3.650198890598001
2046,3.6645205952158424
2047,4.136053930240378
2048,4.258729087271
2049,4.439543443575776
2050,4.0812852747728
2051,4.260288347732984
2052,4.37667179819526
2053,3.850849176668714
2054,4.419041568140418
2055,4.403238973676329
2056,4.791929271736459
2057,4.515481211963337
2058,4.899077745861931
2059,4.432412871067072
2060,4.826974838139076
2061,4.595389252677304
2062,4.444587170538938
2063,5.193069610323536
2064,5.435019300286811
2065,4.541492929827113
2066,5.303253700318861
2067,5.508487151799768
2068,5.46895224939681
2069,5.099188522547335
2070,5.35376877710293
2071,5.553046842951366
2072,5.848089193422852
2073,5.37217074076324
2074,5.438210428095939
2075,6.037943306799542
2076,5.8091631175296365
2077,6.05476084422094
2078,6.018875268506357
2079,5.915479142985602
2080,6.282992708770641
2081,6.66690571747626
2082,6.079637873215134
2083,5.9642263406463965
2084,6.43174975015372
2085,6.928835546143622
2086,6.315955907805659
2087,6.01284165577373
2088,6.641615513035385
2089,7.165438885665264
2090,7.100433309609869
2091,6.6867175442704765
2092,6.916036058855622
2093,7.169166601071193
2094,7.2286093669634965
2095,7.1500331954552445
2096,7.6637854217917685
2097,6.965532985766656
2098,7.697181596312045
2099,7.455070120626939
2100,7.382085573358912
