Year,ERF
1850,0.23981787569086116
1851,0.2447083841308581
1852,0.03331605292806265
1853,-0.25466093223308556
1854,0.2488301369926371
1855,-0.08168568170369675
1856,0.14943977729055075
1857,0.6992798828854708
1858,-0.6825802329797749
1859,-0.6302373276437565
1860,0.5461117203448645
1861,-0.06188802932747785
1862,0.18437263987664548
1863,0.13254415324005017
1864,-0.750431997534956
1865,0.228480859478631
1866,0.13865842124663158
1867,0.272457001100969
1868,0.04605581699770718
1869,0.37195187463406304
1870,-0.14995591394254576
1871,0.16942807487317227
1872,0.3909147002326411
1873,-0.6940439599814924
1874,0.36411376252361194
1875,0.1048553641262089
1876,0.626272733825193
1877,0.3074691608663602
1878,-0.06531398321188844
1879,-0.3481084206557141
1880,0.20566552401313143
1881,0.003060491944861965
1882,0.10280424783366116
1883,-0.1420868835945026
1884,-2.3878133545260063
1885,-0.5173151181696363
1886,0.18178648569505906
1887,0.1443445694029546
1888,-0.15288928512462513
1889,0.48161135843445746
1890,-0.3400828137064155
1891,0.06967825576911041
1892,0.2076362501429418
1893,-0.025823792507919108
1894,-0.050956692830057
1895,-0.09745028583790291
1896,0.30673888524873494
1897,-0.8839045308593942
1898,0.4409836041232381
1899,-0.24234735891230497
1900,-0.281969710024807
1901,0.07578016395200954
1902,0.02604317141822335
1903,-0.46562599549290073
1904,-0.2678680167540318
1905,-0.27477862266367115
1906,0.22469145071052998
1907,-0.2613462783612003
1908,-0.4420262346157706
1909,0.45777230871007996
1910,-0.5901195849613747
1911,-0.3801145590234275
1912,-0.21136179982303338
1913,-0.4744692142769462
1914,-0.4172810695067867
1915,0.24618826801421703
1916,0.12165595137562227
1917,-0.40414969096070685
1918,-0.04742883158734826
1919,-0.06889219737949315
1920,0.4188255319720205
1921,0.003035753424419217
1922,-0.18076890819538355
1923,-0.08770438090714547
1924,0.4845732621525754
1925,-0.09547524671880546
1926,-0.001778940681121069
1927,0.46336902083785847
1928,-0.2695675996131346
1929,-0.20970261434964566
1930,-0.03131023657989501
1931,0.6458889272945454
1932,0.08983550057538439
1933,-0.479296403328504
1934,-0.0015162055004167875
1935,0.39099495324121447
1936,0.15923438599217102
1937,0.1333009753216981
1938,0.436069836770574
1939,-0.4604318405038815
1940,0.34372872417131434
1941,-0.3400931024087721
1942,-0.2800068178164367
1943,-0.3420807736990231
1944,-0.7790328495280588
1945,0.39973634160748217
1946,-0.13602000606731177
1947,0.6859149224160952
1948,0.061882573761221096
1949,-0.16710207501183927
1950,0.4909841846993795
1951,-0.03535700615706623
1952,-0.23463655322634103
1953,0.22366763706727297
1954,0.665184243431923
1955,-0.29550276044588963
1956,0.18790092533213582
1957,-0.1716354811368883
1958,-0.36156420173190706
1959,-0.07477153353715497
1960,0.15328965411698148
1961,-0.4188178145193101
1962,-0.41360517092633875
1963,-1.6125290710726725
1964,-0.33491162326515445
1965,-0.29727441764366414
1966,-0.08491554171368354
1967,-0.4967726267896548
1968,-0.07115684932016514
1969,0.002331653914670634
1970,0.12612795714048933
1971,-0.6959335629180877
1972,-0.021480098255166405
1973,-0.05999978816696042
1974,-1.2532158603157562
1975,-0.01795691225150016
1976,0.11931743422401732
1977,-0.39143458803274933
1978,0.5889475112569235
1979,0.6947740123481038
1980,0.17830448701369073
1981,0.6164095810267511
1982,-0.1213952707618611
1983,-0.3851200097207302
1984,-0.4603289608998414
1985,0.3213140491175112
1986,0.10110407656994974
1987,0.7207883860211208
1988,-0.02432956438505779
1989,0.921274871434862
1990,0.9759943663999655
1991,-0.6174651834362115
1992,-1.826977127254255
1993,0.04974588236928511
1994,0.534789868206295
1995,1.022407867028775
1996,0.15600124451668398
1997,0.00016112599565226704
1998,0.462536659565596
1999,0.6383800228694413
