Year,ERF
1850,0.4880278244869959
1851,0.1983565428199512
1852,-0.1728475724975547
1853,0.3496756169992393
1854,0.12239930830358965
1855,0.24674686897614503
1856,-0.22913158128958397
1857,0.29614127764876585
1858,0.2944787138594274
1859,-0.10888998235711114
1860,0.2111977734135413
1861,-0.43393059497184794
1862,0.08402971085569294
1863,0.42339407214350433
1864,0.5603923810581517
1865,0.3090769927080843
1866,0.37237144193456934
1867,0.7138385403994241
1868,0.08660387471116854
1869,0.5325134220222946
1870,0.0587397976502618
1871,0.8218597831893223
1872,0.2855584151621665
1873,-0.07096579911784706
1874,0.10601634300512594
1875,-0.10670353848204334
1876,0.5843156093411674
1877,0.1850239065985282
1878,-0.1303910737281244
1879,0.2803230367588693
1880,0.36459322477176126
1881,-0.10483259265247824
1882,-0.21409697362883995
1883,-0.7298247551952606
1884,-1.9572436436001945
1885,-0.4206581141185279
1886,0.29723450123772405
1887,0.34306318043928885
1888,0.6205319482633198
1889,0.6607348114758921
1890,0.23330115080288938
1891,-0.08463413844635356
1892,0.6722443043846005
1893,-0.020542648340467262
1894,0.1923403522118648
1895,0.4893240552481212
1896,0.7829821426879888
1897,0.16721840915227287
1898,0.6945844181228098
1899,-0.08876688366750754
1900,-0.18077260245464674
1901,-0.04213735857428115
1902,-0.20630568942000466
1903,-0.9791550032800312
1904,-0.61763012894214
1905,0.06916654349267223
1906,-0.05008548319531869
1907,-0.49354227523024413
1908,-0.07223320360571127
1909,-0.3961496762433263
1910,0.11751078248223418
1911,-0.11809290030706446
1912,-1.0425446274232004
1913,-0.9056917026731491
1914,-0.032278094674597524
1915,-0.10033900293153339
1916,0.05777697089379645
1917,-0.6696805769135348
1918,0.4541974883745646
1919,0.48048244035302656
1920,0.07429756171744345
1921,0.2157572531274488
1922,-0.3181271757857489
1923,-0.539147754831019
1924,0.18339866758592147
1925,0.23283100940071189
1926,-0.02421078830650146
1927,0.5081950307862009
1928,0.10339481059111676
1929,-0.4631750274876257
1930,-0.25645595324426945
1931,0.3748981382106506
1932,0.06237900923116227
1933,0.14672694139267184
1934,0.1546116883201759
1935,-0.1581777924681861
1936,0.5602063402568529
1937,0.02844189360399492
1938,-0.1583723952739851
1939,0.3711348702481959
1940,0.13758736197652657
1941,0.25486942138066593
1942,0.09114756438238583
1943,0.35351054152473305
1944,0.2684749077668227
1945,0.2386362238945482
1946,0.22310378315958773
1947,0.11966172029564175
1948,0.0583790403218712
1949,0.1800997674713099
1950,0.1992071160674322
1951,0.18846449829115225
1952,0.20788387011518522
1953,0.44842136293350343
1954,0.2500125298119663
1955,-0.04858680800830173
1956,0.021150544921725356
1957,0.26229342862330307
1958,-0.31851996350287626
1959,0.26196722432352476
1960,0.16613378040114293
1961,-0.376910388676534
1962,-0.004683259371863549
1963,-1.7379228476160302
1964,-0.9403521940304177
1965,-0.6019098473725147
1966,0.05392898654332656
1967,-0.013281251516027798
1968,-0.23329714269165003
1969,0.06256719621217395
1970,-0.5912406792303784
1971,0.14986199137562964
1972,-0.004773573693908087
1973,0.013168323045734114
1974,0.07944565086353356
1975,0.12015655144244701
1976,-0.1151651717191128
1977,0.05909388067603146
1978,0.2680017160495718
1979,0.34494641498099377
1980,-0.45290735007953054
1981,-0.13248347747490788
1982,0.012377192201835113
1983,-0.7121520304273308
1984,-0.27942213620646533
1985,-0.097168290520456
1986,0.43375031421545357
1987,0.4351660256780094
1988,0.3079958741657268
1989,0.759567889481084
1990,-0.15369102249614625
1991,-0.43675131307123277
1992,-1.6623200888441416
1993,-0.19492059360315023
1994,0.725955060202768
1995,0.33793867704719516
1996,0.05914896018114027
1997,1.2999050763287796
1998,0.7288894700541351
1999,0.6128095415145631
2000,1.1484954092448783
2001,1.0973709084486412
2002,0.6969907162055073
2003,0.4796952202590783
2004,0.8918258582720556
2005,1.3725195565970485
2006,1.5147906918574514
2007,1.5587552484104097
2008,1.3763635902734423
2009,1.2150201999104606
2010,1.8577603509526497
2011,1.0624724368420242
2012,1.2219619839798999
2013,1.5395926931109956
2014,2.2042105779990835
