Year,ERF
1850,0.48856050128165773
1851,0.4121212229697281
1852,-0.028421959528694238
1853,0.6125650449805026
1854,0.8449031888746374
1855,0.05704537017118072
1856,0.366206570537202
1857,0.054607107373966624
1858,0.36212193674182724
1859,0.31361746068247504
1860,-0.21354274333717607
1861,0.13312401562928142
1862,-0.12697953835121856
1863,0.11700711300833976
1864,0.747206046069651
1865,0.5429059224572791
1866,-0.3447785964795281
1867,0.43363023168849973
1868,0.4251617356634879
1869,0.37987889912018424
1870,0.5100307456499114
1871,0.1968837150613221
1872,-0.2264256272263821
1873,0.5554997783668607
1874,0.23038505539197174
1875,-0.022314973244280695
1876,0.05066266414259149
1877,0.3007665750241427
1878,0.5744504918144855
1879,0.2811223970173443
1880,-0.12046477916320053
1881,0.3983307232304587
1882,0.2267888153519599
1883,-1.2999076270379193
1884,-2.045277152362983
1885,-0.41117035145367786
1886,0.0986255387140399
1887,-0.10380855202341796
1888,-0.28895359677649807
1889,0.3938535816240851
1890,0.3146146109582293
1891,0.27033254459431566
1892,0.5989785628792239
1893,0.17539302119179398
1894,-0.7115686451611548
1895,0.5672650176999897
1896,0.5781192007077058
1897,0.9534113343463468
1898,-0.22216972825566314
1899,0.3269055635563354
1900,0.5803956052294621
1901,0.5272306483982775
1902,-0.1712220040915705
1903,-0.7584300911825524
1904,-0.4239666480208144
1905,-0.07580822935359702
1906,1.146937424760287
1907,-0.0207817766106122
1908,0.04814149789990058
1909,0.4113449908463054
1910,0.06334451316651779
1911,-0.11376470729595664
1912,-0.1790242129603418
1913,-0.5889573205217983
1914,-0.16475066218529794
1915,0.24973714836449049
1916,0.04342155885137397
1917,0.500590992417104
1918,0.41181213120072596
1919,0.19561883588528384
1920,0.939694066584692
1921,0.21576165587115473
1922,0.16209834837021558
1923,0.8364254701571496
1924,0.7813988546563451
1925,0.660420103425092
1926,0.9168780973902422
1927,0.8074038158370151
1928,0.5057932024721457
1929,0.9427325227987942
1930,1.463283701636422
1931,0.4118122712334982
1932,0.11323051589030358
1933,1.2525783357971136
1934,0.9027829931845779
1935,0.5395945085124785
1936,0.6559223122125477
1937,0.8596067715411322
1938,0.3047820054946614
1939,0.1369237604337945
1940,0.2942807370265247
1941,0.8794243432822759
1942,0.40947963973905577
1943,0.028121319931500632
1944,0.6121416711249283
1945,0.7700515176372383
1946,0.666263850201088
1947,1.250841790501393
1948,0.7689156293065226
1949,0.5054218681633966
1950,0.7065254388086357
1951,0.6078199944186353
1952,0.4360240378023691
1953,0.6651334288434305
1954,0.6107250662841585
1955,0.8795794956841639
1956,0.6832552024796614
1957,0.694752696430395
1958,0.9068984433775945
1959,1.2536533471768094
1960,0.9022801552059531
1961,0.2991455747400523
1962,-0.22483773589872313
1963,-0.7995191197411695
1964,0.45965800625213266
1965,0.38192092344174133
1966,0.6362952460887985
1967,0.027322046119735655
1968,0.7664256172134218
1969,0.8125644177937823
1970,0.9056396727299829
1971,0.05362657026827278
1972,0.9987800225635248
1973,0.934582456978442
1974,-0.7102935670630287
1975,0.6664032439643746
1976,1.0918164773964014
1977,0.664177466764504
1978,1.2696111807623085
1979,1.4766786438905806
1980,1.7275574511443292
1981,1.4250070729297217
1982,0.29096637061294567
1983,0.6322729756129992
1984,0.9933406476194722
1985,0.7657781724320728
1986,1.6048302375451076
1987,1.0030306515057577
1988,1.5707669468409842
1989,2.2580734387104013
1990,1.7336963189348946
1991,0.58672762299172
1992,-0.04842413472633933
1993,0.6228906194608546
1994,1.1246113819250856
1995,1.2850939741039058
1996,2.024524699063776
1997,2.269264543286705
1998,1.6739490793807765
1999,2.2648569336130286
2000,2.287784605866844
2001,2.294184741496136
2002,2.3453752215283847
2003,2.4886573083259793
2004,2.222226112743403
2005,2.1681296429491996
2006,1.879441876168274
2007,2.202557361227859
2008,1.953752385177682
2009,2.2343806697904265
2010,2.981272630433261
2011,1.879288794436794
2012,2.2714511186614184
2013,2.698935756383611
2014,3.0477898991008727
