Year,ERF
1850,0.7381784798039597
1851,0.37289516883739315
1852,-0.48567075392296577
1853,0.26684372304745957
1854,0.531713945019555
1855,0.24390354638718217
1856,0.47964243174893334
1857,-0.07975366138824047
1858,0.6400856149744565
1859,0.12941738693252086
1860,-0.1279728526588605
1861,-0.15348173451089486
1862,-0.8794963003883669
1863,0.29520131193494786
1864,0.5804833577650905
1865,0.40421417491368883
1866,0.06229228662918036
1867,0.31006357689294417
1868,-0.21324744182141425
1869,0.3362440930571994
1870,0.44640906064079894
1871,0.3845415656112784
1872,0.027635484403475054
1873,-0.2246535422769006
1874,0.4804650868311042
1875,0.028819323233463857
1876,0.0840429053311193
1877,-0.05232655388647363
1878,0.3062440271600934
1879,-0.055888362113401674
1880,-0.32227852265687174
1881,0.00933092210025916
1882,-0.73459787825516
1883,-0.5367979273469208
1884,-2.147264294272786
1885,-0.857539467335902
1886,0.3256973601692934
1887,0.2802089589075759
1888,0.03751398824710836
1889,0.6867421333841374
1890,0.20727040684111406
1891,0.36159911814128615
1892,-0.4217701418430476
1893,0.29649990987730934
1894,0.39398294334304645
1895,0.544142328122549
1896,0.5878535195887915
1897,0.8170253268309008
1898,-0.14197908534740752
1899,0.43030786275908056
1900,0.25748104062915766
1901,0.07772478128951943
1902,0.2307218354743187
1903,-0.6330589739574409
1904,-0.09182993896747678
1905,0.605855270887011
1906,0.6538010984271798
1907,0.16085661377035124
1908,0.7926671854497475
1909,0.436354260523714
1910,0.16239656592042234
1911,0.6290308134883209
1912,-0.15641120915380294
1913,-0.29709953783736737
1914,0.25281018068078576
1915,0.7158528751136455
1916,0.625438220608052
1917,0.887272502592604
1918,0.7058320635810615
1919,0.3814012249297858
1920,0.355579247966536
1921,0.7214242043421051
1922,0.12093539154564997
1923,-0.30083515159291374
1924,0.9600819284248943
1925,0.37679358234616134
1926,0.31347785924108684
1927,0.6495469070555969
1928,0.6913285011642757
1929,-0.15485106266883703
1930,0.5509153947346963
1931,0.9562847180508709
1932,0.696116403510986
1933,0.447036250044076
1934,0.6347988690865357
1935,0.7052546907328987
1936,0.5783783091065311
1937,0.9608671208773231
1938,0.573152957215407
1939,0.579108262416928
1940,1.3049700986751338
1941,1.0261523263090815
1942,0.7908964792683858
1943,0.7179797049046597
1944,0.8175283057830238
1945,0.6766357827657272
1946,0.8483045685816549
1947,0.8034594634969537
1948,1.0863106758889298
1949,0.9183674674415885
1950,0.5383622817892847
1951,1.1211093510252383
1952,0.6313895469750986
1953,0.7878323054167439
1954,0.6456534704944261
1955,1.4492819549143139
1956,0.6357184951967599
1957,0.905456063120948
1958,0.8970042365984523
1959,1.1311545735751511
1960,0.29499354877382006
1961,0.5295628363776106
1962,0.6394829532627885
1963,-0.7579500332183863
1964,0.26356822390178136
1965,0.39324387396655613
1966,0.4031267819060922
1967,0.5086704776320291
1968,0.7028772435712093
1969,0.7522859289416068
1970,0.5448722044087805
1971,0.5790126380520215
1972,0.8963923458044193
1973,0.961380501901644
1974,0.49894341718417445
1975,0.48948977382088743
1976,0.7056343023426473
1977,0.7856926949400485
1978,1.4305167287115856
1979,1.1271653281959513
1980,0.7061597567812956
1981,1.4249673242865966
1982,0.6799626067270348
1983,0.2865031396271368
1984,0.8925624993462941
1985,0.9707862105009697
1986,0.7726606677541633
1987,1.5429958046622854
1988,1.0666065887839655
1989,0.23871439227725244
1990,1.470593456583496
1991,0.4753422124592639
1992,-0.2564529057645442
1993,0.44722807517250734
1994,1.5536720512868816
1995,1.7488263030084754
1996,1.3997629161415
1997,1.3370865503583038
1998,1.557901913408232
1999,1.6431460582071349
2000,1.6622021145329642
2001,1.7917906483111443
2002,1.559243775666906
2003,1.7338485814021294
2004,1.9327295930693316
2005,1.646562221405023
2006,0.9245794747875042
2007,1.8670950680403662
2008,1.807161361027168
2009,1.4907366960791482
2010,2.317027565339226
2011,2.428253245787349
2012,1.5337714750049003
2013,1.4326597580795346
2014,2.270658679632353
2015,2.1469950662329653
2016,1.2907759762048783
2017,1.93791121143301
2018,2.3582135378416837
2019,1.9494300852231072
2020,2.4364257559033824
2021,2.1798373386206995
2022,3.1161776634586396
2023,2.541970401296925
2024,2.264533113911801
2025,2.3903532008020436
2026,2.151304456901566
2027,2.4666393803272317
2028,2.5271472510735946
2029,2.4730923898695947
2030,1.7859048626384055
2031,2.6912354682581308
2032,2.251179045806425
2033,2.815823224119933
2034,1.9317969595662343
2035,2.894753614700047
2036,2.748161247693948
2037,2.807672099039185
2038,2.289235938677828
2039,2.312743231642686
2040,2.9605938896534565
2041,2.6360219816626236
2042,1.6229155419611612
2043,3.1264116777598696
2044,3.060333273200595
2045,2.6923965271272285
2046,2.7619062620829045
2047,2.6884925361833862
2048,2.5916285683258398
2049,2.8023061690782756
2050,2.5753578694035744
2051,2.8688175990558333
2052,2.7566427218491216
2053,3.0807268131806236
2054,1.9769749726278756
2055,2.972357380188937
2056,2.6829384632197963
2057,2.885381961447174
2058,1.9363731040196654
2059,3.1169509487076463
2060,3.2680052552939043
2061,2.9523719266145614
2062,1.5525318793378102
2063,3.1199339607625776
2064,2.77703847392245
2065,2.884897856037784
2066,2.184058473893984
2067,3.0062568631638213
2068,3.4286608344938667
2069,3.045761276509208
2070,2.6865347528313537
2071,2.6434453288272795
2072,2.71937831663647
2073,2.827083737622135
2074,2.5217933078310195
2075,2.871938424707488
2076,2.5630792763756274
2077,2.6834873761587614
2078,2.9669841330911426
2079,2.812842569486119
2080,2.588230671225229
2081,2.5805695932349573
2082,2.6578671161155065
2083,2.865081085787227
2084,2.1808784621505106
2085,2.5331042043450456
2086,2.9475648264188563
2087,2.3669376290017206
2088,1.8076394608645223
2089,2.8100506923929265
2090,2.570868789076215
2091,1.7822701848534808
2092,2.8738924228987957
2093,3.1441302257934725
2094,2.3648857428832417
2095,2.220041887942955
2096,3.1264201186853486
2097,2.625725266837326
2098,2.0511142869454213
2099,2.60690895571756
2100,2.048760822274711
2101,2.1273398817668427
