Year,tas_diff
1850,-0.10010545851361666
1851,-0.2789587941732446
1852,-0.2790668203651954
1853,-0.2043933778203285
1854,-0.017500151140816003
1855,-0.2268407914845588
1856,-0.1993904382146091
1857,-0.29096914425109843
1858,-0.1490864010702872
1859,-0.11506197869606168
1860,-0.34453159590179094
1861,-0.4257020787753002
1862,-0.35866518633946975
1863,-0.31373816793401765
1864,-0.27327198184783624
1865,-0.3375497062596421
1866,-0.3678860320732136
1867,-0.30734075270861994
1868,-0.37241234013711155
1869,-0.25233735784508327
1870,-0.18213316662421197
1871,-0.41954445754870706
1872,-0.4308209240246474
1873,-0.4351814536724351
1874,-0.4080973715879336
1875,-0.18891589703606532
1876,-0.16791564377820548
1877,-0.1075905807825594
1878,-0.17930044459864705
1879,-0.25167346403548524
1880,-0.335195808397981
1881,-0.2115348693150799
1882,-0.3002125682990492
1883,-0.3520214645687125
1884,-0.2479642255914685
1885,-0.2572241606240906
1886,-0.24468647264569607
1887,-0.2895722405824592
1888,-0.4297761454421835
1889,-0.3134445118569237
1890,-0.43293637645111166
1891,-0.38606996468876953
1892,-0.3692156792736905
1893,-0.5179829742487696
1894,-0.38929034323553047
1895,-0.4502121247743836
1896,-0.46965180777884585
1897,-0.2888616961107637
1898,-0.3249110134049332
1899,-0.5104965215205783
1900,-0.15204070377231363
1901,-0.19388111928985297
1902,-0.3451903881337095
1903,-0.3255853664979501
1904,-0.25571276218266814
1905,-0.35371892473681593
1906,-0.29464124441020495
1907,-0.2790152940423916
1908,-0.2905794317019
1909,-0.2889027247160747
1910,-0.1840075042510373
1911,-0.1279302850442244
1912,-0.17007721353266636
1913,0.03583590790788351
1914,-0.1071510894945706
1915,-0.10847814974538178
1916,-0.14482393642945784
1917,-0.2560051962009724
1918,-0.2076430378010543
1919,-0.3674442863368299
1920,0.06028671672326026
1921,0.010578967273562861
1922,-0.0940733150323138
1923,0.014310383762148896
1924,-0.014974915675455891
1925,-0.04663354699301897
1926,-0.14111072923440074
1927,0.004106726720157938
1928,-0.0066410732075050105
1929,0.0838953363592673
1930,0.221204191834334
1931,0.06507530629568117
1932,0.057560487174739605
1933,0.06903230695262721
1934,0.18263211027090798
1935,0.11255439714397616
1936,0.14888551225464364
1937,-0.10128700448024391
1938,-0.14343040728869388
1939,0.13495301211500105
1940,0.09517275644021145
1941,0.04425190501163828
1942,0.28624405211795
1943,0.11285542608660937
1944,0.14480346379443387
1945,0.23289209771962555
1946,0.04319630149182824
1947,0.2504813126736955
1948,0.3409133596951305
1949,0.08536361076759902
1950,0.07710788350084496
1951,0.18766079344312525
1952,0.14295566778982596
1953,0.20450792913371765
1954,0.2680929911034513
1955,0.24944358882036352
1956,0.43474697390926986
1957,0.3430011230920571
1958,0.17952753140137234
1959,0.14310185687602278
1960,0.4357116216652108
1961,0.32037429944624507
1962,0.2340851695797341
1963,0.28412468248283773
1964,0.1779425371583196
1965,0.05015952202477525
1966,0.12910926304975368
1967,0.2592754654742991
1968,0.2300082728139608
1969,0.14183555273595277
1970,0.08745837461406708
1971,-0.0970496310259315
1972,0.03881978678810394
1973,0.14290113684606126
1974,0.09144103932788578
1975,0.3374964664556964
1976,0.21812500699485382
1977,0.2463679589525119
1978,0.22151934476319346
1979,0.34242571465148897
1980,0.22613337736144046
1981,0.1983149675143252
1982,0.1500805670705294
1983,0.179382124068859
1984,-0.02009549244040809
1985,0.1602381923058006
1986,0.09806776846063858
1987,0.03915664459512502
1988,0.13089276783201664
1989,-0.10310333135640282
1990,-0.239367170719059
1991,-0.002463092944872569
1992,-0.06016840042562577
1993,-0.3097662284290258
1994,-0.09829673179029486
1995,-0.1462910147365425
1996,0.029904065589762885
1997,0.13235100248896026
1998,-0.021790924492463115
1999,0.11785053031799841
2000,0.12829532144566413
2001,0.10992686333098978
2002,-0.007291838404759332
2003,0.09843236055872429
2004,0.13054301499363152
2005,-0.0005040602808761285
2006,0.26024332174526776
2007,0.3028835847254461
2008,0.2974316512849675
2009,0.29037831517183776
2010,-0.030398812286833943
2011,0.1278460250393283
2012,0.22206299866270562
2013,0.0013987711741905162
2014,0.028887948700539123
2015,-0.12037322050023058
2016,0.20157137861389662
2017,0.30942102281255135
2018,0.26929177413995964
2019,-0.0991622854999421
2020,0.15567616686362173
2021,0.0965469034361659
2022,-0.11252436907548913
2023,-0.05880370601595564
2024,0.2085428866868455
2025,0.3291637504060687
2026,0.17673298936944293
2027,-0.05126822831293154
2028,0.09413744056556217
2029,0.12355002124157388
2030,0.17063231716519178
2031,0.18643021755204692
2032,0.25303880650907296
2033,-0.04087128909402127
2034,0.15138048491048894
2035,0.1960416181856104
2036,0.15681134142138253
2037,-0.0706445380662144
2038,-0.027546300332389695
2039,0.2362871301920335
2040,0.26016550795049964
2041,0.18304011116425833
2042,0.24404197381718218
2043,0.32375271566758856
2044,0.25009870677826473
2045,-0.07118551721587085
2046,0.008177248267093429
2047,0.3738916265804928
2048,0.12801066244852866
2049,-0.16336167296258441
2050,0.27769354814234104
2051,0.25399671408210356
2052,0.11202232759193809
2053,-0.114917388440126
2054,0.2601440866102336
2055,0.33610350385454923
2056,0.28366754917454573
2057,-0.00839083969088561
2058,0.06970571148578264
2059,0.009968801544155692
2060,0.2178788673541261
2061,0.3120205229606543
2062,0.2630027033369262
2063,0.06172353882328663
2064,0.0840676259677835
2065,0.3927997935355747
2066,0.42741961570739395
2067,0.3467644584440155
2068,0.27302826756539433
2069,0.4391230876039218
2070,0.36586966994712666
2071,0.1149978901843931
2072,0.48031609610892456
2073,0.3552408133946452
2074,0.3974030545026155
2075,0.42342595287618545
2076,0.6821844196293592
2077,0.5775701968303077
2078,0.21575428745706038
2079,0.560277323273652
2080,0.5696523177034916
2081,0.5502472120477662
2082,0.37312364457646874
2083,0.4566594432566937
2084,0.4534830239748091
2085,0.6679184829247364
2086,0.5451685429827329
2087,0.4194419556866822
2088,0.4815574606185873
2089,0.6478641788340807
2090,0.5126600314535628
2091,0.33921221442592175
2092,0.8214225738510827
2093,0.8696442131830726
2094,0.6680026093732017
2095,0.39954977295594896
2096,0.6122019838282347
2097,0.4990291310304604
2098,0.2504624907687494
2099,0.7321089134007588
2100,0.8676450787327141
