Year,ERF
1850,-0.6401112047540845
1851,-0.31348773122086887
1852,-0.23920102814856206
1853,-0.10042862366877646
1854,-0.37809097339057207
1855,-0.11071088996484196
1856,-0.19226543052146428
1857,-0.19595548947137092
1858,-0.09286412945623236
1859,0.03965313283510664
1860,0.37615723007316687
1861,-0.725585564099661
1862,-0.6209730903399358
1863,-0.42742560876113844
1864,-0.18042441325062664
1865,0.1216914772304491
1866,-0.30037426276346246
1867,-0.17524839289129698
1868,-0.26121890243527285
1869,-0.40474412162434925
1870,-0.305057452933967
1871,0.02567515667936346
1872,-0.06322490184683896
1873,-0.35996738084955787
1874,-0.12383941563989026
1875,0.16144412439100989
1876,-0.12993505878703593
1877,-0.10852959547501038
1878,0.07544310819892364
1879,0.023218958387737354
1880,-0.6318462553471957
1881,0.1945199358909512
1882,-0.061871481244267626
1883,-0.9154549829288662
1884,-1.3091035535252626
1885,-0.3181837198338796
1886,-0.1421888502567729
1887,-0.5332352818562909
1888,-0.09159667636912039
1889,-0.04048157653678608
1890,-0.5124683685129713
1891,-0.705266183472611
1892,-0.22750195855635763
1893,-0.14322321611540992
1894,-0.07621355193482507
1895,0.3724372797520793
1896,-0.04159791242730104
1897,0.19050712148734855
1898,0.2400703528104222
1899,-0.09552880098821748
1900,-0.3173340588154757
1901,0.20545395327027555
1902,-0.5238974903983056
1903,-1.4592629263756953
1904,-0.7775716546955221
1905,-0.2551236598604131
1906,0.08550796722715286
1907,-0.29925444818415814
1908,0.13933293022086313
1909,-0.24302430370758277
1910,-0.24155554389650333
1911,-0.09240489367470951
1912,-1.0291051802262385
1913,-0.8167798975886484
1914,-0.5861877485956142
1915,0.23499006699036218
1916,0.09153495916039471
1917,-0.3538670067437899
1918,0.39066427180334795
1919,-0.11109724193172188
1920,-0.22662801820751757
1921,-0.1561576496960171
1922,-0.21199727862857926
1923,-0.12395831419402302
1924,0.08452232209586416
1925,0.08243025262961465
1926,0.059734683106062225
1927,0.04280010896429062
1928,-0.51552471312393
1929,-0.589603719982526
1930,-0.07012560738601398
1931,-0.5250713791936925
1932,-0.3576696335498745
1933,-0.09366648908272823
1934,-0.12894602784168735
1935,-0.45664407575238675
1936,-0.22723107455710906
1937,0.22077418762520495
1938,-0.11758114610659348
1939,0.003910781006565001
1940,-0.15503784527502626
1941,0.37910264939669747
1942,0.13561899663391752
1943,-0.1871824171488807
1944,0.09386907133255892
1945,0.1607008011632416
1946,-0.2969620730466822
1947,0.7564347744390905
1948,0.11754634120664681
1949,-0.49204297875749226
1950,-0.09650529610500119
1951,-0.27115591103156383
1952,-0.49596280170236456
1953,0.13122344680712597
1954,-0.11292810767728212
1955,-0.7197396697714844
1956,0.3039099378207872
1957,-0.11237190336044506
1958,0.05294048755461446
1959,0.31313829308561475
1960,-0.20634322148839215
1961,0.16858117656581287
1962,-0.14726770388944266
1963,-1.8334789718909854
1964,-0.6863036580501884
1965,-0.5844874385302334
1966,-0.06177647661120425
1967,-0.25975774648405353
1968,-0.6227021383883137
1969,-0.17454067523958833
1970,-0.2585898821380342
1971,-0.47413368604004535
1972,-0.39304583721820896
1973,-0.0026483998332951786
1974,-0.5076591121294217
1975,-0.8252849223173486
1976,-0.021707767296889502
1977,-0.2726138405339542
1978,0.18572873746609486
1979,0.11106730605496556
1980,-0.024912157646992103
1981,-0.058854856659179694
1982,-0.68255410586938
1983,-1.4356824974456956
1984,-0.34986505312739546
1985,-0.45565961887263595
1986,-0.24748767815857597
1987,-0.6454553728343477
1988,0.4879749513153738
1989,-0.3111438171412532
1990,-0.0530581790560731
1991,-1.1784443012249803
1992,-2.596149800843485
1993,-1.1182935319383915
1994,-0.41652701018117694
1995,-0.0028223706272954563
1996,-0.31198377309625
1997,0.08967863738808143
1998,-0.4315282269818184
1999,0.3934482353574993
2000,0.11911465559052506
2001,-0.11419960290504955
2002,0.3570867067262038
2003,0.1071517022325084
2004,0.06082841240666503
2005,-0.26887437981435874
2006,-0.2266934645820109
2007,-0.02191615719334608
2008,-0.7793501657137981
2009,-0.32687379076932493
2010,-0.21831898471328942
2011,-0.5916228650992171
2012,0.09218977737259126
2013,-0.12635091364466483
2014,0.2627439278926862
2015,-0.19434184233422183
2016,0.27554997015668414
2017,-0.07795557239431117
2018,-0.13979550876641786
2019,0.0992878454761727
2020,0.29935660590760393
