Year,tas_diff
1850,-0.18006724726254464
1851,0.016919934658628382
1852,-0.17672460943523632
1853,-0.1332035394712443
1854,0.01924197663366726
1855,-0.05843207258903774
1856,-0.18181017800356708
1857,-0.013504756158494266
1858,-0.2758984547207961
1859,-0.223398930089035
1860,-0.15828048885729884
1861,-0.38524117342173053
1862,-0.19620784649278483
1863,-0.12882498871964496
1864,-0.1969842533996398
1865,-0.15681453371903137
1866,-0.15034143196482902
1867,0.02810635776218634
1868,-0.25561551263487337
1869,-0.28313622607999817
1870,-0.026465315373289347
1871,-0.35593595162867264
1872,-0.1808347580018013
1873,0.03660158325393317
1874,-0.16463180567174843
1875,-0.07638942419234819
1876,-0.23122198961968965
1877,-0.26987703144301733
1878,-0.1900269329901954
1879,-0.15606380242833107
1880,-0.0804516460385159
1881,-0.05771868587673144
1882,-0.1518837795812983
1883,-0.12849851481806224
1884,-0.17077771787718699
1885,-0.11342381514584299
1886,-0.007713157137442139
1887,-0.09306096382985496
1888,-0.09806653362235546
1889,-0.15149011002088555
1890,-0.0653705991423005
1891,-0.03000491236213837
1892,0.0077130866376178
1893,-0.048240471898960725
1894,-0.1397810052026806
1895,-0.10461236383306351
1896,-0.11568103033385559
1897,-0.07598182217759371
1898,0.042425264432652154
1899,-0.2177943251408535
1900,-0.27378942081882623
1901,-0.2011579479961282
1902,-0.16084962318093793
1903,-0.130681132250431
1904,-0.13205667297276447
1905,0.05287771531498514
1906,-0.13708718347743787
1907,-0.2305529134251195
1908,-0.05632944539753535
1909,-0.07407408606947255
1910,-0.20663631447780131
1911,-0.22916400850952356
1912,-0.01531617831906415
1913,-0.11925616912608764
1914,-0.0371148912630756
1915,-0.025142727353015093
1916,-0.20536909733557981
1917,0.08096578657528086
1918,-0.054950106756163124
1919,-0.07623350332232999
1920,-0.11884118499788202
1921,-0.07069243279257434
1922,-0.041755700460492665
1923,0.07047913958996849
1924,-0.11859113490339507
1925,-0.12465420314658995
1926,0.08094876710614504
1927,-0.12132507467621949
1928,-0.09084517817406615
1929,0.02095745974827669
1930,-0.05504717880025811
1931,-0.24124303299873764
1932,-0.1821535786851527
1933,0.11019025983547362
1934,-0.061412801892059915
1935,-0.05244786512690287
1936,-0.07092979916022932
1937,-0.07281794265580152
1938,-0.18882561811339904
1939,-0.15262137388606611
1940,-0.046259409787095
1941,-0.22407021376895606
1942,-0.23598395143472217
1943,-0.18165660519023308
1944,-0.1179382572603224
1945,-0.20840347015259558
1946,-0.31888913499536997
1947,0.0026214999324958577
1948,-0.16183222392541685
1949,-0.12471323831251485
1950,-0.06485637459868954
1951,-0.10364096869305364
1952,-0.031146614073971124
1953,-0.24854770977537896
1954,-0.13631714956973662
1955,0.024683692218554737
1956,-0.10022551171450872
1957,0.01866312345143417
1958,0.02623842823095851
1959,-0.03585373383851398
1960,0.030490279155216182
1961,-0.12393330638658018
1962,-0.15341735433889953
1963,-0.04065770328437565
1964,-0.04003195604486733
1965,-0.12220088508287655
1966,-0.15177281814885063
1967,-0.0587582156763691
1968,-0.16149216702238126
1969,-0.24251280889560123
1970,0.028173131474523105
1971,-0.05766382824301347
1972,-0.22945885290961376
1973,-0.11491501460572318
1974,-0.09030088162691241
1975,-0.11077802739165321
1976,-0.10141409202297036
1977,-0.14773488165298637
1978,0.014403109528471625
1979,-0.13679873973354784
1980,-0.11879625970885133
1981,0.012021977008017104
1982,-0.16098508867039274
1983,-0.09578698052666834
1984,0.06893166860281053
1985,-0.2277732874047197
1986,0.02728528239861938
1987,0.1058707208396088
1988,-0.10760490348293028
1989,-0.17884906889747287
1990,-0.062434317481173784
1991,-0.330228586816088
1992,-0.23606936825890154
1993,-0.05136520259242794
1994,-0.20036185201013101
1995,-0.08861873280168059
1996,-0.1297848479844792
1997,-0.28728495058201586
1998,-0.03266146960133809
1999,-0.1425068654898899
2000,-0.17078894069665285
2001,-0.14660873724276935
2002,-0.01910965863872327
2003,-0.1803625842420835
2004,-0.13698921779972406
2005,-0.029320637992922838
2006,-0.05901257582006281
2007,0.043889529080574974
2008,-0.12234755751687032
2009,-0.12880819622592665
2010,-0.18086202978390298
2011,-0.23687461252590414
2012,0.06384960114182103
2013,0.058950074329062296
2014,-0.08973301363640984
2015,-0.053478246847297184
2016,-0.17341599630072246
