Year,ERF
1850,-0.09188744069898755
1851,-0.1923748685371981
1852,-0.41424092554654474
1853,-0.03184942112792921
1854,-0.21651741477510686
1855,0.2545182905717911
1856,-0.10943189223640022
1857,-0.34393147766162735
1858,0.2899583573388213
1859,0.05706452179350291
1860,-0.4942120558247924
1861,-0.35623524231321646
1862,-0.5935388313465646
1863,-0.41689845957444405
1864,0.2573019981879614
1865,0.0799467650195749
1866,-0.5097156600341004
1867,0.027091580423161843
1868,-0.13581516665324975
1869,0.3068615151835803
1870,0.21808634109876157
1871,-0.2138675578419501
1872,0.13329775509665479
1873,-0.4799329069095403
1874,0.34235091994064004
1875,0.02007275167989079
1876,-0.08314024073426203
1877,0.16198212396233175
1878,-0.20721142991565647
1879,-0.35957820138228386
1880,-0.40887273762747045
1881,0.3347444978319881
1882,-0.08484700670619577
1883,-0.7837571195501302
1884,-1.2641496975070776
1885,-0.27705608597943243
1886,-0.08509328344844524
1887,-0.2194911083593138
1888,-0.35900513086580477
1889,0.022781134756663213
1890,-0.2313342538778462
1891,-0.671816164266341
1892,0.2673118902069506
1893,0.13072464574391895
1894,0.2853351749810842
1895,0.48321736600964055
1896,-0.00904153677076856
1897,0.13754094122417115
1898,-0.18535786855410866
1899,-0.03846317511922609
1900,0.443235527557056
1901,0.05039072309269088
1902,-0.23298119713906545
1903,-1.0220528540076586
1904,-0.5573035475162565
1905,-0.04308676942250511
1906,0.0784503647207582
1907,-0.05558396347580134
1908,0.4092409999591608
1909,0.0396509745172926
1910,0.1831535773809104
1911,0.20903375504411165
1912,-0.24877527288456958
1913,-0.677134542546154
1914,0.041425336606717704
1915,0.46740405082096603
1916,0.27030641862761784
1917,0.2769286640152206
1918,-0.07280555961962126
1919,0.595257618282208
1920,0.3166357994640496
1921,-0.31490715135784636
1922,0.34181680635618894
1923,-0.19981230218755724
1924,0.34634607639660125
1925,0.32767867184802857
1926,0.13626390238090416
1927,0.5193813405583703
1928,0.5224747327050185
1929,-0.41901535694258496
1930,0.6727820781655276
1931,0.6254739232523208
1932,0.08683149006597257
1933,0.47072510627253994
1934,0.6436410277437058
1935,0.10180104477165441
1936,0.7356899153350194
1937,0.5408361039647162
1938,0.632152442366993
1939,0.4458585094277231
1940,0.4863097627312652
1941,0.8070420246788845
1942,0.6294998736570565
1943,0.7330102670058172
1944,0.5650219958291387
1945,0.5164614443210178
1946,-0.08178446145442325
1947,0.9099475018719382
1948,0.5281922580426527
1949,0.25863101761514756
1950,0.9201196806004636
1951,0.4302710905534711
1952,0.1969675295104363
1953,0.4529482819898907
1954,0.18613283331207492
1955,0.8020227785601577
1956,0.747673042576749
1957,0.5078937551394022
1958,1.1278491273777997
1959,0.8310387830078009
1960,0.4825264194744643
1961,0.848630992769495
1962,0.48670177822932215
1963,-0.9925226538325347
1964,-0.00022655243144248383
1965,0.41400986017568875
1966,1.146629750190343
1967,0.4227258362313144
1968,0.6727731577472413
1969,0.9310682428272639
1970,1.0512321068799315
1971,0.3451168795869809
1972,0.8924739803869388
1973,1.0884568827723393
1974,0.5991325529287861
1975,0.3020889162421599
1976,1.0314437542581427
1977,0.9818840420764577
1978,1.1209515086328998
1979,1.6350019724150866
1980,1.2848859347348824
1981,1.5876325210968658
1982,0.9291024067944742
1983,0.24025749564597454
1984,1.2064490931989684
1985,1.4151288852532677
1986,1.553626059529384
1987,1.3045020616132943
1988,1.5574791176132474
1989,1.8329386902926192
1990,1.5915553211319091
1991,0.44438404603885195
1992,-0.9797833760548048
1993,0.7343452122205973
1994,1.3698925419948682
1995,1.3549870852794907
1996,1.821391318818646
1997,1.6743566918286636
1998,1.5431847234129399
1999,2.152420824837843
2000,2.0302201326629756
2001,2.000122663849365
2002,2.267243826674111
2003,2.0529452939583077
2004,1.9406384698976167
2005,2.1104037575111882
2006,1.6996277429895161
2007,1.7017555464946956
2008,2.0194121321685343
2009,1.7646628427280417
2010,1.9530886945403956
2011,1.9676511349063468
2012,1.8625501132412612
2013,2.417580622950199
2014,2.2671413291672877
2015,1.8022862937647988
2016,2.4393862867062364
