Year,ERF
1850,-0.6432052092509394
1851,0.21669689889939625
1852,-0.1259085506746563
1853,-0.6508154689393262
1854,0.2666431604827839
1855,-0.13128664328765416
1856,-0.6110640822141872
1857,0.22705184691093627
1858,-0.6526616683400797
1859,-0.5215676231281257
1860,0.18197446219398788
1861,-1.0805905059203333
1862,-1.0426051600278474
1863,-0.22809175201680776
1864,-0.3991433625369011
1865,-0.37592677230195176
1866,-0.8166300973217135
1867,0.005301060547607261
1868,-0.11727124461576503
1869,-0.8928370319558984
1870,0.3231883278360351
1871,-0.45314429935108924
1872,-0.3877774041339761
1873,-0.10487965101755331
1874,-0.4100729192980949
1875,-0.09472246062151882
1876,-0.134201475847047
1877,-0.4083017165709475
1878,-0.21296736088406643
1879,-0.19823107031948395
1880,-0.428891002025171
1881,-0.053799653595967084
1882,0.039231982201357735
1883,-1.106209869677584
1884,-1.621837759199209
1885,-0.9022998928171466
1886,-0.10897282899020799
1887,-0.5408879077288602
1888,0.01547691979692939
1889,-0.2281284113099623
1890,-0.10000153592004132
1891,-0.11677836974169756
1892,-0.10896901182566285
1893,0.3092880363775618
1894,-0.03454331012398362
1895,-0.09456556006448125
1896,0.04792970924820814
1897,-0.06513138629834071
1898,0.46321165315768054
1899,-0.38845259776309965
1900,-0.2971555645909023
1901,-0.041925091430823264
1902,-0.6341528309838087
1903,-1.3503210680157491
1904,-0.8871299966869668
1905,0.4286877082046625
1906,0.14624738308784813
1907,-0.6303401209954057
1908,0.10494415360074535
1909,-0.008676187633679694
1910,-0.06094028422496618
1911,-0.30106324051670735
1912,-0.5367131354908802
1913,-0.7952823352814549
1914,-0.26723824415844427
1915,0.3294773544630331
1916,-0.27941430987377613
1917,0.8736524966790998
1918,0.37298934146293905
1919,0.2973019052858322
1920,-0.02482890843770795
1921,0.16742251614311054
1922,-0.06837776595096956
1923,0.738381659683979
1924,0.0077912891273870105
1925,-0.13243969628929728
1926,0.9025692131261642
1927,0.13473025123907523
1928,0.3415437256850512
1929,0.5094537922319401
1930,0.7095899174136289
1931,0.2834720806424987
1932,-0.21954069389174571
1933,0.6659876760485114
1934,0.35940491643034345
1935,0.25170324889981277
1936,0.7689659121306978
