Year,ERF
1850,0.20905269423269224
1851,-0.026859433111778866
1852,0.27406607417382
1853,-0.042614610094268444
1854,-0.39836156903512404
1855,0.03466009742793466
1856,0.3109751414613908
1857,-0.6150618695644218
1858,0.5016288310607248
1859,0.21649317211336794
1860,-0.6688565535640265
1861,-0.05765456991403489
1862,0.139359416532008
1863,-0.02495899316489649
1864,-0.2229950407514721
1865,-0.44990452465519903
1866,0.19933475893868172
1867,0.10684097683105193
1868,0.14788464537851714
1869,-0.1449713299006784
1870,-0.571542810638963
1871,0.1802173520548439
1872,0.2936081211521353
1873,-0.05745836165145357
1874,0.21289482439810906
1875,0.11510572037385491
1876,-0.22783457792286466
1877,0.21081018453599756
1878,0.1253809467658054
1879,-0.6222652577620058
1880,0.09278144499907234
1881,0.14235277536774582
1882,0.550280220489848
1883,0.13570718353299155
1884,-0.08016360819174788
1885,-0.13373990178866635
1886,-0.10225208088136249
1887,0.27434221042600937
1888,-0.033011437456601934
1889,0.34355178966390654
1890,0.2732403411175237
1891,-0.3131417516131598
1892,0.2915254070355146
1893,0.6055181960510434
1894,0.07973464786421733
1895,0.16651296469621346
1896,-0.7063421523595903
1897,0.4457635454737286
1898,0.5029003960818147
1899,0.1699649398596164
1900,-0.06289022740293651
1901,0.104999388445662
1902,0.26192339051580815
1903,-0.1429156887609839
1904,-0.007117064562190675
1905,0.21823174854547495
1906,0.09821767178081764
1907,-0.6399692306957772
1908,0.07603055900460638
1909,0.08575893851484134
1910,0.03777832429447975
1911,0.21750429573617497
1912,-0.6897453414622536
1913,0.3227852374564433
1914,0.32745982474732627
1915,-0.15804786175735636
1916,0.0969812240799762
1917,-0.780250081957061
1918,-0.03409953315059833
1919,0.2844807652397816
1920,0.06551856684070727
1921,-0.4360744311752117
1922,-0.036995602484997475
1923,-0.018104012782666823
1924,0.15581860036294407
1925,-0.22288903019125936
1926,-0.49783797954414755
1927,0.24093935189259325
1928,-0.4620657446740697
1929,-0.1072184864849014
1930,0.16601985026633004
1931,0.37533658548951554
1932,-0.13541241288372163
1933,0.2069138359829793
1934,-0.04033979969218038
1935,-0.11771836931301964
1936,-0.7045068896349823
1937,-0.0764355844742716
1938,0.10546957193594146
1939,-0.31168233617471947
1940,-0.0809323728860003
1941,-0.02885391860583067
1942,-0.13671036144803944
1943,0.12047334102875618
1944,-0.21680667884401786
1945,0.12630249210295852
1946,-0.16862417860548862
1947,0.17742413128724216
1948,-0.3826745762884189
1949,-0.04897697499996358
1950,-0.26743196789644197
1951,-0.34728601669393017
1952,-0.6508187908735961
1953,-0.1502656839789751
1954,-0.4829671005540561
1955,-0.8539686604670196
1956,-0.2909744059519642
1957,-0.41754476731366436
1958,-1.3983045633621005
1959,-0.12182903835883974
1960,-0.02200463570415545
1961,-1.1390578983188633
1962,-1.0347669649327307
1963,-0.940648951731712
1964,-0.6060907361347593
1965,-0.5301382665940528
1966,-0.6209454991677238
1967,-0.6711088808074757
1968,-0.7610130891424963
1969,-0.21935694431714903
1970,-0.6152111233975368
1971,-0.8604480606479734
1972,-0.6463542990222018
1973,-0.559381133538752
1974,-0.6174407382546288
1975,-0.8779479012244635
1976,-1.29975374714916
1977,-0.8780515294116065
1978,-1.6033477927115323
1979,-0.6744890059582368
1980,-0.5365071336716692
1981,-0.7070815120900987
1982,-1.0081017147619007
1983,-0.6026507177994757
1984,-0.7817039359375949
1985,-0.8878776980557005
1986,-1.085323919921597
1987,-1.162538327270111
1988,-0.4106114145952945
1989,-0.3465648080599142
1990,-0.49288223099344963
1991,-1.671098078279662
1992,-0.6632995882188567
1993,-0.5083555347115172
1994,-0.7208526032139505
1995,-1.0204815019027318
1996,-1.0831606551301172
1997,-0.46904819527161834
1998,-0.640058808026519
1999,-0.6779610207775527
2000,-1.2791954255590863
2001,-0.4894118722805564
2002,-0.7693947609352471
2003,-0.5772054394244647
2004,-1.1365731478609566
2005,-1.0973148115218945
2006,-0.74151208926377
2007,-0.8241582793527743
2008,-0.5240408831752684
2009,-0.3646881177335556
2010,-0.1406843928562752
2011,-0.6680615777335339
2012,-0.47690323686941516
2013,-0.7067722101659619
2014,-0.5393548303087619
2015,-0.7998884277896117
2016,-0.5779400027761307
2017,-0.7234016252507682
2018,0.3080563472143555
2019,-0.6163251782431796
2020,-0.909440633697214
