Year,ERF
1850,0.578762877891092
1851,0.12849100130148344
1852,0.39340764516795856
1853,-0.2603632905799367
1854,-0.21514191523807408
1855,0.041589161935947125
1856,-0.059740916614708095
1857,-0.3447069562721182
1858,0.3673110941977168
1859,0.722876112712024
1860,0.37280048786522624
1861,-0.5472358155660373
1862,0.1786941138447195
1863,0.5050575121524465
1864,-0.39117750178972777
1865,-0.22300955430575659
1866,-0.6998236863136662
1867,0.263245517317271
1868,0.3150209586867416
1869,-0.6372796618441591
1870,-1.043599296539807
1871,0.3314239021963231
1872,0.6851354831400316
1873,-0.08172660684869502
1874,-0.7531606328819701
1875,-0.051252773886703726
1876,0.4938596524370815
1877,-0.04231443824525695
1878,-0.477207548245291
1879,-0.8342423321272046
1880,0.02144535510629922
1881,0.683313998211831
1882,0.15738623254667747
1883,0.2594769325891475
1884,0.5709405317358507
1885,-0.22540148633652582
1886,-1.0638197210431821
1887,0.30523712531132624
1888,0.910368881418356
1889,0.4148156501412855
1890,-0.7633073232142831
1891,-0.38493559170186503
1892,-0.48023083814237
1893,0.16635408639717153
1894,0.9400084602923344
1895,-0.10186120961018282
1896,0.06248680962187472
1897,-0.1440872001108993
1898,-0.6462439762915825
1899,-0.6611040184491498
1900,0.0278212794908302
1901,0.7885840442420984
1902,-0.25880106623695104
1903,-0.7020803194697383
1904,-0.039971319776709605
1905,0.31348946567981906
1906,0.007692299483675966
1907,-0.16392343547883725
1908,-0.2842695702299005
1909,0.1323268952570217
1910,0.1309362239890935
1911,-0.5136010170479685
1912,-0.2530790752889358
1913,0.17037316558018786
1914,0.9434914021059913
1915,0.12087931041577546
1916,-0.291291043988379
1917,0.04775781325716281
1918,0.676734368456223
1919,0.616170340585283
1920,-0.28908275483795726
1921,0.3844601915216889
1922,-0.20790999028486457
1923,-0.6043029683458679
1924,-0.0727039466300971
1925,0.7576248348641351
1926,0.02679928659607772
1927,-0.45978819462924647
1928,0.032668495561778026
1929,0.7471161814513736
1930,0.20150535228554164
1931,-0.4149148668573594
1932,0.09976815781735263
1933,0.628351020049245
1934,-0.7306175768882539
1935,-0.6911352429181717
1936,0.2608505157035661
1937,0.8394030442816407
1938,0.5663952090895529
1939,-0.45391732399227286
1940,0.33225182450487467
1941,0.0806713012718997
1942,-0.09568805395876717
1943,-0.6401314397501595
1944,-0.09684565252201323
1945,0.9805228253559819
1946,0.33955886876348246
1947,-0.0764839876003887
1948,-0.17197637391988865
1949,-0.34917046297568166
1950,-0.388817928594392
1951,0.4567989965827919
1952,0.7524485809807864
1953,-0.11870641639678237
1954,-0.5172688810339025
1955,0.35445997807059726
1956,0.8707066598396821
1957,0.2052016356056266
1958,-0.44267923391673547
1959,0.5234920677389174
1960,0.6834368911322474
1961,0.6480950038467101
1962,-0.5755039816815684
1963,0.23210788202417443
1964,0.8753080570647487
1965,0.6178731284493937
1966,-0.615441593734718
1967,-0.008584733638864403
1968,0.2340951054029738
1969,0.5026289098070807
1970,-0.271728484945413
1971,-0.6918965590628812
1972,0.45999842425262916
1973,0.8540250191089824
1974,0.002539807626316115
1975,-0.49905521892687904
1976,-0.3692000482829012
1977,0.4092189775288928
1978,-0.06727659841601547
1979,-0.017759264790091496
1980,-0.6814305042395744
1981,-0.3852354427810687
1982,0.3088578606712289
1983,0.7087409190508386
1984,-0.5157860379794554
1985,-0.7746856905598601
1986,0.051453120070509534
1987,0.2117747372272753
1988,-0.30260113337158057
1989,0.2527032332012099
1990,0.2923839766664301
1991,-0.520943783757388
1992,-0.23097548486786987
1993,0.6963771209413661
1994,0.4207184656148911
1995,-0.4789882980152865
1996,-0.1185977476546286
1997,0.4485408656922553
1998,-0.1887120453409691
1999,-0.5893982613075317
2000,0.3705899498590826
2001,0.7680815836992836
2002,-0.04121094393880696
2003,-0.25402910203468704
2004,0.12182502212131974
2005,-0.06937595635332587
2006,-0.4830362596192263
2007,-0.4930548207122304
2008,-0.5654168111382237
2009,0.11832574218852815
2010,0.4874409601269527
2011,-0.4809349851524246
2012,-0.08631847048422797
2013,0.5141509727247764
2014,0.34762113238020065
