Year,ERF
1850,-0.09077092754442923
1851,0.052508276541214094
1852,-0.04664022015808485
1853,0.3690309739051859
1854,0.4897656828878085
1855,0.2983203604859021
1856,-0.1042394841762122
1857,0.2958430340925983
1858,0.20088784247134628
1859,0.5958261452921279
1860,-0.12485242024578525
1861,-0.42763592632859265
1862,-0.17502398493097795
1863,0.19217516231614365
1864,0.00851262804718586
1865,0.28180205810181314
1866,0.06737018746525678
1867,0.17948477009351343
1868,0.11322730966557781
1869,0.05183016407832497
1870,-0.0009901318425124053
1871,0.5205918483994895
1872,0.020579479995156857
1873,-0.08520196177620848
1874,0.2565726893541372
1875,0.45708805301409017
1876,-0.10002188020921712
1877,0.23524886923929728
1878,-0.10976289777259884
1879,0.620322564472695
1880,0.12762853988262318
1881,-0.07041677399620705
1882,0.39670655862514137
1883,-0.17384321462734753
1884,-1.4420109736984819
1885,-0.27263543788281003
1886,0.22632044290767536
1887,0.3268848948419475
1888,0.19884005785655512
1889,0.1619928150282708
1890,0.820211368489188
1891,0.37275607939217115
1892,-0.1824115928701086
1893,0.4306652976489602
1894,0.40879040954017964
1895,0.6983542513673735
1896,0.3747282942197384
1897,0.018969966741305244
1898,0.37081213655763484
1899,0.6175329786920274
1900,0.7240732948824802
1901,-0.13009598495974384
1902,-0.17421249902324581
1903,-1.1360758787572813
1904,0.325430928608906
1905,0.01549445571648489
1906,0.2505803560800214
1907,0.03181460863692199
1908,0.6234178272528604
1909,0.49914311628452374
1910,0.024992481178642556
1911,0.07251944320550269
1912,0.09757978185466891
1913,-0.031365778556764146
1914,-0.041931735991074415
1915,-0.05024968297216703
1916,0.249592775097014
1917,0.7662105792031023
1918,0.12600122891465781
1919,0.3317744836629122
1920,0.02356739258614103
1921,0.859809487553342
1922,0.7654373106207378
1923,0.5714115034889478
1924,0.09252037915202466
1925,0.40544841696691836
1926,0.631810720238206
1927,0.7207806552806177
1928,0.026460918011360746
1929,0.4970382557696814
1930,0.5096966060924959
1931,0.09674877485158428
1932,0.443357267850776
1933,0.2185138820364883
1934,0.5805845039744291
1935,0.3144550721225834
1936,0.1608791723315851
1937,0.29475908754357466
1938,0.7539032661942604
1939,0.3258608248630127
1940,0.5935170976507489
1941,0.1161542204642585
1942,0.1918235031090896
1943,0.4958073906304482
1944,0.16138141327019317
1945,0.5348097400500869
1946,0.315359344883611
1947,0.5150631484058948
1948,0.6014553187414242
1949,0.6665465483115434
1950,0.1935787913467254
1951,-0.07453040760692226
1952,0.14409697135625932
1953,0.25074142056640625
1954,0.5952937767658328
1955,0.16488253778560125
1956,0.2179265507474748
1957,0.049150440913269686
1958,0.5311752945474504
1959,0.23448634408905292
1960,0.39664779708011444
1961,-0.09041095314912018
1962,-0.14808983840517018
1963,-0.8404362988925557
1964,-0.22816091481158718
1965,-0.32882829802115243
1966,0.06090031332412932
1967,0.29379066458103775
1968,0.46211131144477774
1969,0.5056066434625683
1970,0.22731101582065738
1971,0.22199504309038004
1972,0.3901500071311813
1973,-0.045411260758247196
1974,-0.015929705610375294
1975,0.42038312757499335
1976,0.2899212296133247
1977,0.441562259460667
1978,0.3177512636397607
1979,0.399615135979802
1980,0.8306363119073628
1981,0.984031846611181
1982,0.43919813282376197
1983,0.07443161704973456
1984,0.3692135532631829
1985,0.5616540184756762
1986,0.4250380262960197
1987,0.6675110165183107
1988,0.8650442919271426
1989,0.659984225696679
1990,0.9660304717615686
1991,-0.06236465305627764
1992,-0.6268363741163421
1993,0.35905843306454055
1994,1.318758770175027
1995,0.9688091370910035
1996,0.9691760544887729
1997,1.7021136658349358
1998,1.3378833643317325
1999,1.7688372309180849
2000,1.5415638361144905
2001,1.4920468420379263
2002,2.3361015836093184
2003,1.1381928794816945
2004,1.2822164528266318
2005,1.6447972928675727
2006,2.1021608684698405
2007,2.118444873117895
2008,1.8780145615705028
2009,1.5177959472808022
2010,1.5935464523974443
2011,1.971291791183084
2012,1.578178279649758
2013,1.9075481868805055
2014,1.7856576184045791
