Year,tas_diff
1850,-0.10968419171525154
1851,-0.1027183682531989
1852,-0.15059038679898903
1853,-0.4191012088318651
1854,-0.08133523940945916
1855,0.11944289263025751
1856,-0.11265182308210434
1857,-0.19711637874530424
1858,0.14030802639301104
1859,0.24532661390961885
1860,-0.09258594042030557
1861,-0.29860425531548124
1862,0.020360309477237465
1863,-0.22238629538999954
1864,-0.3929934039293813
1865,-0.02090415155867069
1866,0.14902208498119598
1867,-0.1603532997147471
1868,-0.43918784759279883
1869,0.05632708214490474
1870,0.277601551759672
1871,-0.10385585835476521
1872,-0.3358667009739723
1873,-0.1439844997561843
1874,0.034490765520960975
1875,-0.25934971979895893
1876,-0.27344664709544314
1877,-0.15828619599308466
1878,-0.06264459333224806
1879,-0.29636038732684766
1880,-0.5884404225014477
1881,-0.04575326825180878
1882,0.07330005123291415
1883,-0.35609836778007276
1884,-0.48253226426168566
1885,-0.22066414562288256
1886,-0.13018954504391986
1887,-0.15768938662467027
1888,-0.04516328754705609
1889,-0.2965485300360894
1890,-0.4483738694266389
1891,-0.24175912041843148
1892,-0.10016418195409613
1893,-0.17928692378185054
1894,-0.15021380999957615
1895,-0.4211259821297639
1896,-0.6540494492314886
1897,-0.2900149833654957
1898,0.043027754815699246
1899,-0.25942756272493994
1900,-0.464825559125639
1901,-0.3067531093001451
1902,-0.1078982282429192
1903,-0.21368542209222935
1904,-0.4726120419503633
1905,-0.2676323945065878
1906,0.049900635106977405
1907,-0.29370209673838765
1908,-0.40010998820992005
1909,0.06405153347246871
1910,0.07050936125344906
1911,-0.07545048875055733
1912,-0.5022589145681663
1913,-0.3030680116146792
1914,-0.21540477924519233
1915,-0.38318484013085025
1916,-0.530127035716741
1917,-0.28105162253676075
1918,-0.1720366286994139
1919,-0.49276324437964353
1920,-0.4450532432788781
1921,-0.32321569302229725
1922,-0.28259144535559194
1923,-0.5952623153502171
1924,-0.4952215691425652
1925,0.024952249067255076
1926,0.02659160595435176
1927,-0.13874445318095774
1928,-0.04924615472506585
1929,-0.03369122735733948
1930,-0.30560864643564933
1931,-0.18589739117523965
1932,-0.19242262402582977
1933,-0.44362415889465373
1934,-0.11885329561747826
1935,0.03889353140284808
1936,-0.056909303833757835
1937,-0.4955475200848449
1938,-0.23510499908798582
1939,0.12644028938128873
1940,0.1990369536530913
1941,-0.16941015986327781
1942,-0.41570756877263243
1943,-0.08582642367095931
1944,0.01860869331329955
1945,-0.06632993611489418
1946,-0.3933450887480318
1947,-0.272003157760317
1948,-0.1610460019102975
1949,-0.2599523131311495
1950,-0.5015257226464561
1951,-0.019447624618504057
1952,0.04290151771923767
1953,-0.1982150147614335
1954,-0.5274977077639461
1955,-0.23848463500888095
1956,-0.16605420236263185
1957,-0.3558515035146266
1958,-0.4364184573862796
1959,-0.20227286133765512
1960,-0.09708448734428965
1961,-0.23023625181036644
1962,-0.48343370063227054
1963,-0.48909018956895534
1964,-0.011588843870415727
1965,-0.16775827181693329
1966,-0.4475652903277024
1967,-0.48735205170518525
1968,-0.1651721851864295
1969,0.06206780441507913
1970,-0.1758854065127489
1971,-0.4421083211025849
1972,-0.1967145933965999
1973,-0.0450900743575362
1974,-0.06912104890481284
1975,-0.16769186796255253
1976,-0.38975169383652025
1977,-0.3693351251636914
1978,0.06728824072621946
1979,0.24302951429739938
1980,-0.15770099610953298
1981,-0.46801821615299816
1982,-0.22789619444536677
1983,-0.01733325457838719
1984,-0.33633324870307235
1985,-0.2641587823238272
1986,-0.01759811170076736
1987,-0.37450794379465024
1988,-0.48320600459208785
1989,-0.3650283411288648
1990,-0.15715355795514208
1991,-0.503395286318659
1992,-0.7435156565545309
1993,-0.433342363241326
1994,-0.09060742666181465
1995,-0.2408155656952074
1996,-0.5008988933495298
1997,-0.45725727606375666
1998,-0.168877539147803
1999,-0.03585022603821569
2000,-0.0807059989202149
2001,-0.01655142082632266
2002,-0.21724908291889444
2003,-0.5339896107021718
2004,-0.36913377641525164
2005,-0.392542246523328
2006,-0.6446954871167787
2007,-0.311908357225898
2008,0.018485652625449767
2009,-0.18425953605976764
2010,-0.4341477712901679
2011,-0.29435594015167077
2012,-0.04809459677596151
2013,-0.2206949932328942
2014,-0.48947162082104145
