Year,ERF
1850,0.9513171475922996
1851,0.214055580575669
1852,-0.698738781404234
1853,0.13809512811691335
1854,0.8408165397810448
1855,0.055459926890117056
1856,-0.585241198096202
1857,0.1935802943669909
1858,0.8120068669157883
1859,0.8852955581858548
1860,-0.420338471563092
1861,-1.2472685898572835
1862,-0.6414419752149737
1863,0.5496062196989183
1864,0.8271242835940013
1865,0.320662095102487
1866,-0.13005256026452283
1867,-0.2528929116857352
1868,0.07390962055617256
1869,0.43708185710643216
1870,0.6492627040781214
1871,-0.2491494441490919
1872,-0.11083389200242105
1873,0.20794142711199723
1874,0.6144401271166282
1875,0.16822025594740472
1876,0.268800538681775
1877,0.05065673857495519
1878,-0.2382323903145452
1879,-0.5500492242829124
1880,0.734130113345271
1881,0.31939362029445306
1882,0.1386158682664696
1883,-0.9253774679692462
1884,-1.6914356260751207
1885,-0.708977183137131
1886,-0.2026273816690956
1887,-0.21537634447948728
1888,-0.13928113238869044
1889,0.34647793332555493
1890,0.47812273863549637
1891,0.08261519716238194
1892,0.031916200686824034
1893,0.31362516876429397
1894,0.3896748229923518
1895,0.06757851608926688
1896,-0.2532373631575394
1897,0.18779784073348865
1898,0.7368488853462418
1899,0.6832952815594384
1900,-0.47958047844661206
1901,-0.09003435107161052
1902,0.43681460246131215
1903,-0.3098330053518456
1904,0.20817499051567517
1905,0.21330765143534955
1906,-0.18870089653807354
1907,-0.6511463900019113
1908,0.16853624146858798
1909,0.8159208240848661
1910,0.7838222551977816
1911,0.6434029904880227
1912,-0.7019125814516765
1913,-1.0101707478065813
1914,0.33893999828903576
1915,0.42041336093336074
1916,-0.030016723001607862
1917,0.13539840487322657
1918,1.126874758663622
1919,1.0164280457997048
1920,0.7549926401458829
1921,-0.15056968990200945
1922,0.012897664950813986
1923,1.2334053883046598
1924,0.5261768734274828
1925,0.8665732736322942
1926,0.3400745453862686
1927,-0.3250387921322999
1928,0.10709534747843907
1929,0.9656009565861314
1930,0.4920950896285071
1931,0.2350415013493981
1932,0.545562526665641
1933,0.8118973412847281
1934,0.5648746662301151
1935,-0.2760075148484813
1936,0.2976759245686781
1937,0.7997887703513882
1938,1.2305771697858554
1939,0.6811125890425404
1940,-0.10825870850776625
1941,0.6961535481380087
1942,1.077208087920445
1943,1.0063654241064937
1944,0.18231331933376727
1945,-0.06192745950790038
1946,0.8234211296709844
1947,1.0369371927756585
1948,0.5919003498082063
1949,0.3828893524392911
1950,-0.5046198214073252
1951,-0.20993672689701495
1952,0.7079839548359228
1953,0.630388738056415
1954,0.4685411189097276
1955,0.3766814648543201
1956,-0.06500681823573626
1957,0.3737355361630797
1958,0.9995047041536003
1959,1.160267119408792
1960,0.19035459242610614
1961,-0.39852907476601884
1962,-0.33698456231480123
1963,-1.2931939064315892
1964,-0.11081632087891094
1965,-0.567769712637792
1966,0.27068690446793037
1967,0.6522839273811125
1968,0.9584017453922065
1969,0.7294488170333837
1970,0.15535625526133442
1971,-0.1812776405561058
1972,0.455142932168049
1973,1.1536126060319845
1974,0.48592587568066536
1975,-0.010645542302790467
1976,-0.18574989989427818
1977,0.6735449514006422
1978,1.8321198186620693
1979,2.2081343375086755
1980,1.255310197591477
1981,0.47151394610024644
1982,0.2622236809961852
1983,1.02980872992675
1984,1.2197949023925854
1985,1.003998273211507
1986,0.9102188901138994
1987,1.2686756582885574
1988,1.585216881171828
1989,1.5109577225851447
1990,1.8549302108482972
1991,0.580096969098671
1992,-0.7765062611001547
1993,0.19234939486549613
1994,0.8178162144772116
1995,1.1640815207367163
1996,1.4406683701234386
1997,1.6225441720778258
1998,1.8980699058262367
1999,2.3653761422043234
2000,2.385522240508653
2001,2.0571762062398538
2002,1.7607578865911109
2003,1.1548769683884257
2004,2.142320672100217
2005,2.5137859950742127
2006,2.156753050913948
2007,1.6328177699272237
2008,1.4900829172294097
2009,2.048457859028013
2010,2.63341715098372
2011,2.373299605371594
2012,1.8656326553514178
2013,1.7028168862513435
2014,2.891127584080391
