Year,ERF
1850,0.15797807022892024
1851,0.10419660330840519
1852,-0.004547994756655432
1853,0.3816866587258476
1854,0.07361918894501704
1855,-0.058155669898918516
1856,0.046965352668482174
1857,0.06118010874730023
1858,-0.18977564753209125
1859,0.12567607410713905
1860,-0.008344008546161269
1861,-0.7788061946648511
1862,-0.33180057365463866
1863,-0.1959939591725589
1864,0.25895275132545914
1865,-0.061490575684708726
1866,0.3105932062026454
1867,-0.018497803426092696
1868,0.18305084102298264
1869,-0.09319216475306491
1870,-0.08344556000969675
1871,0.26193739476825667
1872,0.484751135916029
1873,-0.11062712099824171
1874,-0.4583967900029148
1875,-0.11044633131212844
1876,0.33565332292272093
1877,0.1131237835469838
1878,-0.21795308787274342
1879,-0.20156289846355605
1880,-0.060943560702739014
1881,0.22972922574912907
1882,0.07101647079113374
1883,-0.7127615392711576
1884,-1.598273621449148
1885,-0.3125568138298227
1886,0.16524530024275358
1887,0.07896701704015273
1888,-0.05178072609382972
1889,-0.023723149151977638
1890,-0.11289518286892139
1891,0.0874654219127935
1892,0.06349478560521005
1893,0.06549282064200021
1894,-0.10400170079458167
1895,0.3031701085361653
1896,0.12042636133792575
1897,0.39628818604652294
1898,-0.02436179149635631
1899,-0.08421690210224565
1900,0.15269779684977264
1901,0.2326838505163058
1902,-0.23414018379549112
1903,-1.3384867335988735
1904,-0.1962304645347947
1905,-0.056822387772398994
1906,0.05940362111573533
1907,0.3622665099758651
1908,0.25993089426081184
1909,0.0488059143386084
1910,-0.27203204736657344
1911,0.18857025472483155
1912,-0.6374376586039386
1913,-0.10172366095047236
1914,0.14006336856352555
1915,0.12604534254682195
1916,0.6221736406160328
1917,0.6400121291476055
1918,0.36310285691660615
1919,0.2972115853318396
1920,0.21834046525317224
1921,0.21044445784590068
1922,0.38300687171956727
1923,-0.013495216676423172
1924,0.05280196155892847
1925,0.7043269619849317
1926,0.510264455391948
1927,0.10983982174097473
1928,0.2658059571840671
1929,0.43630412591440704
1930,0.3544711490504939
1931,0.3964306917562675
1932,0.35798064220098114
1933,0.3393489607015997
1934,0.4641796513730043
1935,0.6231747417354896
1936,0.5509653771183505
1937,0.27689622792282914
1938,0.677393827517961
1939,0.2450463137334546
1940,0.2580312584186184
1941,0.36173353614274567
1942,0.5358792471574757
1943,0.06425702692912788
1944,0.35360392271956853
1945,0.48170092269557996
1946,0.6010967055265388
1947,0.6146435474488852
1948,0.4935609124745558
1949,0.6072476748857709
1950,0.6538731652394244
1951,0.19398518290657438
1952,0.7310465240295554
1953,0.030567009190682115
1954,0.456138882371753
1955,0.8323220789326131
1956,0.6401611946487411
1957,0.2792110085219438
1958,0.49884312657809116
1959,0.30655823155711426
1960,0.7097365888123901
1961,0.08276203479311917
1962,0.0375180701687704
1963,-1.074199190394102
1964,-0.17838767864464272
1965,0.13002568734397849
1966,0.3089591197966632
1967,0.2787546296013723
1968,0.5414610001766619
1969,0.8987813498012216
1970,0.36206484485875035
1971,0.38482081183292904
1972,0.45888702059206987
1973,0.4389165853460856
1974,0.38319575462117306
1975,0.1545337578582645
1976,0.3490375882701414
1977,0.8658184652056573
1978,1.164546784022788
1979,0.8093047317655909
1980,0.8808279792294305
1981,0.7363195803349419
1982,0.5970063133798951
1983,0.07815626165577916
1984,0.5566395236324321
1985,0.7684840854893957
1986,1.1852818123479592
1987,1.4762748681637292
1988,0.9200668925219909
1989,1.4190946643542734
1990,1.0492606901141723
1991,0.26119274998926456
1992,-0.5588149038212782
1993,0.2801617152367955
1994,1.2027660544113385
1995,1.0474344982637804
1996,1.567881990484612
1997,1.2515887632707017
1998,1.304425297885393
1999,1.130990496831035
2000,1.5900083242798613
2001,1.825549974395029
2002,1.6709113301811234
2003,1.4890742518784983
2004,1.5361169368092624
2005,1.6837213193453473
2006,1.7051400884349615
2007,1.489499988227955
2008,1.7410980807885983
2009,1.583717605235518
2010,1.4571943485998438
2011,1.8060455775625242
2012,1.612180762993137
2013,1.7118031101945361
2014,1.9997527408130766
2015,2.3044539111057514
2016,1.8474267351006208
2017,2.0869720303412036
2018,2.312344991492266
2019,2.233301616946216
2020,2.21359095550215
2021,2.4858139541482034
2022,2.63440043418733
2023,2.5425527106923944
2024,2.9361486018272993
2025,2.9989647008402462
2026,3.2586589080026798
2027,3.1886090253120094
2028,2.9958595850242746
2029,3.2474170123631123
2030,3.2762767059283107
2031,3.0124186192789244
2032,3.0849130978492583
2033,3.324450223100154
2034,3.396583740738082
2035,3.328911267238883
2036,2.9920567694174065
2037,3.3882675396235697
2038,3.312232450700389
2039,3.4205371123820028
2040,3.4773652699005355
2041,2.8912877856704364
2042,2.906373276347166
2043,3.469185770667524
2044,3.368156501331519
2045,3.1801344434509233
2046,3.1679151364430584
2047,3.559998696248109
2048,3.1765210639263968
2049,3.299427277436401
2050,3.3371596209141607
2051,3.7731258364810047
2052,3.3463041689869057
2053,3.235933228611439
2054,3.016348758052884
2055,3.573129034269484
2056,3.226741959787284
2057,3.421162103597837
2058,3.0840262346112652
2059,3.5096956667224086
2060,3.3402229892810777
2061,3.245687234977362
2062,3.3133970471935426
2063,3.0495943874865925
2064,3.0847591979761093
2065,3.3432638688258116
2066,3.2936663532917434
2067,3.239861520945864
2068,3.313857803831191
2069,3.096869238015707
2070,3.622028609558263
2071,3.23989666286513
2072,2.9389457834384225
2073,3.0516101137753604
2074,3.225158401914924
2075,3.179404538681704
2076,3.2723243476271087
2077,2.9103872571231477
2078,3.10229375267577
2079,2.8771591556321785
2080,3.5063588492538527
2081,3.159680991985133
2082,3.198505853652922
2083,2.858535771211525
2084,3.237330069967483
2085,3.156367730242531
2086,2.9548083120389648
2087,2.9713219362553334
2088,3.0081647617122576
2089,3.035936749144275
2090,2.789073563358271
2091,2.7731861606386796
2092,3.0354038789036397
2093,3.235125448115718
2094,3.0541779148637507
2095,2.7821818819415416
2096,2.871056615097317
2097,2.812569332986006
2098,2.768682679392508
2099,2.784311448862151
2100,2.715222304859977
