Year,tas_diff
1850,-0.00016651229020141212
1851,-0.40400083854919266
1852,0.10802998613947405
1853,0.2662820529363445
1854,0.15800338156306706
1855,-0.11133375662488168
1856,-0.2692019926689143
1857,-0.3208739593367575
1858,-0.1341416690271055
1859,-0.041070501304746335
1860,-0.23327333960598412
1861,-0.3867347857287917
1862,-0.2451896842383514
1863,-0.03367977119956121
1864,0.06712996632386009
1865,0.02110555454242904
1866,-0.09931206195093155
1867,-0.27872427780475695
1868,-0.21984407964129615
1869,-0.04170398016433401
1870,-0.026471066248056653
1871,-0.18676409726090654
1872,-0.1273518148265747
1873,-0.03150708504625267
1874,0.08640049304074528
1875,0.07558670552719396
1876,0.11700001257669845
1877,0.1093790352330814
1878,-0.04699744188936457
1879,-0.31350711554077787
1880,-0.1993756141414082
1881,-0.015512040446967789
1882,-0.019825560981959936
1883,-0.10916471489376195
1884,-0.11150748792642223
1885,-0.3400676084233971
1886,-0.030312493472122254
1887,0.05782545143618581
1888,0.03551545285403726
1889,-0.07590335401105312
1890,-0.08592147222589724
1891,0.11885258863240214
1892,0.2048030068905358
1893,0.10122237452133327
1894,0.05740930057434817
1895,0.07845555610945765
1896,-0.25789094049327754
1897,-0.0773007340524021
1898,-0.14083334397478556
1899,-0.2208153108577884
1900,-0.03395144217463687
1901,-0.13335499560664021
1902,-0.19262808090289169
1903,-0.34647381529973204
1904,-0.16551538697250257
1905,-0.020427182292980045
1906,-0.12021485534780056
1907,-0.2999638895904686
1908,-0.28873084248873054
1909,-0.24092406594342552
1910,0.13562443790107395
1911,0.25626402242195967
1912,0.08590498472361592
1913,0.04444831424430997
1914,-0.012888144512750664
1915,-0.06229925097997947
1916,-0.12444091978197157
1917,-0.03721185002579497
1918,0.24745170314529039
1919,0.05051926614900859
1920,0.05583835587351607
1921,-0.16443354156193468
1922,-0.12551370220406408
1923,-0.026336314711843292
1924,-0.0190565785542888
1925,-0.40039815821036917
1926,-0.2485929328975188
1927,0.04346938858743807
1928,0.048163193516008396
1929,-0.10005005681626197
1930,0.005568295437787779
1931,0.08335965139543905
1932,0.05511522099084018
1933,0.034644732672188316
1934,-0.14164382367150527
1935,-0.3242266065474822
1936,-0.4077939623098387
1937,-0.04635584928545694
1938,-0.0339501949247272
1939,0.061902020913830735
1940,-0.17686682531008396
1941,-0.19933380120682404
1942,-0.05122498248329141
1943,-0.1322149022387732
1944,-0.230431066864152
1945,-0.2431247286598711
1946,-0.2621371426281156
1947,-0.08186465541026525
1948,-0.05041029890149343
1949,0.00958758488289238
1950,-0.010912157167249137
1951,-0.25012578578149686
1952,-0.25708117902575783
1953,0.045852459068720444
1954,-0.15733225309461002
1955,-0.14515268627035896
1956,-0.1593435267858579
1957,-0.013791759329722209
1958,0.08031043057178269
1959,-0.12147278257204921
1960,-0.10809967306096643
1961,-0.08505042494724749
1962,0.0055994769586821674
1963,-0.1938843752370686
1964,-0.005345078368324346
1965,-0.09565200103572684
1966,-0.08792519881903087
1967,-0.03339617053431049
1968,-0.007338244940356842
1969,-0.16904632924110966
1970,-0.02407934043175472
1971,-0.009551310578233607
1972,-0.16941878708891947
1973,-0.1262496246721095
1974,-0.12893962567877534
1975,-0.2372180490016733
1976,-0.2628929985644219
1977,0.03080854150805777
1978,0.07261110508625634
1979,-0.2594281567317922
1980,0.10833602826744487
1981,0.13208504125747664
1982,0.01154865345298206
1983,-0.15297093666232914
1984,-0.0463667872768041
1985,-0.22777047508954257
1986,-0.1531767763047252
1987,-0.043792216109712456
1988,-0.0322165752894667
1989,0.00845951091060837
1990,0.11208760431330783
1991,-0.16533803534086317
1992,-0.352962284748077
1993,-0.20383140844462883
1994,0.04615447451525456
1995,-0.20333352951686107
1996,-0.17052566646532602
1997,-0.0435685396996246
1998,-0.3859994486874856
1999,-0.569544471742309
2000,-0.13563889990281386
2001,-0.16701249065046442
2002,-0.27603733504618944
2003,-0.5046682080525727
2004,-0.17465558907288736
2005,-0.17761474004963274
2006,-0.15282689768662427
2007,-0.21887648864509412
2008,-0.4728267597339201
2009,-0.38958334925588933
2010,-0.2664094964012008
2011,-0.307654619371332
2012,-0.3917366339624584
2013,-0.149558447722967
2014,-0.22301616511223243
2015,-0.431581749203085
2016,-0.24723787857368773
2017,-0.051197100007693175
2018,-0.1139227452254068
2019,-0.5202645524948203
2020,-0.2703452859341038
2021,-0.12555439002444913
2022,-0.1984713839781136
2023,-0.20237097708523533
2024,-0.3151819502300477
2025,-0.572310654402131
2026,-0.2902190150066277
2027,0.022992313054384983
2028,-0.16297253788567256
2029,-0.4817163073952313
2030,-0.22314564854653085
2031,-0.11868041728917156
2032,-0.36879755724385155
2033,-0.6141903725298392
2034,-0.22435668892043492
2035,-0.0856214702568967
2036,-0.3086601258163799
2037,-0.3878291007551522
2038,-0.36635988157172017
2039,-0.10473690094468235
2040,-0.2502464775107014
2041,-0.43868826642470604
2042,-0.6588622286252028
2043,-0.22612404596685032
2044,-0.20028309851228432
2045,-0.4576734084361187
2046,-0.2332924279192512
2047,-0.009497971385060477
2048,-0.09971628788292541
2049,-0.3350692602227703
2050,-0.278576013234189
2051,-0.24643983620468357
2052,-0.12032409953916412
2053,-0.1765777074605528
2054,-0.4076128752140047
2055,-0.44310223701351736
2056,-0.34740151162195954
2057,-0.05098697641414107
2058,0.025956916480436742
2059,-0.3568061955160031
2060,-0.5134977917200572
2061,-0.2567498988207402
2062,-0.07652086986682383
2063,-0.243950602742673
2064,-0.5844938905590111
2065,-0.30136938370085664
2066,-0.025733655393342936
2067,-0.29551413954755423
2068,-0.42410071423618234
2069,-0.19851847140613277
2070,-0.28100268224031666
2071,-0.30197170546586793
2072,-0.18934757384979672
2073,-0.3117479212678682
2074,-0.3408642246572291
2075,-0.579113105026483
2076,-0.2807067513244843
2077,-0.30075971525308276
2078,-0.4538895446625051
2079,-0.2651161617099822
2080,-0.11242081905278889
2081,-0.3104956942968382
2082,-0.5624800612846994
2083,-0.14407007850557774
2084,-0.1386883114010109
2085,-0.46804456867245436
2086,-0.2633523783222076
2087,-0.10334132600720025
2088,-0.27862342699300857
2089,-0.4243989484548556
2090,-0.2666851184427892
2091,-0.038783950421575675
2092,-0.3361668416683403
2093,-0.4145427241336108
2094,-0.11997037666722132
2095,-0.22129045038853423
2096,-0.35785931973377405
2097,-0.27656042150524085
2098,-0.3896538257937565
2099,-0.5600747454935013
2100,-0.17624819696046945
2101,-0.257486163143517
2102,-0.5091144845307749
2103,-0.38315318778911767
2104,-0.23865387912229608
2105,-0.39523519323865264
2106,-0.3766985879919098
2107,-0.028263352300624156
2108,-0.24075132263894972
2109,-0.4911663200407803
2110,-0.3689279240936263
2111,-0.2656802311271158
2112,-0.28081392222694745
2113,-0.4719925574499113
