Year	ERF
1850	-0.1428350981931708
1851	0.34862960265011256
1852	-0.04017297853416524
1853	0.2325191233674878
1854	0.16008000985155216
1855	0.07682441516066124
1856	0.31135231370607325
1857	0.05416014696095743
1858	-0.29856700814161197
1859	0.24117893408848004
1860	-0.033415879940268546
1861	-0.41426615054745874
1862	-0.7042384403579722
1863	-0.3413767938539608
1864	0.013782707453584786
1865	-0.07376979774982902
1866	-0.18645576884805548
1867	0.11518827549678208
1868	0.047022370734531506
1869	-0.050878951474260484
1870	0.11426124776974528
1871	-0.28680343003579956
1872	-0.2766037775206635
1873	0.1459518249649937
1874	-0.0989501199304667
1875	-0.822893098101155
1876	0.2198336324831166
1877	0.11130028503956581
1878	0.21346607787739832
1879	-0.5959996798583078
1880	0.18440829136589426
1881	-0.13750648891649944
1882	0.06722683546915813
1883	-0.9608406744299157
1884	-1.8254672563213308
1885	-0.646696910121879
1886	-0.5319988258562417
1887	0.16737485884911737
1888	-0.24089323923711664
1889	-0.0566575949795268
1890	-0.0763233583956569
1891	-0.03512834080139793
1892	0.3177718585432412
1893	-0.17489162347111104
1894	0.07754276225113466
1895	-0.36271927430179834
1896	0.08750128002387178
1897	-0.0026281517875766103
1898	-0.20635848914925375
1899	-0.224213801839134
1900	0.29135852015194064
1901	-0.06664597681760555
1902	-0.38899867552444845
1903	-0.5372597912165409
1904	-0.1797246336590412
1905	-0.24320852152919126
1906	-0.00538992579820019
1907	0.13716547875909485
1908	-0.19453090517248067
1909	-0.042338924606953
1910	-0.1974827449222998
1911	-0.09538253543180691
1912	-0.7581918501786025
1913	-0.741326147510494
1914	0.10151683408820963
1915	0.15239252942378356
1916	0.11101649511975402
1917	-0.28585939486696404
1918	-0.12024582300974722
1919	0.026521152564243436
1920	0.02069886096379207
1921	0.17634953189214458
1922	-0.13639394253932846
1923	-0.22643628534454407
1924	0.20077952943088753
1925	0.2516877541233237
1926	-0.0227548420387041
1927	0.31266327351268114
1928	0.10155996421939051
1929	-0.26231809699408337
1930	0.30455147753012796
1931	0.05851832790539934
1932	0.365243825522587
1933	-0.546826689163185
1934	0.001911843271830263
1935	0.008828856926514125
1936	-0.3905900594181745
1937	0.03251674686982084
1938	0.1517515509358887
1939	0.11082002691103836
1940	-0.15784654816605884
1941	0.06988327874495819
1942	0.2155126139631194
1943	-0.3539687346984648
1944	0.1416303677414885
1945	0.3249726927461095
1946	-0.20078256018745494
1947	0.11212438208112971
1948	-0.263331978387056
1949	-0.28413444456872755
1950	0.3307860531191718
1951	0.035640314555166835
1952	-0.30493695887082756
1953	0.00728161896877233
1954	0.24643819686934781
1955	-0.17960209534201477
1956	0.10591145030016169
1957	0.36575093626891214
1958	0.10751220975983837
1959	0.05172246274781371
1960	0.43631712117803195
1961	-0.6435223886206117
1962	-0.13163742606020934
1963	-0.9602178461948945
1964	-1.0053187452064694
1965	-0.16331692491438451
1966	0.017606514547185453
1967	-0.47781437957323125
1968	-0.4668065894261464
1969	0.6429473481485142
1970	-0.3181658816284525
1971	-0.4876334036208432
1972	0.18651230866906615
1973	-0.3277811863093373
1974	-0.4069920042750024
1975	0.29080448988365754
1976	-0.7307026820277578
1977	0.16146933344807293
1978	0.2785767148309297
1979	0.21188166936200623
1980	0.6050847128438946
1981	-0.007049877876685567
1982	-0.1917114875054932
1983	-0.6748636854313813
1984	0.343783063440775
1985	0.021125070703424537
1986	-0.21569600003918127
1987	0.17925221121168036
1988	0.736699947430605
1989	0.21556414229638293
1990	0.19288132385093007
1991	-0.4790831387169111
1992	-1.0251016070206693
1993	-0.5055155321424689
1994	0.7605182149019425
1995	0.8972456183160469
1996	0.5622650594313331
1997	0.8642410420865152
1998	0.524659223313392
1999	1.0076801345796267
2000	0.6683576494301354
2001	0.8228893771602682
2002	0.9871857602057243
2003	0.902011339921695
2004	0.7777086489797012
2005	0.8972982761479974
2006	1.361557082107233
2007	0.979308109364074
2008	0.7955571493455273
2009	1.1207436313425725
2010	1.2615251852056883
2011	1.3740380642978058
2012	1.2716911805504503
2013	0.966605436757799
2014	1.444518313664961
