Year,ERF
1850,0.00671950050136163
1851,0.1351844765973955
1852,-0.40204998791454105
1853,-0.34542511712978563
1854,-0.5123863729341165
1855,-0.543151019577597
1856,-0.5170034727790891
1857,-0.24366627735242605
1858,-0.01413328022861561
1859,-0.6271165103958267
1860,-0.2694838587115941
1861,0.09327313209774549
1862,-0.38206103567898375
1863,-0.1385349990535325
1864,0.35880615591853615
1865,-0.32315468721663554
1866,-0.030070969232784336
1867,0.04180892538343687
1868,0.16646225816942206
1869,-0.006203506898768075
1870,-0.34309280851645607
1871,-0.8625356050699927
1872,-0.23226260991910208
1873,0.20910808005699405
1874,-0.14127889820348585
1875,0.5539133813808842
1876,-0.36433633576980595
1877,-0.450009417178469
1878,0.5828580457976906
1879,0.43181403089535303
1880,0.06812296939327081
1881,0.37692796062351863
1882,-0.17155751572428357
1883,-0.3015088867562423
1884,0.23476351851730867
1885,0.39117224225345193
1886,0.17689545507943427
1887,0.13139399998338688
1888,0.0968997528977551
1889,0.14316275653588661
1890,0.40611929253758344
1891,-0.17160045294733867
1892,0.2190162974852053
1893,-0.23370978952905794
1894,0.194043756913918
1895,-0.10024493066084206
1896,0.13977992597910197
1897,-0.005061126111214832
1898,0.06330919674168271
1899,0.20040052468521402
1900,0.3339095102497811
1901,0.27522267393584227
1902,0.2385607441209398
1903,-0.23091473297919846
1904,-0.04788784125032426
1905,0.610016674232055
1906,0.6501735974121221
1907,0.5189642704435833
1908,-0.25692205734943896
1909,0.40644121049539444
1910,0.1378778751970784
1911,0.2900952945976958
1912,0.7736119462141663
1913,0.24102040476668027
1914,0.6121397063462268
1915,0.5135984277336484
1916,0.15373683933833815
1917,0.5602004839569286
1918,0.5384107301649381
1919,0.8655369085246851
1920,0.5614617246589015
1921,0.7192898611835672
1922,0.8853058421835642
1923,-0.11146276633375851
1924,0.9909305076010908
1925,0.6932269552908524
1926,0.8883263632562144
1927,0.15994514888888728
1928,0.8432968676119538
1929,0.9207660872213779
1930,0.7495498561997622
1931,0.6912561085974787
1932,0.9009242460171811
1933,-0.036424838439721885
1934,0.5803516683549335
1935,0.761946036167297
1936,0.5141398870179464
1937,0.7139343620104324
1938,0.408804808191688
1939,0.7551698175335257
1940,0.277906700066342
1941,1.0507074912585221
1942,0.8583292645392193
1943,0.32100655391535443
1944,0.3531806944321784
1945,0.9786969623065422
1946,0.8978223446562039
1947,0.7470901590994709
1948,0.7511259521849842
1949,-0.004479589163335851
1950,1.0148637655119739
1951,1.161303298700322
1952,0.27789510251408606
1953,0.9331266361933754
1954,0.6278892018963024
1955,0.8264928262682274
1956,0.6000427936168877
1957,0.10186520683829015
1958,0.8543483229651245
1959,1.142454023259594
1960,0.9902622918324315
1961,0.6356080143202438
1962,0.6656187376242805
1963,0.6235958032265763
1964,0.926269084532327
1965,0.7067606404457689
1966,1.0436340843920622
1967,0.9206375123116979
1968,1.1271634818818286
1969,1.1629959747079692
1970,0.9080913010738108
1971,0.9944840517206132
1972,1.426706591906836
1973,1.6773069894765862
1974,1.0578166392879065
1975,1.758395506553816
1976,1.4140650893474662
1977,1.361843902894236
1978,1.5312239458183554
1979,1.3361159392671402
1980,1.5162444282129641
1981,0.9976451974252782
1982,1.9787976062716537
1983,1.9035669979007106
1984,2.152904261223237
1985,1.3827359014316776
1986,1.994450922826977
1987,2.3915665455711106
1988,2.200799526346092
1989,1.9928478013308784
1990,2.1126769607904485
1991,1.6773273393804513
1992,2.0140941386233915
1993,2.1070567424556845
1994,2.4145925904519485
1995,1.9618550453082968
1996,2.354055922945558
1997,2.208621986511852
1998,2.1169695885080575
1999,2.651758178463904
2000,2.3455223810740717
2001,2.06412208078018
2002,2.329282362664907
2003,1.9576698139773918
2004,1.9315840379263125
2005,2.4654647542615207
2006,2.5138484609401948
2007,2.658618960097315
2008,2.4057592208651943
2009,2.6920543936510772
2010,2.3521311763845203
2011,3.0093261052640603
2012,2.65243650558123
2013,2.6504784843582607
2014,2.8942667065251984
2015,2.900126661848917
2016,2.921452406013029
2017,2.8070227018235827
2018,3.3546617649969828
2019,3.4343498546526288
2020,3.0450992349204506
