Year,ERF
1850,0.060552852342656616
1851,0.09105291970148272
1852,-0.012677044558287068
1853,-0.3219501271554859
1854,-0.030777678792981152
1855,0.21157650134003414
1856,-0.5140231652674699
1857,0.22304119138087536
1858,-0.33279189348321386
1859,0.023632416792750466
1860,0.1289585150758874
1861,-0.2807459228685224
1862,0.0665214092654412
1863,0.10586178769764762
1864,-0.5289435481688688
1865,0.1962955916719587
1866,0.25487584514036576
1867,0.007514468479593112
1868,0.10565865996397061
1869,0.09680699070392738
1870,-0.09517325123301631
1871,-0.01744719101762935
1872,0.15873810208435893
1873,0.2120300605647067
1874,0.23581171684106966
1875,-0.5029200023511434
1876,0.3577391958449701
1877,0.40030056181718426
1878,-0.15511537113956705
1879,-0.033519710897892976
1880,-0.017540247970306816
1881,0.10295037659412595
1882,0.18443124484132037
1883,-0.03152093022020579
1884,0.18692096272360378
1885,-0.20311466611618945
1886,0.2333734484567879
1887,-0.0457643253001736
1888,0.2121203458375067
1889,-0.03771911868105253
1890,0.03470851982674988
1891,0.14897368683742682
1892,0.31005257735502806
1893,0.12448608556780942
1894,-0.16162246968221408
1895,0.3023617960711995
1896,0.13653181616757934
1897,-0.432209046729672
1898,0.26957693747152567
1899,0.21942570980671347
1900,0.4400526958297734
1901,-0.2919075119856762
1902,0.30698016337670786
1903,0.41673437042987216
1904,0.19550259924371297
1905,-0.17826272284736533
1906,0.19796003635955378
1907,0.13989400153793852
1908,0.06669237039308339
1909,-0.02015311939474433
1910,0.24008274105568006
1911,0.6076574309584667
1912,0.1161997872364409
1913,0.093749240586598
1914,0.3684259973610684
1915,0.26861138473507523
1916,0.2587584683623221
1917,0.3353014951588781
1918,-0.05979055479329584
1919,0.12617915221461487
1920,0.2899808649083278
1921,0.5504583156337363
1922,0.25954304263269673
1923,0.06900310204432669
1924,-0.1370170796990639
1925,0.4707651644425306
1926,0.47163437650298234
1927,0.34303131413560894
1928,0.526965854176237
1929,0.3412188415008416
1930,0.3249471142214684
1931,0.4499166211510265
1932,-0.06821897375917146
1933,0.362393911210778
1934,0.35924717489423164
1935,0.471083077380957
1936,0.3711912761992086
1937,0.5934797753611616
1938,0.7898763045720182
1939,0.43539106516285486
1940,0.3300717732124289
1941,0.45692478858674357
1942,0.3547818413603673
1943,0.37017985951902066
1944,0.5407607274967432
1945,0.7372826147289119
1946,0.3351336902304825
1947,0.7520728459626611
1948,0.48200334610457884
1949,0.5441355069843349
1950,0.7841102403554971
1951,0.7881462874136607
1952,0.3488470275844844
1953,0.6525381119329212
1954,0.6970518316994085
1955,0.3246475222352211
1956,1.1499678985735484
1957,0.9345494145562947
1958,0.5135986869525115
1959,0.9059285980725207
1960,0.5765957639347095
1961,0.9545385083058571
1962,0.9028759370522483
1963,0.9470984560621757
1964,0.6995130415393253
1965,0.445439700693311
1966,0.854395487394225
1967,0.7814577586300171
1968,0.6678187503106464
1969,1.0206090141668438
1970,0.8218451231757702
1971,1.146534664495001
1972,1.1946108936492406
1973,1.4865658330198084
1974,1.0651525376071618
1975,1.044017837001539
1976,0.9690675475241133
1977,1.0805571842431574
1978,1.1625834865830837
1979,1.368375773286639
1980,1.3163668842020058
1981,1.5572576301478076
1982,1.3005257099210117
1983,1.239739881823677
1984,1.1635487720811106
1985,1.5444225070187683
1986,1.4323760241907202
1987,1.5618604645334244
1988,1.509169908014174
1989,1.9501241264563798
1990,1.740894384253921
1991,1.8260983594883076
1992,1.7167414617540122
1993,1.8033717227810913
1994,1.5662943109540486
1995,2.0203453079636433
1996,1.78164891245327
1997,2.056774041148859
1998,1.7575183209943817
1999,1.7961833786369614
2000,1.8327150724139862
2001,1.413503197922477
2002,2.3141826204474114
2003,1.8175584787402825
2004,1.8459746994941892
2005,2.1017690409489775
2006,1.9040200991905682
2007,2.0699294383270397
2008,2.186408665848903
2009,2.544579637511104
2010,2.3781253037249135
2011,1.5401703833033915
2012,2.5172162695505502
2013,2.52934335787548
2014,2.6817031246867344
2015,2.4313339825455436
2016,2.12488264971687
2017,2.6065830095646394
2018,2.604917724414767
2019,2.714119701764377
2020,2.7326994824281337
