Year,tas_diff
1850,-0.00416143160827669
1851,-0.15873365830996203
1852,-0.1663750562703984
1853,-0.2288811135783343
1854,-0.04091157206364484
1855,-0.14060077951951566
1856,-0.12945423969606162
1857,-0.014752257543368959
1858,0.003574934622267073
1859,-0.01895854617309945
1860,-0.056734514095512646
1861,-0.1589970021437005
1862,-0.1520263626408668
1863,-0.23812632385117055
1864,-0.21888061609973003
1865,0.05155913683498599
1866,-0.002718393869645966
1867,0.004316249895722067
1868,-0.07283420508139157
1869,-0.04420679791401205
1870,-0.008878860514402703
1871,0.06366139479024757
1872,0.08379478701786298
1873,0.000471747037768349
1874,-0.14339960537474583
1875,-0.3205250903689434
1876,-0.027745751696042098
1877,0.034316367696357916
1878,-0.09784265534046757
1879,-0.15086676286375625
1880,-0.0446419826034674
1881,0.15621957937671965
1882,0.15918306045408914
1883,0.10058048704864683
1884,-0.008442441038011957
1885,-0.15571546374353695
1886,-0.14515042966763972
1887,-0.16095699352268014
1888,-0.05839644540558926
1889,-0.1532058937870728
1890,-0.08033841585216898
1891,-0.05240895186405434
1892,0.09351650554670049
1893,-0.10748461970861428
1894,-0.09999542239914688
1895,-0.09801826211831034
1896,-0.25967980108389044
1897,-0.2262561674386803
1898,-0.05582482033906918
1899,0.03965047303501425
1900,0.023028259880907544
1901,-0.17387652373215626
1902,0.011159736137736208
1903,-0.05000167633664071
1904,-0.17172315138672928
1905,-0.13658612693454042
1906,-0.14967938464755312
1907,-0.09605641055450903
1908,-0.13191761919149353
1909,-0.11410544191583817
1910,0.02093078945993692
1911,-0.11690841601666718
1912,-0.2618950643117651
1913,-0.3187015052845456
1914,-0.15271583400037475
1915,-0.0860401451672543
1916,-0.0870755965323562
1917,-0.052469701423218634
1918,-0.1580425885877905
1919,-0.05109203054491364
1920,0.017660015558865386
1921,0.031247720156745512
1922,-0.029606482975811726
1923,-0.11905013832390446
1924,-0.1131181343765538
1925,0.056900133077489534
1926,0.01224623052528806
1927,0.07730361089471975
1928,0.15091025075434333
1929,0.04005724320114065
1930,0.0018715339459451918
1931,0.03757144701087328
1932,-0.03276094885776565
1933,0.03784237161818807
1934,-0.029793556008948646
1935,0.024289135785925453
1936,-0.0022709695885234082
1937,-0.1065586161333541
1938,0.015996897284827005
1939,0.020104446128500764
1940,-0.10411630939142558
1941,-0.12707244001963758
1942,0.02614735863687806
1943,0.1808105261291693
1944,0.05351147759473085
1945,0.04271610148134253
1946,-0.03784360912691909
1947,0.10923301743917452
1948,0.03979188969251607
1949,0.09185105724868009
1950,-0.02888000871563473
1951,-0.07675236345906178
1952,-0.001339473314711237
1953,-0.09206589493951822
1954,-0.19333155778706385
1955,-0.1922805363868315
1956,-0.008130111738715806
1957,-0.1353493369432095
1958,-0.15062263731748282
1959,0.023930252623053372
1960,-0.07068188165899669
1961,0.009230042470455335
1962,0.13746500113578808
1963,0.202651671438008
1964,-0.031997975893890085
1965,0.04902396896532002
1966,-0.0030624165406253345
1967,-0.00766425319953945
1968,0.004121450270370475
1969,-0.11297312519599778
1970,-0.04288203290839476
1971,0.06963722248704163
1972,0.20549624003202327
1973,0.22514275524683325
1974,0.0018916421476478096
1975,-0.04926915274083388
1976,-0.23834971993301002
1977,-0.06971377399747591
1978,-0.02000366232932027
1979,-0.055190432907203824
1980,-0.04981884371633827
1981,0.02325992635605556
1982,-0.03126889914414743
1983,-0.2271150432140776
1984,-0.025080047811904427
1985,0.02595829070279443
1986,0.05798979472364252
1987,0.05379011245856602
1988,0.018457753019630374
1989,0.13955543963866424
1990,-0.030889321882071386
1991,-0.09882635803030748
1992,0.0012818313626499211
1993,-0.13085567325550063
1994,-0.03515745176221996
1995,0.01628508927155714
1996,0.023035341437232404
1997,0.03768146110702353
1998,-0.021793783082265428
1999,0.018437148126422498
2000,-0.1261526929347212
2001,-0.039575740748929444
2002,0.17877226527248036
2003,0.08320345977890242
2004,0.15953837233947543
2005,0.08206795044379112
2006,-0.039747770813523875
2007,0.08911033478204322
2008,0.2073718583321822
2009,0.253798504270383
2010,0.09310472330932718
2011,-0.23543843161214228
2012,0.17840522415979643
2013,0.24912660065068093
2014,0.14769417517201333
2015,0.010561059612582024
2016,-0.0046706151515429895
2017,0.23798640375052194
2018,0.10687308911823923
2019,0.14939126917815804
2020,0.050072714568213605
