Year,ERF
1850,0.1153124785434079
1851,0.24456602397647503
1852,-0.14243283516045008
1853,-0.16741270504107433
1854,-0.350361394872302
1855,-0.2360141811904307
1856,-0.47927543557744856
1857,-0.18267878427355363
1858,-0.3297152439926314
1859,-0.1309393719491211
1860,0.11439131435451602
1861,-0.21916769824495458
1862,-0.4479496132210441
1863,-0.5035479149057844
1864,-0.3194892110509157
1865,-0.41371118928650996
1866,-0.13029652049700355
1867,-0.7360137841147748
1868,-0.5648144570155841
1869,-0.11292584806549441
1870,-0.05081494495817612
1871,-0.2968286947921921
1872,-0.5477797629397101
1873,-0.4465031888618446
1874,-0.8233451864110937
1875,-0.03160810228967978
1876,0.008813984547193954
1877,-0.1651929122827932
1878,-0.15859554367337417
1879,-0.8242533047659913
1880,0.5562294093008417
1881,0.013719380104658646
1882,0.009818297782496599
1883,0.1168785412526833
1884,-0.379156434982417
1885,-0.543358126299939
1886,0.2672555229909982
1887,-0.17454851164882668
1888,-0.3910819976839207
1889,0.036855223147628735
1890,-0.3248215859299404
1891,0.16139865713552654
1892,-0.76328258947554
1893,-0.48489740004645665
1894,-0.5147264009107716
1895,-0.13605864895766284
1896,-0.15644787704049437
1897,-0.7572031478239569
1898,-0.4164475756171856
1899,0.04244407085309207
1900,0.0029194369513381724
1901,-0.6319988150985499
1902,-0.7059347777918423
1903,-0.2671015636518419
1904,-0.7020814177980705
1905,-0.416434632060663
1906,-0.6980760201307966
1907,-0.3653501435412219
1908,-0.6250744863512953
1909,-0.43282531840745087
1910,-0.6221522837973847
1911,-0.42226447683619467
1912,-0.8234043300661755
1913,-0.49112110179723334
1914,-0.2854702663414652
1915,-0.8433253885281423
1916,-0.615609077636543
1917,-0.8219617637475325
1918,-0.4704224595246041
1919,-0.8288116176551699
1920,-0.8230902074063744
1921,-0.8421556009883704
1922,-0.0008024382723340051
1923,-0.8685815473082336
1924,-0.6932787445090947
1925,-0.8121223284310264
1926,-0.7752066951047623
1927,-0.6600630424852227
1928,-0.4056881878917697
1929,-0.47841289341578536
1930,-0.3700969838313742
1931,-0.2948839700962768
1932,-0.8970674865301523
1933,-0.4639271914867189
1934,-0.20860763668441568
1935,-0.6196847729790405
1936,-0.8140538588666976
1937,-0.49242545846392816
1938,-0.3042592423852856
1939,-0.6603816184870517
1940,-0.752115712654835
1941,-1.0927123848512612
1942,-0.9293782422647427
1943,-0.4310286085460074
1944,-0.9906851517732471
1945,-0.9941173456778648
1946,-0.6723686931838644
1947,-0.7168822879317129
1948,-0.6493938124984301
1949,-0.9866310938864743
1950,-1.314856812653864
1951,-0.5241430048910265
1952,-1.307958819207208
1953,-0.9787613898621643
1954,-0.6717930585305816
1955,-1.54811161874454
1956,-0.7005495673529174
1957,-0.8814885244508311
1958,-1.204103754693947
1959,-1.0952530017586586
1960,-1.407253426716717
1961,-0.8613700600752588
1962,-0.852349135371314
1963,-1.6928742924220956
1964,-1.6759320601760361
1965,-1.2170928082695776
1966,-1.8858145507524047
1967,-1.634404577943813
1968,-1.5672363307567727
1969,-1.447287446183394
1970,-1.2176840166625071
1971,-1.9052379891631506
1972,-1.4772209591750274
1973,-1.4795493736266359
1974,-1.6994939318837452
1975,-1.8835889604253584
1976,-1.37849209130716
1977,-1.387914876660902
1978,-1.7521273202216439
1979,-2.060944621644763
1980,-1.2405983639193847
1981,-1.649894730198965
1982,-1.4904062994469376
1983,-1.264781435193378
1984,-1.5408527193194794
1985,-1.9723655818564376
1986,-1.4517939733690817
1987,-1.728597050386703
1988,-1.9945249317970073
1989,-1.888831604972177
1990,-2.057962632918834
1991,-1.1199271572103389
1992,-1.6050497377887822
1993,-1.3498770736189296
1994,-1.5372516531932816
1995,-2.1336696114949083
1996,-1.348329787956709
1997,-1.2236478051179065
1998,-1.2393048224883094
1999,-1.4622948154147428
2000,-1.1257315459736066
2001,-1.3063300945471525
2002,-1.2021237367480802
2003,-1.6016801686240747
2004,-1.3721300487989865
2005,-1.6708164682072555
2006,-0.685682091758738
2007,-1.442635800575955
2008,-1.5131581889019916
2009,-1.2425726104923567
2010,-1.1375360326341672
2011,-1.0366152695714748
2012,-1.082527616169926
2013,-1.5441727793670936
2014,-1.3064109946578017
2015,-1.8631873454934065
2016,-1.033639171919211
2017,-1.5860692095333713
2018,-0.8268807631720844
2019,0.07754580622773277
2020,-1.031868341005376
