Year,tas_diff
1850,0.17104453805273467
1851,0.17155135546819933
1852,0.03477396251937157
1853,0.06532731377870128
1854,0.27742570055849464
1855,0.05831462259281787
1856,-0.05139771507470067
1857,-0.03177225760840084
1858,0.047301641655502845
1859,0.050793868998108054
1860,0.03728465044375429
1861,0.031089295849371423
1862,0.037342292118748344
1863,-0.015160430935582489
1864,-0.09276351532250193
1865,-0.14292721384167364
1866,-0.11780956189554823
1867,-0.022836023730521196
1868,0.16137104044916237
1869,0.18200972727804882
1870,0.03725207984657343
1871,0.00026859611964239263
1872,0.020238594756876706
1873,0.1569502441223887
1874,0.22093682740114834
1875,0.11263233080588471
1876,0.027021507197931536
1877,0.11294770680885506
1878,0.09519623355736545
1879,0.0778660998100271
1880,-0.012889533592735272
1881,0.07500947739247324
1882,0.1509603051249126
1883,0.02485493214135008
1884,-0.008338660049442503
1885,0.017412006223050225
1886,-0.037962874384209144
1887,-0.006185802442511518
1888,-0.011040000500779135
1889,0.07146668682087359
1890,0.0516247046149443
1891,-0.046997752930302006
1892,0.09951933028573226
1893,0.0725434549285109
1894,0.0015458747007706386
1895,0.1826559704134407
1896,0.07276847958064879
1897,-0.040400398826424114
1898,0.018819359438451158
1899,0.031045442542688165
1900,0.05230987898656325
1901,-0.004122825393627599
1902,0.08734662055212808
1903,0.17138761537891423
1904,-0.010104890392900218
1905,0.09898946193556599
1906,0.07513866805089711
1907,-0.04293770105800483
1908,0.08156625107207663
1909,0.35258568406364577
1910,0.3515838166120271
1911,0.15041714620264868
1912,0.1508850758830541
1913,-0.007338891432952688
1914,-0.19419292694870896
1915,-0.10311053196813469
1916,-0.03203998225098853
1917,0.006314608636545621
1918,-0.025908590361728337
1919,-0.161325596884078
1920,-0.12742708625527063
1921,-0.051666503276668954
1922,-0.04473165677309998
1923,-0.059898966953319976
1924,-0.17042686114169756
1925,-0.0727479068890547
1926,-0.12534590427879685
1927,-0.05013767072917555
1928,-0.15529936026678925
1929,-0.151871933795131
1930,0.04907336713403454
1931,0.1875790177296885
1932,0.09223545314574073
1933,0.15935637770043787
1934,0.08001515504881015
1935,-0.08416496068667234
1936,0.1944105664824615
1937,0.15683912800613622
1938,0.050940594606202316
1939,0.023272021818805992
1940,-0.07214474682222274
1941,-0.25051298352096313
1942,-0.11607701754518154
1943,0.10583060843379201
1944,0.021005043108382
1945,0.11101837214694917
1946,0.0633798613342
1947,0.01871174834402264
1948,0.11223973718111005
1949,0.0004338391388679329
1950,0.1599553156262886
1951,0.18902312125537088
1952,0.10501497528889647
1953,-0.10428535815078126
1954,-0.022299171796063774
1955,0.1582380003667616
1956,0.010976153457932035
1957,-0.06049058366802042
1958,-0.021225719878950992
1959,0.02488469718318309
1960,-0.0706323130985569
1961,-0.11362499119701415
1962,-0.05937817440108625
1963,-0.011879733014096616
1964,-0.011150534631287068
1965,0.03367666705050676
1966,0.04816993330441627
1967,-0.01974826865189644
1968,-0.08798651960894324
1969,-0.2007138319399459
1970,0.013430574988164162
1971,-0.025116610735292477
1972,-0.12066151116304452
1973,-0.1811537117997727
1974,-0.03419592150014181
1975,-0.03484766251808319
1976,0.09592278181771108
1977,-0.027603930512063973
1978,0.03707000391769183
1979,0.04924924464199744
1980,0.04305599853058564
1981,0.16805188253256276
1982,0.009705860340855577
1983,0.07432071844330626
1984,-0.14849399803480778
1985,0.001226532975210165
1986,-0.05110366952092266
1987,-0.014986110015048015
1988,0.0660376881489651
1989,-0.01498484154151207
1990,-0.027659817616920518
1991,-0.18518952929651097
1992,-0.15559700967482654
1993,-0.12620308630347665
1994,-0.01478585810969521
1995,0.0054009039615746934
1996,0.017830985406603717
1997,0.026706731275101953
1998,0.0931027091542792
1999,0.16793430387098887
2000,0.09080693026049819
2001,-0.10474536989130279
2002,-0.16478160125304098
2003,-0.016687053489981674
2004,-0.036766840364330644
2005,0.026977248299545065
2006,-0.16584295195566545
2007,-0.12523050301361638
2008,0.05137255398751195
2009,0.04388643563971972
2010,-0.07662796292266372
2011,-0.2584058743630565
2012,-0.1673684073311914
2013,0.0018937324192751515
2014,-0.10141115572474213
2015,-0.14784562439693794
2016,-0.12883185518573814
2017,-0.06280587323773346
2018,-0.1655985784061229
2019,0.020871241607192337
2020,-0.036275495734447105
2021,-0.12276137913804286
2022,-0.4054676985447663
2023,-0.19925166446227283
2024,-0.1599995887005048
2025,-0.2559674158498555
2026,-0.2311414522704407
2027,-0.13270913057505118
2028,-0.2281711080365596
2029,-0.1607148440222057
2030,-0.12507901164834867
2031,-0.009461496533697433
2032,-0.08481477477376043
2033,0.04684944846357553
2034,-0.10282768047969104
2035,-0.20075762659776353
2036,0.22143376821335137
2037,0.11907466264040156
2038,0.1337689172959604
2039,0.10800856499136602
2040,-0.08224927998409015
2041,0.04468668751032867
2042,0.1177778078031535
2043,-0.030331333560064788
2044,-0.0346782361465765
2045,0.057580794079977515
2046,0.08277434494203639
2047,0.18705889127205788
2048,0.06102540192435901
2049,-0.08294609216256621
2050,0.06637102357061098
2051,0.13938544457109403
2052,0.15633485042071982
2053,0.21960234164329862
2054,0.1290986977907651
2055,0.12874334595052916
2056,0.20135153843802867
2057,0.11711079181429929
2058,0.05812951983550585
2059,0.1940893336738343
2060,0.22752196292575944
2061,0.17932501443119886
2062,0.07866619578139833
2063,0.3471311133643864
2064,0.22570087982415377
2065,0.06931744096232872
2066,0.08351432551731097
2067,0.17842033863809714
2068,0.26742474069825484
2069,0.3031225666502979
2070,0.15803967907813865
