Year,ERF
1850,0.16978615738931532
1851,0.3655323979063804
1852,0.2619250021979969
1853,-0.2006480467022323
1854,-0.6159710779783887
1855,-0.06890283556541235
1856,-0.3039361282668487
1857,-0.08254288160612173
1858,0.3538040454180834
1859,-0.08232022721791682
1860,0.13004521494979068
1861,-0.34345407913159115
1862,-0.261366259570281
1863,-0.24790176211192202
1864,-0.06412737940050384
1865,0.0410684374488181
1866,-0.18693178862574977
1867,-0.33587429478531816
1868,0.13069502578932032
1869,-0.2610799030053656
1870,-0.01915129617154434
1871,0.0015653337128124362
1872,0.0762876977130455
1873,-0.47203979892291037
1874,-0.22753134556681895
1875,-0.2514595310879357
1876,-0.01459593702384901
1877,0.07798124530712494
1878,-0.04528890009438818
1879,-0.49182656840439515
1880,0.236914887463059
1881,-0.22633189755805283
1882,0.016458670251551913
1883,-0.47675094380165794
1884,-1.7939777091685036
1885,-0.8686244455522958
1886,0.133770370923328
1887,0.35757866138258565
1888,0.09197294076521927
1889,0.0833573598944169
1890,-0.5306163154425101
1891,-0.016563809392916296
1892,-0.03948477719452739
1893,-0.03334239776458821
1894,0.35861708295655886
1895,-0.07022671274097328
1896,0.30032285069477
1897,0.15225043220926865
1898,-0.3506778064883647
1899,-0.13850845828529057
1900,0.6300163978837365
1901,-0.7310482456068375
1902,-0.5538009637791577
1903,-0.5409000063475917
1904,-0.5280969401112865
1905,-0.7159132724473838
1906,0.0814036257885625
1907,0.29726625508389526
1908,0.18384533374770312
1909,-0.24388563549751957
1910,-0.04804944541311468
1911,-0.34421702573561097
1912,-0.8591050952439852
1913,-0.510388771250093
1914,-0.0717083420758487
1915,-0.10227812916638362
1916,0.22288173828061142
1917,0.08051289411123398
1918,0.03543421430161709
1919,0.2869106171770564
1920,-0.20948315880038956
1921,0.16358849407696496
1922,-0.008476858805965633
1923,-0.07838509906525747
1924,0.45560219324000606
1925,-0.3235258995867121
1926,0.13670258388963552
1927,0.27555345497155265
1928,0.0032594589689029924
1929,-0.2992241342041632
1930,0.10375936247613478
1931,-0.5627447799480642
1932,-0.12486960717828625
1933,0.8810782785773025
1934,0.15867809226360818
1935,-0.2889813727565932
1936,0.061522904270820904
1937,0.1510860954480938
1938,0.006187153017163299
1939,-0.05489632600663361
1940,0.07832967427555039
1941,-0.2687098597072386
1942,0.14156906299812402
1943,0.07691681603311916
1944,0.042612257579834036
1945,0.045746657423839224
1946,0.20221724260408971
1947,-0.10710969825296465
1948,-0.16069689814971025
1949,0.0160319609035576
1950,-0.11769228256651607
1951,-0.10721898914440967
1952,0.021454298542605096
1953,-0.12578690102661802
1954,-0.4644611881195497
1955,0.14257610726107683
1956,-0.15459329084371426
1957,-0.11953516693259816
1958,-0.009845733146352523
1959,-0.2730689515268415
1960,0.02086974650534694
1961,-0.4005793564921694
1962,-0.12512015964649184
1963,-1.0685377440380806
1964,-0.601754473380644
1965,-0.677422236198022
1966,-0.18691277524413405
1967,0.1399732891573534
1968,0.06693620270307044
1969,-0.14053046759759263
1970,-0.10053591964503389
1971,-0.23735571443973114
1972,-0.4657356721654198
1973,0.2149569573514536
1974,-0.47100557342449406
1975,-0.41890698121872233
1976,-0.2258967748309832
1977,0.16678758990979098
1978,-0.09718374926239884
1979,0.3162491742383109
1980,0.2793284772555725
1981,0.2004152903796959
1982,-0.08604222156113112
1983,-0.5373558463299325
1984,0.004212772231426687
1985,-0.10452861225094892
1986,0.2663476906708109
1987,0.3913307161210561
1988,0.3919538481707256
1989,0.5405765008520712
1990,0.35723602158799506
1991,-0.05628136315809846
1992,-1.1399711458887798
1993,-0.0754845499031444
1994,0.5257065395271368
1995,0.8038803939319085
1996,0.5600991662320558
1997,0.6319587733637826
1998,0.3990757860350286
1999,0.6631938813004081
2000,1.28716295602127
2001,0.929566821620657
2002,0.6883353972722381
2003,1.05998400500524
2004,1.291751201636187
2005,1.0057775458485825
2006,1.0352122174439153
2007,0.6158798602327511
2008,1.0550186660517824
2009,0.4574393815537992
2010,1.910791329700237
2011,1.2486421675886592
2012,1.4395803997822596
2013,0.9580145469811169
2014,1.4751208596514627
2015,1.7020692005932379
2016,1.7923344120560782
2017,1.5250082613492133
2018,1.8222851409835679
2019,1.6166096331408337
2020,1.800129409792123
2021,2.12608602587488
2022,2.002624972906795
2023,2.502523951797526
2024,1.7674506150090246
2025,2.100080239160133
2026,2.3380456002624985
2027,2.218364542038725
2028,2.2971994178211372
2029,1.9171229909046623
2030,2.357808229001333
2031,2.378141714585651
2032,2.9608953486601983
2033,2.2017096514827905
2034,2.554507677750684
2035,3.1592869036070255
2036,2.809313710534534
2037,2.887088245014769
2038,2.87928415658691
2039,2.4225355757458686
2040,3.2421050419716826
2041,2.8676276766003417
2042,2.9939539131103685
2043,3.0141023218948133
2044,3.5556826791533753
2045,3.2016548296865697
2046,3.38297800582037
2047,3.6308204832298285
2048,3.614927670631324
2049,3.6059441343309775
2050,3.6733239506625326
2051,3.602385160727075
2052,3.837422730423004
2053,4.179870960597363
2054,4.308225565965982
2055,4.1558071304768625
2056,4.379943235776409
2057,4.105658037871413
2058,4.248362546106801
2059,4.424542857849422
2060,4.366407537104715
2061,4.642073015739019
2062,4.830203264362393
2063,4.4738865767871125
2064,4.397687676484896
2065,5.337083123791935
2066,5.119169906519254
2067,4.76281243108002
2068,5.256467609415102
2069,5.346790134962412
2070,5.244204927123825
2071,5.0000741128841195
2072,5.441340675908178
2073,5.580921800936487
2074,5.459413026890813
2075,5.042377991879863
2076,5.862952544573583
2077,5.937295250634825
2078,5.809341615116208
2079,6.20027776843758
2080,6.247748593480976
2081,6.151117900419142
2082,6.4313172106012
2083,6.28984543711138
2084,6.479293796943532
2085,6.834735075134473
2086,6.446764346886246
2087,6.77058746875252
2088,6.813379139111971
2089,6.960289184924278
2090,7.190767937004821
2091,7.217878936367676
2092,7.202380027494686
2093,7.410323170775852
2094,7.081199692265324
2095,7.460934112497177
2096,7.805924139130379
2097,7.617779412278631
2098,7.3348118920201
2099,7.862355491145071
2100,7.871164967400241
