Year,ERF
1850,0.292470122789923
1851,-0.024646196341299248
1852,0.27684340362079235
1853,-0.11993647472703858
1854,0.3432905864754043
1855,0.9512987554476576
1856,0.019751646977988285
1857,0.4071652282197106
1858,0.3928664824220506
1859,0.35437230763908534
1860,0.6097104814080435
1861,0.5288721176607307
1862,0.47164353536262854
1863,0.9607049824786039
1864,0.19415251522832694
1865,0.8553242071553899
1866,1.2418534582403309
1867,0.9563603521526213
1868,0.6010750070831317
1869,0.9440548497213863
1870,1.0438183270672026
1871,1.2467088409742926
1872,1.2317143858014035
1873,1.1090265152587946
1874,1.1863481226213728
1875,1.2102404018593336
1876,0.9708364821325046
1877,1.443726415587316
1878,1.3466642665559945
1879,1.2020135923254418
1880,1.629538969633733
1881,1.8166000559435038
1882,1.3219606035127058
1883,1.7290128391081145
1884,1.5821352596843545
1885,1.4142182034779627
1886,1.631354765757756
1887,1.6332535223176325
1888,1.8967809069482797
1889,1.5796765862170157
1890,2.0719560556817265
1891,2.1883249268013647
1892,1.8138142871812388
1893,2.094612259685623
1894,2.289050120656179
1895,2.204010336724873
1896,2.2536471998356413
1897,2.4483896625445203
1898,2.010811538669264
1899,2.5169373566255366
1900,2.2542784201899293
1901,2.2870639020142516
1902,2.388408114144635
1903,2.3755487771034574
1904,2.750305021165075
1905,2.32444637259666
1906,2.648758441486879
1907,2.5759775610317046
1908,3.04992863369959
1909,3.2528284129670872
1910,2.3591109170871976
1911,3.169420099957976
1912,3.1128243000381155
1913,2.8254659491766767
1914,3.384184667238501
1915,3.1322734086593353
1916,3.3268858697408374
1917,3.4793031732625694
1918,3.0387544760212664
1919,3.5043300200336964
1920,3.6117299981349538
1921,3.3405560236705987
1922,3.4750305553995453
1923,3.449883244466304
1924,3.6158800306695458
1925,4.053726636683174
1926,3.414092058261143
1927,4.121211863669953
1928,3.844239736742446
1929,3.933535277724105
1930,3.902569967341971
1931,3.5151306309776964
1932,3.9083444363782522
1933,4.383616478228609
1934,3.991094504098333
1935,4.411564282490508
1936,4.340157728515505
1937,4.41690203803851
1938,4.783897634996109
1939,4.393529256263697
1940,4.1670430925044375
1941,4.4184042106331445
1942,4.734127381007074
1943,4.923151118490592
1944,5.040185784299155
1945,4.87335004047992
1946,4.887242857734769
1947,4.710167417240708
1948,4.767890203416462
1949,4.828841683419926
1950,4.955843074913837
1951,4.533362072196202
1952,5.347741160140019
1953,5.032217247419339
1954,5.127806536459914
1955,5.126902559815793
1956,5.3078107475667125
1957,5.482917415967673
1958,5.114868807766399
1959,5.756187480533342
1960,5.211854564725066
1961,5.565568850767793
1962,5.657833270523877
1963,5.385508221879904
1964,5.83200303735028
1965,6.1611392020189
1966,5.449638619463004
1967,5.935770047850509
1968,5.856038280267191
1969,5.822118402271723
1970,5.824913419280152
1971,6.218662799985902
1972,6.018722213763926
1973,6.24127828494877
1974,6.0853446833894775
1975,6.459657664590043
1976,6.498557003478966
1977,6.509801836955004
1978,6.591063473518439
1979,6.850590908184008
1980,6.561310134936345
1981,6.928088945922925
1982,6.6388728418877765
1983,6.565230594641339
1984,6.898697156557854
1985,7.113847664085975
1986,7.152188455353718
1987,7.443534490300253
1988,6.778964936790734
1989,6.97621076256052
1990,6.9439803191138445
1991,7.289707649472449
1992,7.270634215792872
1993,7.577808790925197
1994,7.370367420132367
1995,7.568221857879631
1996,7.425649860488032
1997,7.540366660805539
1998,7.665804715584059
1999,7.668710106945654
