Year,tas_diff
1850,-0.02470018836974419
1851,0.015526938723065355
1852,0.045624398802903435
1853,-0.08686670602723466
1854,-0.0862342498777383
1855,-0.1156898517552325
1856,-0.0663531288334415
1857,-0.06449493644913187
1858,-0.10420882110841478
1859,-0.14152906694005984
1860,-0.04169458158213459
1861,-0.11324187320658166
1862,-0.09523318801989862
1863,0.037540321588409656
1864,-0.1333452429239401
1865,-0.0621729894439635
1866,-0.007052437797090583
1867,0.1593851519133611
1868,0.14782578945614927
1869,-0.1105694907314991
1870,-0.15826001535310938
1871,-0.10795105077838478
1872,-0.1408661062402051
1873,-0.06942624200245204
1874,-0.1508879518740357
1875,-0.13947954855942293
1876,-0.04229799188631804
1877,-0.06410761542881335
1878,-0.023984701517576132
1879,-0.2527164508989625
1880,-0.15979680072727398
1881,-0.1504971399100652
1882,-0.1006832529365819
1883,-0.3056000355232566
1884,-0.1271782088753955
1885,-0.17087909944422858
1886,-0.15256625137266103
1887,-0.1269436522442002
1888,0.09268848693817043
1889,-0.03622932148281577
1890,-0.3152578515296684
1891,-0.06574015027181954
1892,-0.006618260464967801
1893,-0.08286089114487255
1894,-0.16285525655428743
1895,-0.06774675587089138
1896,-0.12403186930308113
1897,-0.01884658479512638
1898,-0.1033158829366762
1899,-0.13545664395307289
1900,-0.10192416560962152
1901,-0.07934024912701601
1902,-0.19147743955324553
1903,-0.015336999091337983
1904,-0.06533180373475135
1905,-0.037574914195365294
1906,0.060910433880555934
1907,0.012334837417189187
1908,-0.07166062119607548
1909,0.007602137830823225
1910,0.12120895503411068
1911,0.09312781642359204
1912,0.05509344330291355
1913,0.07712792299120037
1914,0.0685346190837425
1915,0.015286053870461516
1916,-0.12037300023707416
1917,0.0845999191277706
1918,0.10084846071473733
1919,-0.028623299781736833
1920,-0.06615553789212997
1921,-0.1309160362227834
1922,-0.289732551963197
1923,-0.23693886206738105
1924,-0.08604271291732607
1925,-0.07482674223778579
1926,-0.05487908900260255
1927,-0.17865722618897506
1928,-0.17120344411067998
1929,-0.16434249324050987
1930,-0.059419713628954124
1931,-0.09585689339914902
1932,-0.051085737989161495
1933,-0.24815014041726755
1934,-0.2389123292297556
1935,-0.25852134885226624
1936,-0.19550146760988263
1937,-0.06133366746555319
1938,-0.08038845412934553
1939,-0.028550399124463555
1940,-0.04878757161964248
1941,-0.15106550978150524
1942,-0.22315916201326347
1943,-0.21930948890643648
1944,-0.15844507861857068
1945,-0.033749686933351786
1946,0.016103540792955784
1947,-0.21034474793290964
1948,-0.19695195389701975
1949,-0.14960902667692166
1950,-0.08809663032811171
1951,-0.07283552785336489
1952,-0.1489029354285919
1953,-0.18233232195351295
1954,-0.0061823547209204355
1955,0.01696079995574129
1956,0.058860287987625215
1957,0.13512161797494482
1958,0.09919414851371416
1959,0.004956502914383987
1960,0.03412556843931075
1961,-0.05767995603452997
1962,-0.11857890897053625
1963,-0.3204490011152443
1964,-0.09223696729965533
1965,-0.10119396848948545
1966,-0.1595005810412043
1967,-0.13131392361294997
1968,-0.2560228673965334
1969,-0.09165266598301769
1970,-0.2185222689478486
1971,-0.17613289954497385
1972,-0.1353191439890838
1973,-0.08404062849515426
1974,-0.024800138572785735
1975,-0.057343056787995506
1976,-0.08910270466479941
1977,-0.09759145961196602
1978,-0.07671711502284245
1979,-0.11408389086531967
1980,-0.09359130003823252
1981,-0.12711821579886984
1982,-0.22278841274924877
1983,-0.1367801123792643
1984,-0.22688443041169667
1985,-0.3555818375428493
1986,-0.33194499054553245
1987,-0.2546450417364242
1988,-0.17223273261327565
1989,-0.16440683833423425
1990,-0.2537295197070156
1991,-0.2552726380751475
1992,-0.31402151804416706
1993,-0.2893882554768492
1994,-0.23717208557606742
1995,-0.28671266887322866
1996,-0.21737209061660134
1997,-0.19491228046741071
1998,-0.1437529042582335
1999,-0.0872521407758865
2000,-0.08022783898562713
2001,-0.1868007238443411
2002,-0.0941270755544561
2003,-0.05072679606467023
2004,-0.05579080597005803
2005,-0.022300455725095647
2006,-0.06375427393678246
2007,0.017137500262897953
2008,-0.0061318136284289615
2009,-0.05507067028289192
2010,-0.055063183396106385
2011,0.09241277939596682
2012,-0.06830993016197118
2013,-0.12122367782002541
2014,0.019448780370564966
