Year	tas_diff
0	-0.12874251585305688
1	-0.1078598994897381
2	-0.09150379532001753
3	-0.12603504348887426
4	-0.0823009397303585
5	-0.14611131794214316
6	-0.12798218678436848
7	-0.11368326589516337
8	-0.1250723800902739
9	-0.15869040066232976
10	-0.15684151498567106
11	-0.21628396904317881
12	-0.18924902109011338
13	-0.05315394561167594
14	-0.08224570102372895
15	-0.18634635324125898
16	-0.16552899045481445
17	-0.1581039634575849
18	-0.08943767107698855
19	-0.15854845683579644
20	-0.1340579450204814
21	0.0001694903211187787
22	-0.13192887711883003
23	-0.1378801743377368
24	-0.0006227060090988265
25	-0.11432240928323256
26	-0.06535596599021697
27	-0.2507030514905334
28	-0.19008320781968358
29	0.012553585889474236
30	-0.11424066346695029
31	-0.06328550051521743
32	-0.13134484548007008
33	-0.30489886743267003
34	-0.1497161132198379
35	-0.09966695111757612
36	-0.14218839797167
37	0.0480095248392948
38	-0.00456057390745198
39	-0.14274692526011096
40	-0.056933125479535926
41	-0.04483642651757766
42	-0.15798432604270848
43	-0.20727091892568061
44	-0.030162550818152153
45	-0.008364297347819419
46	-0.0010558399482270275
47	-0.034558045934514114
48	-0.04676566920572103
49	-0.07276772373932798
50	-0.041363696061416655
51	-0.14519618532814293
52	-0.23927828355749833
53	-0.20946094583475927
54	0.004932508429608056
55	-0.18161137064154015
56	-0.21084983874617835
57	-0.28645811471223004
58	-0.3060721855248761
59	-0.20613983706361635
60	-0.3072294621505286
61	-0.3012147608179156
62	-0.32178793699887603
63	-0.2946634305136492
64	-0.30679181053146976
65	-0.3632437426619388
66	-0.16350000917238341
67	-0.2866776733343896
68	-0.25501753814994854
69	-0.326168724628843
70	-0.38589382504710634
71	-0.3752291244423595
72	-0.35230080224423993
73	-0.3203951669269263
74	-0.2653276297851715
75	-0.2897056291073564
76	-0.23369245777491926
77	-0.20060731423498854
78	-0.28969872408100455
79	-0.4784023873721181
80	-0.4072124735177472
81	-0.2608954203556547
82	-0.29440895069830564
83	-0.19404518602352333
84	-0.19957928365553526
85	-0.27059739477092515
86	-0.18169077526818495
87	-0.19179405011732273
88	-0.11725888469421075
89	-0.12111223192817924
90	-0.1516263813825585
91	-0.1982509812685426
92	-0.32112838363486884
93	-0.03953646371814645
94	-0.03280174466129865
95	-0.09103435202843585
96	-0.187488388677813
97	-0.20309939193039475
98	-0.2699320248094701
99	-0.171407943629048
100	-0.2097935515452265
101	-0.20416772538809183
102	-0.16570441418618592
103	-0.005781303687829309
104	-0.08866779818792825
105	-0.22208431682621516
106	-0.23717754337060454
107	-0.18163327471671226
108	-0.2216749139034288
109	-0.21407647901063587
110	0.02277551873302447
111	-0.06979116731083468
112	-0.14484304842772544
113	-0.32718175714057507
114	-0.2882468586717498
115	-0.22898882484906588
116	-0.24323457513036117
117	-0.14783590313091177
118	-0.12453550960382354
119	-0.061483610921034715
120	-0.1003572357065213
121	-0.10813400889422006
122	-0.19266492154032638
123	-0.18419849636014501
124	-0.0629828500583624
125	-0.09020423297377483
126	-0.058237161909586665
127	-0.14174134174178865
128	-0.191823282882865
129	-0.16416043632849903
130	-0.2032807908294476
131	-0.010901895350757529
132	-0.18337370716847906
133	-0.1809255324368136
134	-0.20542965584358358
135	-0.08798898108941
136	-0.12103166799223453
137	-0.040787830621502374
138	-0.04478048101319937
139	-0.14070475698655027
140	-0.10297339389905813
141	-0.4301190105977375
142	-0.46121964770774126
143	-0.3075886923834226
144	-0.23650376797882688
145	-0.27336356790824357
146	-0.2365893599410236
147	-0.28505105569355604
148	-0.2815933974660968
149	-0.2543635275860485
150	-0.2662878705612247
151	-0.2027003929309521
152	-0.29595587431214543
153	-0.3039577405183732
154	-0.3114363454441086
155	-0.2903513188200334
156	-0.2561036733355174
157	-0.31702883821037464
158	-0.18544861653490896
159	-0.24522952181845625
160	-0.15044804832029768
161	-0.04467948960377999
162	-0.08766926779668405
163	-0.10722381396321401
164	-0.06344726584644234
165	-0.10263445667147597
166	-0.12465397667523992
167	-0.12226902783548299
168	-0.10704644064830815
169	-0.12141506772135768
170	-0.27098683701583237
171	-0.3172046484317561
172	-0.179183366398612
173	-0.04188648171476528
174	-0.20666693671725578
175	-0.11009557497404443
176	-0.0910234574140214
177	-0.2544798718367143
178	-0.24126894078084238
179	-0.30508829756798383
180	-0.25288397197912604
181	-0.31718063917128436
182	-0.18757969462088764
183	-0.2559045616679487
184	-0.3138529281656881
185	-0.3115762170009737
186	-0.2726421530734455
187	-0.2372703665635183
188	-0.22032979579764667
189	-0.2975318175871302
190	-0.28929200668772115
191	-0.1743848905395302
192	-0.11292158339805236
193	-0.2198709943180701
194	-0.17918954761696915
195	-0.20454079957737226
196	-0.19298884706339914
197	-0.1500906461687841
198	-0.2304790772725014
199	-0.1691506364668489
200	-0.20541470281354912
201	-0.33677958326550805
202	-0.23005258035586795
203	-0.0767975467767299
204	0.03933262211095845
205	-0.1269416857128427
206	-0.15099858159494506
207	-0.1610976082104829
208	-0.046505713836842544
209	-0.20089972659456978
210	-0.07616790775993532
211	-0.21652709298439343
212	-0.29857176875020186
213	-0.3831243250681915
214	-0.29523796425706483
215	-0.13679042230742433
216	-0.19358438811011314
217	-0.2433985951385984
218	-0.19896467141954965
219	-0.13942446224683125
220	-0.07697203869891323
221	-0.07484549875575164
222	-0.15131498024695422
223	-0.11399887237352657
224	-0.09628432290734512
225	-0.08970633129905403
226	-0.21051964628360054
227	-0.061883166241830434
228	-0.02867552331763501
229	-0.09012279007389412
230	-0.17116937978712454
231	-0.16993339589299716
232	-0.21604220767875715
233	-0.08912137533449171
234	-0.13501137775116656
235	-0.25528793684710904
236	-0.24995550893858387
237	-0.21361123480827482
238	-0.12373685421405067
239	-0.2552864206622911
240	-0.22897405733531717
241	-0.16378275997942748
242	-0.12595911561489448
243	-0.025664147617842747
244	-0.1557486089586848
245	-0.10408885313663685
246	-0.0415415982698597
247	-0.10140346826675328
248	-0.12791833762195504
249	-0.1374833400439106
250	-0.0701636904492744
