Year,ERF
1850,0.32562932016696583
1851,0.43275164740326566
1852,-0.06758088731102553
1853,0.24880471417232453
1854,-0.04624757009381826
1855,0.8482686995297661
1856,0.4930228544838665
1857,-0.30488713424321906
1858,0.24098919210141212
1859,-0.05031540688253704
1860,0.175153713737721
1861,0.04107814584254678
1862,-0.009865811200063995
1863,0.16905671666861877
1864,0.5019894825452
1865,0.6785123273674298
1866,-0.3702838562838515
1867,0.14319651322507024
1868,0.12344124514476643
1869,0.22101829258839512
1870,0.34716925753508443
1871,-0.29568408975739147
1872,-0.35147663024717773
1873,0.44550435602282834
1874,0.2165244248119409
1875,-0.24105920240578
1876,-0.3967613437414512
1877,0.38895401799684026
1878,0.008151805420975294
1879,-0.5230842217695271
1880,0.4453057477889285
1881,-0.07531708942368842
1882,0.023877614314322365
1883,-0.5636414727685737
1884,-1.5698251565755421
1885,-0.5545018451080197
1886,-0.3467084481842511
1887,0.2978651698047521
1888,-0.07914916960277232
1889,0.18162972667922034
1890,-0.19385755721510128
1891,-0.1488577966078615
1892,0.13348985326100687
1893,0.13699401678994075
1894,0.33743760403723727
1895,0.261910395772277
1896,-0.2591337344814455
1897,-0.12960069516387412
1898,0.4864768198526796
1899,0.26053128414440446
1900,0.10296970960868061
1901,-0.26123778839266193
1902,-0.15876027989310879
1903,-0.9586458893878531
1904,0.16304516841468195
1905,0.027508550224095735
1906,-0.27842704315019096
1907,-0.5266287537445767
1908,0.20719726299616276
1909,0.1033815197425938
1910,0.702858374817879
1911,-0.6036759771972446
1912,-0.24058000578733915
1913,0.2480969947069021
1914,-0.5610753396209882
1915,0.028205966562856316
1916,0.7549013664182962
1917,0.050024648361255225
1918,0.06564245967993053
1919,0.2236733703950519
1920,0.09984547967859086
1921,0.5596393266355931
1922,0.18126727097151094
1923,-0.3063876847897455
1924,0.36005772645052
1925,0.1867007532034466
1926,-0.13389256727312626
1927,-0.018193130854019364
1928,0.6295015790399628
1929,-0.10474194023942121
1930,-0.04813471304441993
1931,0.5591229748950435
1932,-0.062022152952297294
1933,-0.3525650264498801
1934,0.3576591242102316
1935,0.2691343022290174
1936,0.19272200948892818
1937,-0.5244024380969926
1938,0.5548101728593896
1939,0.19000319655059061
1940,0.32105653260011774
1941,-0.35379025172809814
1942,0.0942798960401907
1943,0.6091396512526089
1944,-0.048265601503352185
1945,0.14543138961444552
1946,0.12442479444680013
1947,-0.16083298876285795
1948,0.7140071290787184
1949,-0.03328591005974299
1950,0.31201391524925204
1951,0.30888619551470736
1952,0.27145272047635116
1953,-0.21566490350581718
1954,0.07066164618757272
1955,0.3885984031533276
1956,-0.23315479098052538
1957,0.12179251771270415
1958,0.3490310913031477
1959,-0.5536839133032218
1960,0.8306280520082139
1961,-0.03151063478505295
1962,-0.06743348695064105
1963,-0.5457352005199632
1964,-0.3419410791960137
1965,-0.5693362494928824
1966,0.22423571845485474
1967,0.3755131733196981
1968,0.3105664567745299
1969,-0.27026948142167045
1970,0.15832603173198992
1971,0.02487364186928802
1972,-0.08331766149282503
1973,0.29597336453750633
1974,0.41191522459768315
1975,-0.7154987730362316
1976,-0.14842121366203684
1977,-0.12241476353058336
1978,0.40752507548759265
1979,0.3335248844756882
1980,-0.02142106679244775
1981,0.0752428964426535
1982,-0.44503603057754504
1983,0.08360677106060922
1984,-0.21507535403868494
1985,0.2720380197030068
1986,0.35754055072250324
1987,-0.2449615087040049
1988,0.043357282359522936
1989,0.7056106684293493
1990,-0.02375244061764492
1991,-0.21981327760379654
1992,-1.0699853313297876
1993,-0.5082069316534543
1994,-0.7028034410717084
1995,-0.01601855921907383
1996,0.1347032633542435
1997,-0.013938178021839498
1998,0.4859732919019511
1999,0.29323569964658397
2000,0.566274247299651
2001,-0.41373602698772083
2002,0.07873208133570947
2003,0.4946020030063293
2004,-0.11722238200047522
2005,0.19155942286336508
2006,0.06461178617506744
2007,-0.19374948230876166
2008,0.360467501801309
2009,-0.10394783492076748
2010,-0.23317600216449252
2011,0.3695687273970522
2012,0.000532985105616765
2013,0.44835472117587943
2014,0.16956115872453628
2015,0.49160633441008006
2016,-0.24072227457253084
2017,0.35457402729117843
2018,-0.05997400379032962
2019,-0.17780991312338376
2020,0.04620211620132084
