Year,ERF
1850,-0.6377887112435566
1851,0.06497516048851387
1852,-1.0971205008159277
1853,-0.10200945616345256
1854,0.13325752302865473
1855,-0.7146198836807984
1856,-2.291324904375063
1857,-1.519865293296392
1858,-0.6992924530870639
1859,-0.5005578028084026
1860,-0.1657597138506933
1861,-0.3663327208967741
1862,-1.1408899053794819
1863,-0.7613333148905101
1864,0.3136368106995205
1865,-1.1266751696070845
1866,-0.04149757170841811
1867,0.6568719303322684
1868,-0.18394215698760394
1869,-0.03961829850771065
1870,0.920472199064114
1871,-0.9183990236954227
1872,0.08271778473378137
1873,0.3539348571905009
1874,-0.5733203484666913
1875,0.5697295743482951
1876,-0.9443405072754006
1877,0.09684379247807537
1878,0.6857219726344349
1879,-0.8012608578079831
1880,-0.36607501375117274
1881,0.2532774186329446
1882,0.6883847032666384
1883,-1.364216153440374
1884,-3.8927210423625067
1885,-0.7050336481754498
1886,-0.45568657532893364
1887,-1.0808884804952335
1888,0.044048867950982895
1889,-0.7894314901133382
1890,-0.2550903592048176
1891,-0.47459384817297834
1892,-0.6055960865718976
1893,-0.3360835265036992
1894,0.9117490013019605
1895,0.19851109078423254
1896,0.21839201434976982
1897,-0.39588962351596413
1898,0.7344872383598016
1899,-0.19663674060908215
1900,-0.004574374098512371
1901,-0.1836905222010663
1902,-0.6379963864725631
1903,-0.8635495233061878
1904,0.40572776120401755
1905,0.19922092381319906
1906,0.37550514549407493
1907,0.19219102535822896
1908,0.9925693515742328
1909,0.3816040152971472
1910,-0.45277646559406604
1911,0.8060583759638369
1912,0.24719724737672238
1913,-0.46107214089411486
1914,-0.04565235792205988
1915,0.7864445171706488
1916,0.18657846194808708
1917,0.7919903829885802
1918,0.5292164451235649
1919,0.7204001551460659
1920,0.0747245315931695
1921,-0.25931339804995646
1922,1.4220339001866127
1923,0.8690817564261983
1924,0.3448535434173844
1925,0.5996457417740474
1926,0.33592612843847164
1927,-0.036742074551085996
1928,0.19296927823811527
1929,0.6015645470441284
1930,0.3117419005518631
1931,0.3169716572756723
1932,0.49575184912409476
1933,-0.09064354755507453
1934,0.005746100811783131
1935,1.3602175867107849
1936,0.5994246010789874
1937,0.6916873560032153
1938,0.5163797688361886
1939,0.45866001979842935
1940,0.5248108237898459
1941,0.3363650120434817
1942,1.0179856153553923
1943,0.3497800394712418
1944,0.5999484535191383
1945,0.8293676992497256
1946,0.3706308788902406
1947,1.037827826617851
1948,0.5592680814970084
1949,-0.14098939981086678
1950,0.4786335721625256
1951,-0.19756979746218947
1952,1.0553967181743291
1953,0.8504750313325458
1954,0.9763442086085757
1955,0.10016145909883628
1956,0.6988913251360349
1957,1.5752944359553396
1958,0.4771032844758629
1959,0.4147878162557548
1960,0.9258639970244656
1961,-0.584104844225231
1962,0.7882682378539869
1963,0.6091153863214472
1964,-1.9713817971701229
1965,0.193578296313753
1966,1.277670507698312
1967,0.8072979025928307
1968,-0.1143666257050433
1969,0.7940295205917339
1970,1.5466663021022597
1971,1.1056512038073198
1972,1.3229186688243497
1973,0.848817690414765
1974,1.2739918489728235
1975,0.3873291795448066
1976,0.4114745361038068
1977,0.5612621972434206
1978,1.6919947862486802
1979,1.0624598436276558
1980,1.4653520390918373
1981,2.0981847134617406
1982,0.5646283319185976
1983,-0.4281938313002776
1984,0.6850963359133495
1985,1.6428573641980646
1986,1.333692937446909
1987,2.1424764723953627
1988,1.7065933234333133
1989,1.8792956887526928
1990,2.013535304328628
1991,-0.05338075275436405
1992,-0.8535527732917093
1993,0.9850885285408444
1994,0.8308667736873074
1995,2.141114123638533
1996,1.6766362869533156
1997,2.0932442468172825
1998,2.7477336172544513
1999,1.6515055327775738
2000,2.7064718519397064
2001,1.8486100969785595
2002,2.2910959798313453
2003,2.8651286044687723
2004,2.5184405408528328
2005,2.375666170405057
2006,2.041247524424417
2007,2.406968300746449
2008,2.7246414270806367
2009,1.4828713425159687
2010,2.6035141348790276
2011,2.5234968729874936
2012,2.24718767566939
2013,2.941493255802842
2014,2.315117951356147
2015,1.855185371830064
2016,2.4522607697022534
2017,1.9508303606978536
2018,2.948702844891227
2019,2.0390816801146805
2020,3.6241861584203656
2021,2.5360089797685896
2022,2.094946256941882
2023,3.5347790293393637
2024,2.223984590850459
2025,3.20314010488445
2026,3.287851440677985
2027,2.6925095667869927
2028,2.922734766120252
2029,3.30334795812131
2030,3.3472659507992715
2031,2.8010082680006594
2032,3.0624329755903554
2033,3.8963740559184608
2034,3.2857136098220168
2035,3.4712873390286383
2036,2.5989617998978387
2037,3.2517694319636097
2038,2.96430671050073
2039,3.2311842391398624
2040,3.4494616821239266
2041,3.011470893954293
2042,2.856975117594522
2043,3.699348252178437
2044,2.741258264662159
2045,3.6938637834278003
2046,3.612591010507338
2047,3.4649641244211744
2048,3.669520444041508
2049,3.811600167003531
2050,3.7690958837702477
2051,3.870805977428515
2052,3.407093780779463
2053,3.2888726298621114
2054,3.675052914974231
2055,3.3542684104878893
2056,3.934235527095687
2057,3.3820446056815516
2058,3.7407164366306884
2059,4.457789372378312
2060,3.6110160958117135
2061,3.014529271000174
2062,4.001595213463044
2063,3.7415236275416603
2064,3.980315862614005
2065,3.3612940497363506
2066,4.308524584711946
2067,3.692731429297619
2068,4.228719491531104
2069,3.542059743995667
2070,4.11254908638459
2071,3.3301415455140235
2072,4.011868508980301
2073,4.127447079591452
2074,3.0061519708894204
2075,3.9173028997252093
2076,4.214334639055039
2077,4.391978199194774
2078,3.5726198453548
2079,3.940791975178322
2080,3.8514529273663607
2081,4.1401410472708715
2082,4.191563463048272
2083,3.4145833546126285
2084,4.378792649955484
2085,3.957519088542317
2086,3.7299923437416638
2087,4.547034446886965
2088,4.491830272876166
2089,3.5748408555520075
2090,3.753918502953466
2091,4.773501990588578
2092,3.7104741009066924
2093,4.338439272804968
2094,3.675120965865551
2095,3.9769693858634074
2096,3.863447141162429
2097,4.288151940887268
2098,3.4154116698762986
2099,3.8957183670295614
2100,4.434241016416099
