Year,ERF
1850,0.4188122101345668
1851,0.08847791502751812
1852,-0.6017183840250839
1853,-0.18914691669181813
1854,0.14899172537417588
1855,0.15577337561417615
1856,0.5661921160260861
1857,-0.2692057633984047
1858,-0.17495800524077715
1859,-0.03145178330008985
1860,0.06662589479791539
1861,-0.4386272462876754
1862,-0.12526373302609695
1863,-0.006361334231609339
1864,0.14895360643437622
1865,0.21503958722863156
1866,-0.0571955906853048
1867,0.21553537787655044
1868,0.2644075733422371
1869,0.32023560964587305
1870,0.14237458050545537
1871,0.208067438626596
1872,0.2287534536554321
1873,0.08991014219951902
1874,0.2532161337609669
1875,0.35342163245519176
1876,0.3754583447028781
1877,0.42186347107634653
1878,0.12968547131632768
1879,-0.04871429713382666
1880,0.24430767227349265
1881,0.4518138804913233
1882,0.4737679141592365
1883,-0.9625673648622948
1884,-2.1041064069204936
1885,-0.3998732820314681
1886,0.23074792070798467
1887,0.1659087543043953
1888,-0.10713263423034788
1889,0.1526754352228854
1890,0.4059441016328714
1891,0.07892406381099028
1892,0.20338269204565743
1893,0.049013334771432826
1894,0.46826168178804944
1895,0.5357068957437567
1896,0.13417878570717864
1897,0.31203643593439057
1898,0.4195201837865121
1899,0.4632922044658765
1900,0.28186687915745257
1901,0.04377834603880476
1902,-0.03529150554585121
1903,-0.5256411095786355
1904,-0.042904379377586316
1905,0.32640841146116195
1906,0.3248102092075694
1907,0.03459991353477618
1908,0.07205208972049307
1909,0.7784917642865976
1910,0.17739613796475084
1911,-0.307209608332282
1912,-0.3420720610591141
1913,-0.32576622844900954
1914,0.620717175960517
1915,0.29412114561154423
1916,0.7238667928982172
1917,0.3536432802479588
1918,0.2904407103762098
1919,0.5143130641320911
1920,0.51287315731244
1921,0.3389125867673545
1922,0.08999262409227171
1923,0.38099957568813153
1924,0.9087194628645724
1925,0.3690623424767454
1926,0.580883345590409
1927,0.37861333830811406
1928,0.5505489618428561
1929,0.2201182422494683
1930,0.4525781529067371
1931,0.6564249133036353
1932,0.4916704751823211
1933,0.2533891724506965
1934,0.4595673384369772
1935,0.464495922506019
1936,0.7518775814016034
1937,0.47236575249493484
1938,0.9335445157999693
1939,0.5066911861393271
1940,0.5551151067422331
1941,0.3978485249086494
1942,0.2317874694327311
1943,0.6788710863268523
1944,0.5262022437057619
1945,0.16811215981744504
1946,0.47261937751299515
1947,0.8657090350861506
1948,0.8633658226408136
1949,0.762151641951632
1950,0.22767689588206652
1951,0.4028552026148353
1952,0.6158957850786044
1953,0.5384922574396522
1954,0.7749467395524522
1955,0.37665822897954615
1956,0.5952010513156208
1957,0.7222688717970918
1958,0.9299130674982063
1959,0.786472273207619
1960,0.6604222862753116
1961,0.2898525340008341
1962,0.42837826491313713
1963,-0.5545435568172081
1964,-0.08810656733512387
1965,0.3546729916340896
1966,0.8053477874454368
1967,0.22292190589532263
1968,0.2263468730707866
1969,0.5371556656046961
1970,0.9061292984823944
1971,0.6503194416984204
1972,0.15207646754086368
1973,0.10577595363563923
1974,0.4508689081431863
1975,0.413205535903479
1976,0.597466062922912
1977,0.5052846005959452
1978,0.42859036326937583
1979,0.7465031628935389
1980,0.6534168498623127
1981,0.8999349902783538
1982,0.6242083595980852
1983,0.38656915579033685
1984,0.10712029019767838
1985,0.9458402848677865
1986,0.9763290123593883
1987,1.459472717136409
1988,0.7836070815970442
1989,0.7953328700660438
1990,1.3126429081029802
1991,0.4979085917342686
1992,-0.4546491483672217
1993,0.14034750165041632
1994,0.5774821634713138
1995,1.3479194450536187
1996,1.7201839878399712
1997,1.391316589018871
1998,1.116654607350017
1999,1.7565521136533135
2000,1.945033901043037
2001,2.2280664851035925
2002,2.2018433861466815
2003,1.632397924358794
2004,1.7923869452713244
2005,1.8488935133741824
2006,1.8009652898903488
2007,1.9614241329065116
2008,1.7441579709610626
2009,1.5082002276083775
2010,1.8829294656735973
2011,2.1284367436810987
2012,2.348200391447495
2013,1.5974106378352972
2014,2.369748170044418
2015,2.169552569327551
2016,2.679106940154429
2017,1.9935581428419193
2018,2.1443556856021924
2019,2.6116082774809612
2020,2.8203501600233567
2021,2.546123648772451
2022,2.672038552492346
2023,2.7291122362925573
2024,2.932179451119074
2025,3.3899959639854416
2026,2.4549308097004245
2027,2.799633375603606
2028,3.1204731988531766
2029,3.325974431321478
2030,3.1784652356869314
2031,3.258517877976935
2032,3.087495259518949
2033,3.155156867346936
2034,3.5352920783471298
2035,3.736067420376491
2036,3.59708656069625
2037,3.195325503379263
2038,3.3695809408106716
2039,3.7210699811633163
2040,4.257252804826583
2041,3.4429135079034787
2042,3.431484910999717
2043,3.8760716987728165
2044,4.110978699362539
2045,4.438514864668329
2046,3.623466890193252
2047,3.873482683660385
2048,3.93504873885549
2049,4.6247113406421
2050,4.378339142934409
2051,3.8660612487341357
2052,4.14313991565451
2053,4.591616351754132
2054,4.545768058641995
2055,4.102162613068883
2056,4.09023952560123
2057,4.969807131469514
2058,4.61912713269756
2059,4.227486520016141
2060,4.591191347464215
2061,4.372146068331194
2062,4.797822106312435
2063,5.428888740629997
2064,4.162232555998176
2065,4.414806149626962
2066,4.833615690012945
2067,5.300761364257649
2068,4.422186238149356
2069,4.509362151469757
2070,4.931623878647333
2071,5.742826671606127
2072,4.6721337235653495
2073,4.499073632879135
2074,4.910966395009654
2075,5.329876427952876
2076,4.984469530277955
2077,4.640767336090923
2078,4.8218137874594715
2079,5.148007441346802
2080,5.536662899570383
2081,5.293436574779878
2082,5.207332021608032
2083,5.327222025730062
2084,5.004859771093773
2085,5.1147421075604305
2086,5.461294576464901
2087,5.688936808625341
2088,5.061564610487771
2089,5.487813817958615
2090,5.433812511434214
2091,5.5693482322401975
2092,5.431929876706469
2093,5.307124498199466
2094,5.3268869902913805
2095,4.9405752625421675
2096,5.646849162860563
2097,5.679166924627099
2098,5.687491924014372
2099,5.052374173176341
2100,5.36318641569507
