Year,ERF
1850,0.3755024296020765
1851,0.041527209001597926
1852,0.3445243653786212
1853,0.20614063370979036
1854,-0.20172765372215545
1855,-0.015452005565135013
1856,0.03725527536711244
1857,-0.12587897977843232
1858,0.1086418618568253
1859,-0.15275412183272583
1860,0.15869903009801806
1861,-0.479569578197398
1862,-0.32477837302416396
1863,0.3824745461931697
1864,-0.10740194153807614
1865,0.11832073512477909
1866,0.24973789011356767
1867,-0.12607195807573648
1868,0.16496531825553234
1869,0.37980096857502693
1870,0.11037397703422705
1871,0.5258121913546334
1872,0.2258879242819404
1873,0.33352781224914535
1874,0.12237381355297788
1875,0.020816339638665582
1876,-0.30490445031394103
1877,-0.0310873722349327
1878,0.40820640848600603
1879,0.3239107474915814
1880,-0.1244699605721152
1881,-0.11915128027299456
1882,0.18197562092015224
1883,-0.7276941611827059
1884,-1.535586802739173
1885,-0.3689873440482225
1886,0.4287244678881376
1887,-0.035053467376283454
1888,-0.2198257120316707
1889,-0.023834741948762228
1890,0.09076184197015087
1891,-0.31668234634702197
1892,0.5019576398842264
1893,-0.030945100440186613
1894,0.12638487118601172
1895,0.02484972149361843
1896,0.17284562322599203
1897,-0.0828166893287912
1898,0.3140489220151284
1899,0.252466611971756
1900,-0.06461017961799649
1901,0.30606800420606195
1902,0.09539159646430087
1903,-0.6713312589592423
1904,-0.3669341478257209
1905,-0.04135869615236776
1906,0.46751124127450305
1907,-0.0679526345242463
1908,0.07050516844797444
1909,0.03143507174421245
1910,0.3797461311249847
1911,0.34486682353251286
1912,-0.9842109121287139
1913,-0.11741583292197477
1914,0.17341140149806905
1915,0.319616291488
1916,-0.4803551747282737
1917,-0.055214485119183504
1918,0.7370449379347982
1919,0.48199056057591305
1920,0.09364352616500576
1921,0.09008152336702391
1922,-0.5355991970555894
1923,0.05505240723832597
1924,-0.3762989199322093
1925,0.18246104907107308
1926,0.09579391880575483
1927,-0.2577680798698088
1928,-0.22039690887967087
1929,0.015440611626475587
1930,0.5574017752204325
1931,0.3171045946801938
1932,0.15097240912756443
1933,-0.1143869178035372
1934,0.07994713308590098
1935,0.130492429858055
1936,0.36517983421978817
1937,0.08873592315073742
1938,-0.2879400922842056
1939,-0.03560360751619891
1940,0.5052849497617311
1941,0.22693007949726418
1942,0.36356711868363906
1943,0.4380997593736056
1944,0.15694634373250166
1945,0.3890217050842285
1946,0.5935421821598488
1947,0.03900706847493296
1948,-0.13125209499422386
1949,-0.0075842048661697165
1950,0.4607495344763866
1951,-0.26194273357771347
1952,-0.1252033357376548
1953,-0.04795520139115261
1954,0.12382318174280836
1955,0.4294692739355613
1956,0.3768165972239257
1957,0.7026097448134295
1958,0.08722711064020139
1959,-0.16215850480329802
1960,0.14831651280555758
1961,0.09748425235936145
1962,0.30429630247627887
1963,-1.1526616880329241
1964,-0.8157171762099024
1965,0.028698066019620244
1966,0.37634330303711755
1967,0.26169824179993
1968,0.09849892407137067
1969,0.23619258716470926
1970,0.15388100373662295
1971,0.25934742559612384
1972,-0.11518943925403655
1973,-0.3313576166948038
1974,-0.11209898349740298
1975,0.18968673050923254
1976,-0.05267599266010739
1977,0.10039321398891235
1978,0.1750822768770274
1979,0.12791890518419718
1980,0.4131321672255295
1981,-0.1983469653970994
1982,0.038881012388050584
1983,-0.2974980613676753
1984,-0.5519326722291664
1985,-0.2580543821903337
1986,0.49606438780664697
1987,0.43490884274699537
1988,-0.2725294944529301
1989,0.004749543884724844
1990,0.25320897240476076
1991,-0.9682495681311112
1992,-1.8151021984715112
1993,-0.8457317307957453
1994,-0.0241305454637723
1995,0.1945536747919605
1996,0.18347023990718847
1997,0.24147365713100655
1998,0.3206706152542431
1999,-0.23895415227406577
2000,0.35006236459174145
2001,0.30702257358013574
2002,0.16096501712205366
2003,0.3373800845067195
2004,0.6125027007949084
2005,-0.11721966513290714
2006,0.39438123351851123
2007,0.052568023009086126
2008,0.05778556481747524
2009,-0.05103079359639223
2010,0.060834166999075984
2011,0.020519493239161413
2012,0.4752765614398523
2013,0.32877732725931197
2014,-0.287412100819561
2015,-0.09541246833887934
2016,0.3160479667949331
2017,0.06425461079673106
2018,-0.14952875246051286
2019,-0.30293326156314127
2020,-0.19184191368631623
