Year,ERF
1850,0.07206625247708176
1851,-0.5508727281896217
1852,-0.0193877847646865
1853,0.012986282989144338
1854,-0.167023280044458
1855,0.2310663153137632
1856,0.40351897986305274
1857,-0.08859141388044045
1858,0.20493537093276096
1859,0.00746203688086091
1860,-0.029137487024063824
1861,-0.6402170386779314
1862,-0.3614303564954767
1863,-0.07839976453948153
1864,-0.0020144929301706416
1865,0.11171533255349025
1866,-0.2377186038309995
1867,0.08505557729880786
1868,0.4369276509342731
1869,-0.10195976153499892
1870,0.008238154635091047
1871,0.14938798515559273
1872,0.11909079835393056
1873,-0.13548384882928977
1874,-0.3410839428246253
1875,-0.10345159118276243
1876,0.2627836699675224
1877,0.266488615201802
1878,0.18524407740239776
1879,-0.35911189211519906
1880,0.04688859586658736
1881,-0.11517584413817611
1882,0.2192434992337091
1883,-0.6917066629429207
1884,-2.0441206650689465
1885,-0.8279631888962093
1886,-0.5318053900755831
1887,0.18317194276584947
1888,-0.0024482357049934803
1889,-0.1942752156445774
1890,0.11570805526148079
1891,-0.07965240649258559
1892,-0.33123278226005076
1893,-0.3398956717372671
1894,0.3111184389705923
1895,0.25838732639986717
1896,-0.17214769124774337
1897,0.13716196450209375
1898,0.12136655174400784
1899,-0.3740481737260363
1900,0.34476445662886085
1901,0.5349729039986166
1902,0.1962596040685995
1903,-0.9250995409061165
1904,-0.25979099313985443
1905,0.2897395339985404
1906,0.44797838354633535
1907,0.19914730590284127
1908,-0.3747518700313002
1909,0.3779623825911621
1910,-0.1859588996485762
1911,0.17735252083931183
1912,-0.48683620382888165
1913,-0.36006355027385245
1914,0.5425458443446854
1915,0.5017805916348841
1916,0.1341605438284263
1917,-0.05276305625769072
1918,0.008621191555569199
1919,0.10901397262955631
1920,0.7113669506665514
1921,0.3423394792216341
1922,0.3876202442918917
1923,-0.2204193957292354
1924,0.5364604407669813
1925,0.4623754358641133
1926,0.30288543081552544
1927,0.34461924098683694
1928,0.45257158560028055
1929,0.6048480874019929
1930,0.2988219141663844
1931,0.329956157254261
1932,0.4565072548930824
1933,-0.10320535484870696
1934,-0.0576423937764827
1935,0.4165395222583328
1936,0.8735982911726752
1937,0.5994616175600147
1938,0.3981040738745284
1939,-0.2718908907096452
1940,0.383448287564231
1941,0.9285084421361467
1942,0.4420015182041376
1943,0.6524811164991322
1944,0.34021280662851466
1945,0.6869713393382033
1946,0.4439663846703539
1947,0.6460344750354705
1948,0.48040532182308643
1949,0.7459421419242336
1950,0.8589885658565997
1951,0.5421398244764088
1952,0.5778181346654774
1953,0.9237831920277446
1954,0.4811525433868424
1955,0.6499172565856851
1956,0.351761479343074
1957,0.3716866194972227
1958,0.9150824691730299
1959,0.6102548344129487
1960,0.6720715981594134
1961,0.9355074474195919
1962,-0.5487094244962126
1963,-1.0859376653541293
1964,0.24570056403492935
1965,0.4828022238103725
1966,1.1399375160733125
1967,0.793313110779262
1968,0.76266730594049
1969,0.7860501035081053
1970,0.8705039364107741
1971,0.6865254731332308
