Year,ERF
1850,-0.5096338462440282
1851,0.29794068513162253
1852,-0.1954133778160122
1853,0.90790830696759
1854,0.6962195223980405
1855,0.1797813869892836
1856,-0.4261704838467002
1857,-0.5015985345156337
1858,0.5566918806218445
1859,-0.2007060581866652
1860,0.24915212026231917
1861,0.5403192182095904
1862,-0.37980190162281025
1863,0.46178259228688034
1864,0.04505836263412524
1865,0.3244671425436506
1866,-0.04347066487484309
1867,-0.037513094984154366
1868,-0.128594752994931
1869,-0.13682711903543435
1870,-0.5362301191582268
1871,0.8103396867042003
1872,-0.22556840562133626
1873,0.18517115366475148
1874,-0.3526264899566389
1875,0.11843004942717462
1876,0.592603485081365
1877,-0.3806656254733454
1878,-0.2291137075666021
1879,0.08661589428887925
1880,0.32211070718345086
1881,-0.14234867513401694
1882,0.4619154130250457
1883,-0.5467062762980299
1884,-0.9153018473716094
1885,-0.11533574488715476
1886,-0.1519277401032022
1887,0.25607604323348276
1888,0.45525242497216645
1889,0.3901630663411224
1890,0.03344134140101625
1891,0.24573091833923802
1892,-0.31626351773403155
1893,0.40782207602435205
1894,0.302093835068925
1895,-0.05268065012658804
1896,-0.16826038132555565
1897,-0.05924476891606473
1898,0.20783609962017535
1899,0.7112989079409553
1900,0.046229403348044054
1901,0.0032844644154794433
1902,-0.1702297259530547
1903,-0.9453133987992807
1904,-0.31180957162694706
1905,-0.2573652675373196
1906,0.602416950685139
1907,0.08589925626331638
1908,-0.1387037022830391
1909,0.8997421165006915
1910,0.07875606798314047
1911,-0.33974632318392317
1912,0.07221114829016481
1913,0.2846539337780031
1914,0.1373629312163153
1915,-0.28239414205249636
1916,0.3235593004603021
1917,0.2336668363162445
1918,-0.5359996090523377
1919,0.4466772285913088
1920,0.37665517544646515
1921,-0.453976768058301
1922,-0.23958145373186307
1923,0.4889908102182918
1924,0.3934981408109386
1925,0.16776937763499927
1926,0.2227357988262878
1927,0.5118249971368203
1928,0.08371910956931572
1929,0.3297864772812311
1930,-0.3379636394283445
1931,0.47884492681449964
1932,-0.01925854452772427
1933,0.23841264912065577
1934,-0.2933272573603264
1935,0.1498607449400457
1936,0.5316223158713916
1937,0.012950409476642805
1938,0.9051399152094057
1939,0.5352817403534124
1940,0.22837058438651153
1941,0.23239095248106767
1942,-0.4049513051691593
1943,0.18030953126113428
1944,0.060230193450652725
1945,0.29896082365013343
1946,0.13761767335063252
1947,0.227128950242591
1948,0.5280648423455355
1949,0.3065173748451384
1950,0.48842559815800957
1951,0.4414738794881041
1952,-0.7783805705395236
1953,0.5365218972697411
1954,0.7175090467757156
1955,0.9496699199086154
1956,0.34801766292775355
1957,0.15868774526750934
1958,0.5582201758444644
1959,0.43938626786402246
1960,0.28153181183928366
1961,-0.04016351881107971
1962,-0.07959445543811347
1963,-1.2231708171974796
1964,-0.2344754323645905
1965,0.16056209346283418
1966,-0.4258491802455239
1967,0.26793942077910077
1968,-0.26200593238975767
1969,0.05630854601541885
1970,-0.021844096041028216
1971,-0.07803811541598284
1972,0.2258081601504653
1973,-0.31736772285025405
1974,0.5256467446849411
1975,-0.1312792075812031
1976,0.00743806403932433
1977,0.4308198590974027
1978,-0.6312435662523863
1979,0.7993351672584911
1980,0.04040598025632931
1981,0.9262323088696034
1982,0.6369703394075177
1983,0.8285590519463377
1984,0.24159413837129146
1985,0.9008212107330356
1986,0.29759336639879685
1987,1.3255477668303857
1988,0.7235682809550805
1989,0.8635777222101386
1990,0.8223214554050716
1991,0.18629971428989023
1992,-0.5669709040443436
1993,0.7947285426319204
1994,1.308777767811155
1995,0.42331191383359235
1996,1.170724698996431
1997,1.5354047886361317
1998,1.1720507325306126
1999,1.9396871438951444
2000,2.078140914020361
2001,1.5027337435041184
2002,1.108223062386736
2003,1.6444218953270515
2004,1.4392438467707196
2005,1.8970918367179168
2006,1.8566650397488436
2007,1.5657025077185793
2008,1.0678791355342914
2009,1.7108072607112121
2010,1.500600650217395
2011,1.937759797502029
2012,2.059762099674412
2013,1.6008130010792936
2014,2.009537332927258
