Year,ERF
1850,0.017478516379304657
1851,0.04320149328881673
1852,-0.1290424390022048
1853,-0.23143124740426396
1854,0.05673103667897646
1855,-0.35640732601890057
1856,0.2026043985328371
1857,-0.022164229708232563
1858,-0.42022762881146564
1859,0.08200018728896272
1860,0.16747849732097497
1861,-0.47382358766336047
1862,-0.37907202101127047
1863,-0.39582738155183395
1864,0.14235966899722077
1865,-0.0711526640720588
1866,-0.17618242326057498
1867,0.0005725498068417934
1868,0.0697356420112813
1869,0.28221319349549195
1870,0.14113453217979238
1871,-0.09366671896418166
1872,-0.04109498698385
1873,0.02838293795485481
1874,0.3797906037640203
1875,-0.04357237587625592
1876,-0.209782582427607
1877,-0.2547290230979643
1878,0.169022004708453
1879,0.13025526736846485
1880,0.21811439431407603
1881,0.28629651434895087
1882,-0.23050530956708562
1883,-0.3718439351776497
1884,-1.353647432731252
1885,-0.6130745155690179
1886,0.19244122590716664
1887,-0.26439630089389377
1888,-0.4041990009212597
1889,-0.06872179754590152
1890,-0.11957152239207014
1891,-0.3893591984065879
1892,-0.1162083624688457
1893,0.011785084920028013
1894,0.6363230985997204
1895,0.04894694809077531
1896,0.050072488459631394
1897,0.08521917555862579
1898,0.11852421820470549
1899,-0.016157851132566806
1900,-0.21246630763355626
1901,0.043001932605071166
1902,-0.08806725939405319
1903,-0.6033916144935677
1904,-0.3799307031716417
1905,-0.10756809525552721
1906,0.5279151977883015
1907,0.0796555461709671
1908,0.12078936298611613
1909,0.056156875224830594
1910,-0.14265593150766015
1911,-0.17333532211176655
1912,-0.4187182504805087
1913,-0.41468247218543697
1914,0.2175710729518077
1915,0.19002505727435193
1916,0.2899081039636574
1917,0.06633388554354004
1918,0.08032753489865535
1919,0.09702168442665422
1920,0.43460730843593
1921,-0.09673714638352407
1922,-0.18281675295812483
1923,0.2220538442134164
1924,0.2227936320651424
1925,0.02456474044067903
1926,0.3331466297306742
1927,0.21585103084254723
1928,0.1726406117426547
1929,0.25923258739894506
1930,0.27473788269034344
1931,0.34448233425413144
1932,0.850998604656889
1933,0.16590029909074133
1934,0.053217680817812335
1935,-0.24806743287974986
1936,0.5583151081005
1937,0.2875093665753655
1938,-0.06188499208950671
1939,0.3830284891779105
1940,0.1915793820091844
1941,0.621484275832114
1942,-0.1815623367796951
1943,0.4586950660474397
1944,0.779798996080271
1945,0.2649807898188096
1946,0.9600471603644982
1947,0.33050969907391015
1948,0.20126984950348925
1949,0.7304745043647809
1950,0.4662049125878835
1951,0.2563623635719158
1952,0.39946528196502606
1953,0.07455973276904337
1954,-0.011851617443549345
1955,0.4326905315825772
1956,0.5127699039221703
1957,0.058916284958814624
1958,0.6791702932955044
1959,0.15864471878119768
1960,0.4201637472945369
1961,0.3739442860063976
1962,0.1372965640278943
1963,-0.9414367665245889
1964,-0.3089897024649442
1965,-0.7582733335157059
1966,0.07103073903349892
1967,0.13743442688922297
1968,0.1879321113414808
1969,0.258937486232395
1970,0.101425180679031
1971,-0.23588669816258293
1972,-0.2994706302166088
1973,0.631452932109225
