Year,ERF
1850,-0.447779580764905
1851,0.4083370549542697
1852,-0.023263385557062786
1853,-0.2099269147070062
1854,0.6644211080771636
1855,0.07437845820332428
1856,-0.38567972424971025
1857,-0.9983412779358768
1858,-0.1420572832286776
1859,-0.34155307845968474
1860,0.1491601112859075
1861,-0.2938893833874068
1862,-0.0746791460979216
1863,-0.04042757592883288
1864,-0.6665118188750595
1865,-0.8164555630651121
1866,-0.5407467695905672
1867,-0.42487563336897577
1868,-0.1549678137781251
1869,-0.0018967087060407783
1870,0.08566607494880181
1871,-0.02533359361829557
1872,-0.7468985345310232
1873,0.32408124375018577
1874,0.13631988074756096
1875,-0.553921914095694
1876,-0.004159683903702749
1877,-0.04841489740971987
1878,0.3657572803833906
1879,-0.32127012103419905
1880,-0.3192465692869518
1881,-1.183543766486798
1882,-0.6437327596429288
1883,-1.1963693194818088
1884,-1.125772780113747
1885,0.07329601911866196
1886,-0.847670782678163
1887,0.19988313028538657
1888,-0.05118111848793641
1889,-0.944772786038051
1890,-0.7527600154920748
1891,-0.40251852196200166
1892,-0.7514920778236263
1893,-0.44269851600096893
1894,-0.20290980176838436
1895,-0.11098698575896865
1896,-0.06261453624157332
1897,0.0314337966167888
1898,0.029769276254354216
1899,-0.1426872127863462
1900,0.07790626764964716
1901,-0.7560133562537256
1902,-0.7500168953159382
1903,-0.4000623982397211
1904,-0.1847611151104545
1905,-0.6880346874419896
1906,0.03445738668552767
1907,-0.3942843340321882
1908,-0.20711220827911617
1909,-0.15653783614005837
1910,-0.8278157289577939
1911,-0.12420105922620381
1912,-0.2581277789370074
1913,-0.818611120940544
1914,0.0009795479076933622
1915,-0.08107111003367773
1916,0.26633455572558434
1917,-0.4275109077848157
1918,-0.16921157547327562
1919,0.03272884372184684
1920,-0.7157297873108144
1921,-0.6035771616874163
1922,-0.4467085826096321
1923,-0.7647122681566609
1924,0.41143020510630013
1925,-0.16388102618257505
1926,-0.09996156951455998
1927,-0.31361050831841225
1928,-0.566846531799526
1929,-0.6858465305294275
1930,-0.11241592470601536
1931,0.33274366638342145
1932,-0.08707164987543403
1933,-0.2609739582248545
1934,-1.1623121313469174
1935,-0.30051111445695566
1936,0.7026349469572382
1937,0.4923130038372677
1938,-0.37414771262451657
1939,-0.26874543910164184
1940,0.024240786207003415
1941,-0.8202636927356506
1942,-0.10403999010151174
1943,0.32331731858252133
1944,-0.08742079659150431
1945,0.03180863226383919
1946,0.5325004417230175
1947,0.12717039477602615
1948,-0.25295156139957164
1949,-0.530506716092278
1950,-0.24938524288537306
1951,0.05135065555898263
1952,0.19224005559182808
1953,-0.6872965993830085
1954,-0.6292032353528301
1955,0.1686287061302449
1956,0.09782236784133416
1957,0.5242809720021031
1958,-0.08142065262036693
1959,-0.6308831462968394
1960,-0.25624980454371593
1961,0.11976765522957744
1962,-0.4208478113013445
1963,-2.10415505114154
1964,-0.3304778984270699
1965,-0.18511418278719932
1966,-0.915497024085
1967,-0.3921701901866187
1968,0.5301780613834197
1969,-0.36938589926540966
1970,-0.1386569114012329
1971,0.1603322154642629
1972,0.0013802909977315425
1973,-0.16847689758474657
1974,0.007292767478274384
1975,0.2746563834877792
1976,-0.3476581751251987
1977,0.28687994061523037
1978,0.6987458902139798
1979,-0.07267910116377208
1980,0.23775993843518145
1981,0.694254071768988
1982,-0.013928324501113504
1983,0.5580566747903517
1984,0.047938534501321683
1985,0.9520677202707969
1986,0.7526178202972618
1987,-0.04824733660982669
1988,0.48511619412328666
1989,1.4337073098464184
1990,0.5156321116935236
1991,0.5030701309592446
1992,0.5174012385652678
1993,0.7979458569517932
1994,0.3504523836923393
1995,0.9138996325296124
1996,1.549201235727317
1997,0.35019116019722274
1998,1.1202257136207772
1999,1.8574290459805616
2000,1.9429160817946558
2001,1.3073256243434344
2002,1.559845478620368
2003,1.0395738334165054
2004,1.5216666145863758
2005,1.3532978835311193
2006,0.9355067003018892
2007,1.0119728808898718
2008,1.6916136220840294
2009,1.2042454791247805
2010,1.193541557126181
2011,1.6778401333431763
2012,1.7957362945616404
2013,1.674804839582928
2014,1.2555882062642465
2015,1.4838428618591881
2016,2.0044658418005614
2017,1.731214202313307
2018,0.8693235489963824
2019,2.0275070832103244
2020,2.6145433972813663
2021,2.795508461672446
2022,2.265475984300129
2023,1.4689299486798837
2024,2.324929951979761
2025,2.0296743829999544
2026,2.4747742121281187
2027,3.216824385322955
2028,2.105745189059543
2029,2.1966594614764743
