Year,ERF
1850,0.3843331923524496
1851,0.3273902032811993
1852,-0.09550766101666569
1853,1.193593795259078
1854,-0.5415883785052609
1855,-0.3346635141056968
1856,0.8041682218833061
1857,0.4254658391880024
1858,-0.6162850890706468
1859,-0.6566313733020338
1860,0.37492007143250367
1861,-0.03362309702083777
1862,0.17758905236635153
1863,1.4986498437743119
1864,-0.8088090750612621
1865,-0.4092347679323195
1866,0.04432557485584626
1867,0.9513547129030407
1868,0.3665551367158107
1869,-0.42103529036146214
1870,-0.2047816833321708
1871,0.34626502063176573
1872,-0.5047466891016089
1873,-0.50707603249085
1874,0.5871574056016547
1875,0.0028814849303339107
1876,0.45751755077541933
1877,0.36487441316097124
1878,0.4027275078530693
1879,-0.0658482970377508
1880,0.25569368408610427
1881,-0.7500357137717686
1882,0.3944865368919698
1883,-0.1796620356709357
1884,-0.5324708562585878
1885,-0.236300976826616
1886,-0.4582064726791216
1887,-0.3430936927145594
1888,0.0017192581478181063
1889,0.46704724570447537
1890,0.1822593490474371
1891,-0.07514960585998404
1892,-0.792951253668752
1893,1.2712858442803776
1894,1.0852774140122419
1895,-0.025084397449780804
1896,0.08805520356596659
1897,1.1679557773993055
1898,0.3417100654573847
1899,0.06359373274943664
1900,-0.21664921523948996
1901,0.5885441316572819
1902,0.19451256856218252
1903,0.012976797503377019
1904,-0.02570703733566132
1905,0.49229465208526235
1906,0.43050842108108955
1907,-0.10176181184056851
1908,-0.023151229641418025
1909,-0.16692891493424367
1910,-1.0813905637057555
1911,0.3953969700028917
1912,0.012472027510438577
1913,-1.5354181327354253
1914,-1.01429734809749
1915,1.1656461116732182
1916,-0.04845464544637441
1917,-0.2451334048809171
1918,1.6635164410494978
1919,0.6365647587960539
1920,-0.41209550086621044
1921,-0.17344353682345642
1922,0.7632416635728977
1923,0.7685694311806855
1924,-0.4386452472214734
1925,0.27828158177307283
1926,0.2863954719304632
1927,0.35288616322761024
1928,0.26916421086654496
1929,-0.03843646860924188
1930,-0.5113206252008992
1931,1.1478344652919878
1932,-0.6524026410317931
1933,-0.3295751716092706
1934,1.1620689615695279
1935,0.44670648586452794
1936,-0.6579478432103327
1937,0.4310111692359513
1938,-0.10953830375278324
1939,0.2060053520731438
1940,0.9522315018532552
1941,-0.9518642597449949
1942,0.16703560168078882
1943,0.7606879613826284
1944,-0.14266245324210083
1945,0.30542656527722545
1946,0.8852836979943237
1947,0.12298608056103594
1948,0.02031439599390461
1949,1.047973616771326
1950,0.03779933993176432
1951,0.009034580560747546
1952,-0.06144275556124812
1953,1.2356247687348676
1954,1.5593166832630645
1955,0.21255854157738596
1956,-0.29556730774375567
1957,1.2278737829683493
1958,0.23399669845872395
1959,-0.2764799048537774
1960,-0.9486883172407358
1961,0.6349483801290997
1962,-0.09909998527060489
1963,-0.6068758555725884
1964,0.4750488997646493
1965,0.043624918051137024
1966,-0.7190594830313658
1967,-2.2772764628432602
1968,-0.49929656716483595
1969,0.17719590020936166
1970,0.42378495859234255
1971,-0.6424117869521215
1972,-0.45142785847002115
1973,0.018750930529140036
1974,-0.4800994043194401
1975,-1.221495993736346
1976,1.131867064288761
1977,0.04412699571356911
1978,-0.4822517284518519
1979,0.7006031775894729
1980,0.38101688471682726
1981,0.8935210906394079
1982,0.34336287953805433
1983,-0.2420324821645528
1984,-0.6693958667298614
1985,0.7209879608680975
1986,-0.7948850800144045
1987,-0.507504693918465
1988,1.239851018020269
1989,1.3088159724562378
1990,0.44517925429506755
1991,-0.3496515238844773
1992,-2.112555518384088
1993,-0.17672648398237104
1994,1.2471391765978144
1995,0.805905437923816
1996,1.2738226044321388
1997,1.0830984919506452
1998,1.248255866672979
1999,1.6065688641817044
2000,1.3404890575757373
2001,-0.6090239405581909
2002,0.09200647827195779
2003,2.0390853344842528
2004,0.6732150398330679
2005,0.5895861469581132
2006,1.866613388557474
2007,2.4965280027249723
2008,2.046383856223324
2009,1.0688701304268322
2010,1.494889970754172
2011,1.7170156544777706
2012,1.8016406631712858
2013,2.312535695808582
2014,1.460990936393161
2015,1.143973336490545
2016,2.2780371441777136
2017,2.089719518809614
2018,1.8924769391201992
2019,0.9819012383715233
2020,2.1122161656486975
2021,2.6212611234087215
2022,2.661160310699861
2023,1.5878641873056327
2024,1.8855772062657963
2025,2.829660725215205
2026,2.683958945501284
2027,1.6615657477504244
2028,2.326638063220871
2029,2.472224877076363
2030,1.3563834973818012
2031,3.6227207669780555
2032,1.5811283077881901
2033,1.4296331338641959
2034,2.9317240480690554
2035,3.26592961345551
2036,3.156083148960154
2037,2.5918769027044606
2038,1.2954496718518826
2039,2.4795213286608284
2040,2.8911596006125166
2041,3.1877417819868237
2042,2.7647650127204475
2043,1.2530842095450743
2044,1.9011896642122046
2045,2.8553453670608557
2046,3.2054122954624327
2047,3.48426752439328
2048,3.7442134355922105
2049,1.4751451690695638
2050,2.214554771133228
2051,2.0162158402836843
2052,3.46788065059304
2053,3.7265824502756404
2054,1.5275760753442933
2055,2.6699516713155256
2056,3.868834700665209
2057,1.917274585651957
2058,2.8630939697915028
2059,2.796726194290538
2060,2.232504365633055
2061,2.1337345901127085
2062,3.1257746218284073
2063,2.807070329133242
2064,2.48555716751784
2065,3.542521851277102
2066,2.7732658941448527
2067,2.4350462582814236
2068,3.2097872432757204
2069,3.5851391846141882
2070,1.036705954991887
2071,1.8803753885298728
2072,3.7330212414826427
2073,3.108394113219676
2074,3.0777558722519975
2075,2.416549518241986
2076,2.62382429196721
2077,2.4961916087549123
2078,1.8770472931571933
2079,2.802702939934224
2080,4.005534523238075
2081,2.7603456330212905
2082,2.193656575889775
2083,2.2933513216832178
2084,2.413342140099752
2085,2.207364647175104
2086,2.3075207404917517
2087,2.7805409709371354
2088,4.230868470128123
2089,2.4881132006203597
2090,2.171646548428558
2091,2.268319049313863
2092,2.118102884473185
2093,3.6494374003245804
2094,2.668583831203445
2095,1.3029925146740469
2096,1.948789343279662
2097,3.2126055662772837
2098,2.4372984967507136
2099,1.7609079230751499
2100,2.870134492158212
