Year,ERF
1850,-2.0609682089538426
1851,-0.9367032902031591
1852,1.0115240152514497
1853,0.12295195201495984
1854,0.8607169618132249
1855,0.5562556799343217
1856,-0.5644798850547859
1857,0.6185710040753161
1858,1.7177802633213912
1859,-0.9505683320919217
1860,-0.030186663249320102
1861,1.1875342288459845
1862,-1.302258055041935
1863,-0.9106520100433996
1864,-0.11775631818176671
1865,1.1339989356009275
1866,1.0591384196201248
1867,0.3169956108395048
1868,-1.5357710731889769
1869,-0.842337035998425
1870,0.2177050206282529
1871,1.1268779273553113
1872,0.08333063343781622
1873,-0.9798360641204248
1874,-0.29265537505246686
1875,1.2925742976239143
1876,1.2899683668326059
1877,-1.4466816950446075
1878,0.41879935618680114
1879,0.8655314681270811
1880,0.7443170757735953
1881,0.08233053787270972
1882,0.7969096457274476
1883,-2.0553130315121373
1884,-1.5722463560599707
1885,0.20060073302082143
1886,0.6951806207958057
1887,0.3764551021615281
1888,0.328916855814567
1889,-0.16338706764217578
1890,-0.48887926884172045
1891,-0.23018626637920037
1892,-0.27107110147071395
1893,-1.3736777283393447
1894,0.4368425729967527
1895,0.16140160066384002
1896,-0.28818716679046763
1897,1.4196787003299896
1898,1.3800044809023007
1899,0.7709219543809602
1900,-0.6373350057843163
1901,-0.5567194651868946
1902,-0.0829529548466566
1903,0.2061120803562655
1904,0.4255776326694738
1905,1.1141638601149753
1906,0.9153794625829117
1907,-0.2940798783557599
1908,0.022506198634175217
1909,-1.2827718849700964
1910,0.5297184600232722
1911,1.0251528739697773
1912,0.14294999621621812
1913,-0.6886842639774186
1914,0.3721710643627385
1915,0.4162235208683597
1916,-2.005411755175658
1917,-0.061216465941335285
1918,1.124097256074248
1919,0.6952099166710246
1920,0.1062051266302222
1921,0.24725629837888996
1922,-0.5934456497824391
1923,-0.6133581343402483
1924,0.2464276809794264
1925,-0.13149210907128722
1926,0.9036202272678725
1927,0.13771726026843759
1928,-0.4333909868972921
1929,-0.44871842771056636
1930,-0.0022413434632686385
1931,0.9186449942532606
1932,1.651413691785364
1933,-0.22210089928230303
1934,-0.9727259327536153
1935,0.6154038480309656
1936,0.6449915315386548
1937,0.3012378576895002
1938,-0.18840115173043448
1939,0.6540905123795206
1940,0.503084730220432
1941,1.0364440682797063
1942,-0.6758571963627616
1943,0.1449348119807948
1944,-0.29232696014566434
1945,-1.304733503512062
1946,0.3406568500875009
1947,0.8626328156900192
1948,1.2475475501249234
1949,0.918469208694033
1950,-2.154565710651406
1951,-0.22330952192127787
1952,0.9089487397722297
1953,1.1504745868477493
1954,0.8332030602281175
1955,1.023848708899334
1956,0.15220192801237936
1957,0.553467671378477
1958,0.6053673347336012
1959,0.5929348494263527
1960,0.5222849145326658
1961,0.01412908821847536
1962,-0.5364174527521368
1963,-0.8184832960393604
1964,0.02291627784376525
1965,0.5065976896743881
1966,1.0342607814056808
1967,-0.5272033917897168
1968,0.5488111931713552
1969,-0.3478308273635584
1970,0.4451945751038129
1971,1.0020651118101558
1972,-0.23137592004355487
1973,-1.6943088296576054
1974,0.4327762822807897
1975,-0.5845005957856841
1976,-0.42569616201195376
1977,-1.0166688385415208
1978,-0.2908517607376977
1979,-0.9281457086848246
1980,-0.4497788723770293
1981,-0.39136991121004566
1982,0.7722398094295345
1983,1.0547325761085535
1984,-1.7477119051204932
1985,-1.4112460762881636
1986,0.4396722451267296
1987,-0.670940290425099
1988,1.2283572355460841
1989,1.69185158995835
1990,1.0503857886598995
1991,0.12851850578324242
1992,-0.846247057952117
1993,0.5652205835089205
1994,1.2084431320004856
1995,-1.6391810655977084
1996,-0.3617708086374817
1997,0.6037167232823045
1998,1.1802314456427432
1999,1.4279242277893585
2000,1.2772688499641753
2001,2.1570826401599605
2002,1.8052763866387642
2003,-1.1369013028660109
2004,-0.37696228708908663
2005,1.201555116165091
2006,2.1711025392404233
2007,3.6834554883986454
2008,1.9683643937130804
2009,3.4762950365248977
2010,2.047739780815148
2011,-0.14617804461390183
2012,0.9206466959689354
2013,1.746356625501287
2014,0.9530087948056535
2015,2.2425410421824195
2016,3.4071718155410924
2017,4.123098167801575
2018,3.2633038110847634
2019,1.9073650940652054
2020,1.947651955015842
2021,3.3112370315434863
2022,3.6140941380826614
2023,4.413387896674945
2024,2.6239440697139154
2025,3.84953595854586
2026,3.761022623118352
2027,2.083224892015233
2028,2.542797810390453
2029,2.9860850274366397
2030,2.6404471505322666
2031,4.010586004369655
2032,4.498024960024435
2033,2.8892279958527767
2034,2.3363962372683877
2035,3.71775348537785
2036,3.3072317374162994
2037,3.550764657734383
2038,4.172022717710405
2039,3.8871652750325145
2040,4.376871222803439
2041,5.4444608252240485
2042,3.9912414273717163
2043,3.830125082321084
2044,5.2122233728295155
2045,4.085359347751995
2046,4.1548028565180335
2047,4.235281293507374
2048,4.523974286605241
2049,1.9922046442124417
2050,3.037643854561557
2051,4.981047067209249
2052,5.58245308270085
2053,5.809083059811915
2054,4.385040876078582
