Year,ERF
1850,-0.0005321387048261572
1851,0.06849332234680536
1852,0.6681176457763689
1853,-0.25590773406976663
1854,0.6022770267076862
1855,0.6436457460143359
1856,0.4882071339898997
1857,0.24713621221431537
1858,0.3716630082724058
1859,0.778166904248998
1860,0.5779542441128135
1861,0.630818630847574
1862,0.1335886247444002
1863,1.0829593359372836
1864,0.9361322387569653
1865,0.47185980000995525
1866,0.9441438785545264
1867,0.844060761720871
1868,1.1166153863888608
1869,1.4022276942005165
1870,0.6084232200707922
1871,1.3330904137621629
1872,1.0745172393748619
1873,1.2035620939599632
1874,1.0966079969037517
1875,1.3612374290425495
1876,1.5248141794918437
1877,1.6779706010649345
1878,1.6525735415458898
1879,1.7096441065412151
1880,1.4669757114920698
1881,1.4471212943453222
1882,1.6583368638341778
1883,1.4906565705295898
1884,2.5925224584791255
1885,2.169637215692892
1886,1.9439636253301749
1887,2.169293306148923
1888,1.8798647727085567
1889,2.015039017064953
1890,2.137771439405489
1891,1.9283384825374918
1892,2.442464823630229
1893,2.5480311233230193
1894,2.2805006450430163
1895,2.7491086478798747
1896,2.552136923310359
1897,2.3844050477202763
1898,2.8532950615798285
1899,2.440175725115299
1900,2.5314809308034216
1901,2.592772940261001
1902,2.308427134861839
1903,2.9919612449025355
1904,2.7585612513823214
1905,2.5087526161274147
1906,2.9045667392492334
1907,2.669332679029166
1908,3.194455710180054
1909,2.815802964341059
1910,3.0377698259740957
1911,3.281282785089231
1912,3.1268504584663415
1913,3.3502763538137446
1914,3.2795710783241567
1915,3.2586352236173193
1916,3.8271085241471656
1917,3.7904564191898205
1918,3.5763850245774425
1919,3.3105528523890326
1920,3.719360330195517
1921,4.168271848556653
1922,3.8383397950224696
1923,3.6990871141244535
1924,4.192171996461939
1925,3.9190521994699425
1926,3.7806828873911225
1927,4.000786155524743
1928,4.257703725087577
1929,3.7198631574527403
1930,4.1067605956459055
1931,4.4221899947501075
1932,4.452644420994705
1933,4.338049234693511
1934,4.136605826018185
1935,4.566758737186598
1936,4.669382984333753
1937,4.487261112420104
1938,4.666113114027045
1939,4.929426615171065
1940,4.623554247115866
1941,4.370404703543073
1942,4.914026112805233
1943,4.849472358227269
1944,5.138655114579931
1945,4.860196008179926
1946,4.600250709513605
1947,5.492857046232514
1948,5.363735054998511
1949,5.229718093192114
1950,4.966863235745995
1951,5.367322913275479
1952,5.496063422386827
1953,5.10165627101743
1954,5.431114148689213
1955,5.437558450248281
1956,5.827583027009997
1957,5.298375522424278
1958,5.356064961251745
1959,5.818000569808457
1960,5.424693833633281
1961,5.412276972067904
1962,6.169741092569655
1963,5.873043333462227
1964,6.222007410398543
1965,6.225141369660985
1966,5.971951019026278
1967,6.180429353817681
1968,6.162794286511107
1969,6.524306420927427
1970,6.262213762644402
1971,6.505836478589428
1972,6.1562341380016825
1973,6.475123304915341
1974,6.680990597279051
1975,6.666226841759636
1976,6.957167494266409
1977,6.567711070101259
1978,6.841588338936549
1979,6.586882062524791
1980,6.697126631650912
1981,6.808031466127518
1982,6.879480719685655
1983,7.280684374580711
1984,6.978576712895943
1985,6.97645043377238
1986,7.222898828883869
1987,7.065699303701309
1988,7.198514545201748
1989,7.549630084744632
1990,7.226457550174719
1991,7.361830298302282
1992,7.530564383692932
1993,7.154938299887613
1994,7.395623627445375
1995,7.858957258422684
1996,7.840776247727015
1997,7.734380920941905
1998,7.665016287688062
1999,8.04015615425828
