Year,ERF
1850,-0.3137988650433098
1851,0.15435208365688713
1852,0.377182777121965
1853,-0.08018121605722112
1854,-0.42746472352313536
1855,0.4390595664949375
1856,0.2367828013939673
1857,0.16924337235142178
1858,0.22782573896521396
1859,0.15209106374230055
1860,-0.3449218313892005
1861,-0.5372032761239517
1862,-0.12897668751454122
1863,0.10999221652322731
1864,0.45427985381472863
1865,0.27249591427782355
1866,-0.3787863789703849
1867,-0.26811746986976465
1868,0.04077342080753723
1869,0.5521062570709269
1870,-0.04973202313615721
1871,0.08696240627088447
1872,-0.0927469840689313
1873,-0.04418209878796432
1874,-0.044086472440740286
1875,0.0005188481435388602
1876,-0.35923096634773743
1877,-0.02201969114163617
1878,0.10206898509489207
1879,0.36544883265491845
1880,0.3258598288808562
1881,-0.2783972037978009
1882,0.495403167554396
1883,-0.3178703676461566
1884,-2.0135981067353996
1885,-0.5453515687479384
1886,0.2515539410414252
1887,0.1290870706122519
1888,0.7054010587315263
1889,-0.18882333732758236
1890,-0.26936300709933436
1891,-0.2984866656685267
1892,-0.13912605578530107
1893,0.18083223300963058
1894,0.4935610236880623
1895,0.06239936832950864
1896,0.6325324664038091
1897,0.057106483106806744
1898,-0.3194385619909548
1899,-0.0250171578443597
1900,-0.15268238838375772
1901,-0.042115953852037716
1902,-0.054464828887110725
1903,-0.5152270564558926
1904,-0.9491674777741697
1905,-0.03209350782580414
1906,0.4178308763129534
1907,-0.09596124706094043
1908,0.23997091940800866
1909,-0.11989757950013259
1910,0.3261399860799539
1911,0.23431113514455226
1912,-0.582103205028459
1913,-0.524677545344342
1914,-0.3660575842837833
1915,0.2482338095233714
1916,0.5232313487019085
1917,-0.11673342409474613
1918,-0.13009496423936656
1919,0.6378322298120753
1920,0.7863949129780459
1921,0.4235978537009949
1922,-0.47505039218690603
1923,0.3944035340668958
1924,0.0631566393952614
1925,0.3663228100428292
1926,0.2143126477174206
1927,-0.2117766291972094
1928,0.33482095818597074
1929,0.4295071731413156
1930,-0.49988689989299895
1931,0.07487821216029311
1932,0.4441545964810925
1933,0.4656215034654326
1934,0.14764237806648065
1935,0.06053769131109714
1936,0.021387302262903987
1937,-0.04426957876498551
1938,0.21121012697227198
1939,-0.16637943298080127
1940,0.24487952378894096
1941,0.07739001195925266
1942,0.2736681609965811
1943,0.21528721834225828
1944,0.17463053821732505
1945,-0.2639812877002141
1946,0.4227789216702865
1947,0.4436157827560805
1948,0.12212493873177474
1949,0.35729424304478496
1950,0.2916908935072474
1951,0.16124161881474655
1952,0.19129791420405867
1953,0.04928649967640446
1954,-0.3378708760898389
1955,0.17903207312673441
1956,0.2220056289931991
1957,-0.18171038268341963
1958,0.35579203896615186
1959,0.48895493180709115
1960,0.016937431520303844
1961,-0.3024622446791173
1962,-0.12349588394580613
1963,-1.1349160367166609
1964,-1.0253294497074115
1965,-0.6956369553118403
1966,-0.3834684678205179
1967,-0.028815277540875844
1968,0.006133116080439538
1969,-0.4535709021300664
1970,-0.4758149986604684
1971,-0.16533337876372534
1972,-0.2639114732147218
1973,-0.06943061250551724
1974,-0.36347117982662286
1975,-0.36769047672512206
1976,0.4083233286742306
1977,-0.012730685175842422
1978,0.1604079370429615
1979,0.408601099320828
1980,0.1247732987040781
1981,0.05566389394660575
1982,0.07137121554360033
1983,-0.4894200683757918
1984,-0.5440809555243844
1985,0.4977449498484073
1986,-0.24857388158575136
1987,0.15568459646856242
1988,0.7309424024806327
1989,0.6260565948621046
1990,0.5488990891315907
1991,-0.5980147015974744
1992,-1.1517860327379101
1993,-0.15510482003011478
1994,0.49756739267771805
1995,0.6654569920577464
1996,0.7075471649092775
1997,0.9846374770148041
1998,0.8292871345704964
1999,0.8227863721268239
2000,0.9970949808003868
2001,0.9345076428381626
2002,0.6488104115213539
2003,0.8156299851429105
2004,1.0348014935076082
2005,0.7317951985622256
2006,0.7748060997174111
2007,0.8519638552160012
2008,1.2809206925462888
2009,1.0994854876143016
2010,1.4256489032782051
2011,1.4763832025130017
2012,1.7463739836220116
2013,1.6853905523137398
2014,1.5058443159476775
2015,1.5738628607015461
2016,1.572564114662889
2017,2.0105808358316466
2018,1.744999743095907
2019,1.6525883140856457
2020,1.6356034771346342
2021,1.545026385065972
2022,2.4623237316545876
2023,2.720266845870544
2024,2.2143851964273553
2025,2.2780221684093465
2026,2.155649339077777
2027,2.3168625356783172
2028,2.5919147746068116
2029,2.42056022438664
2030,2.1435054557038393
2031,2.480172741541484
2032,2.553041519366293
2033,2.5120138360105915
2034,2.251183507867454
2035,2.8707829566009146
2036,2.93447650536074
2037,2.9590818400974954
2038,2.330159387881102
2039,2.789651759237257
2040,2.0843487700511782
2041,2.627685880590162
2042,2.435923072885509
2043,2.3835828189938204
2044,2.7143988525197935
2045,2.758114828038814
2046,2.2982246393474055
2047,2.6184732694825756
2048,2.6570150688790326
2049,2.7722566691126196
2050,2.617845120291043
2051,2.4002673659997775
2052,2.698619281606982
2053,2.548553553390887
2054,2.359997930666047
2055,2.276783345428118
2056,2.7621744447477914
2057,2.563552564683378
2058,2.28612188419124
2059,2.1604113761787094
2060,2.5521644206925522
2061,2.3582953432332685
2062,2.389704583502245
2063,2.513868955023227
2064,2.66509605220814
2065,2.324762655461925
2066,2.2438417513312556
2067,2.409490974452937
2068,2.5975295569075927
2069,2.3562725785608896
2070,2.1842235702678674
2071,2.092346076489818
2072,2.2997046582145075
2073,2.221267650183561
2074,2.9450933771105823
2075,2.0384735257400184
2076,2.536631976652731
2077,2.4312838887697823
2078,2.2393170857692883
2079,2.2349137072650294
2080,2.7805280528397662
2081,2.4090657049766517
2082,2.269253789324144
2083,2.5290197402692276
2084,2.086770841127093
2085,2.4926937867872283
2086,2.042019436349931
2087,2.3097979335027623
2088,2.254371529489241
2089,2.0547341268266126
