,tas,rlut,rsut,rsdt
0,286.46490262855303,,,
1,286.68932441103186,,,
2,286.5001045596405,,,
3,286.6615181272159,,,
4,286.65238136749025,,,
5,286.6142180105622,,,
6,286.5956165114709,,,
7,286.72136516836514,,,
8,286.5987304667232,,,
9,286.6140342289431,,,
10,286.5333019124945,,,
11,286.5387360918581,,,
12,286.51918775519067,,,
13,286.6245186603352,,,
14,286.7698571949091,,,
15,286.8916394687159,,,
16,286.8891693634221,,,
17,286.6770623553726,,,
18,286.6384366062459,,,
19,286.5997045213125,,,
20,286.47746188373645,,,
21,286.6830890355783,,,
22,286.52012916815846,,,
23,286.4252141316984,,,
24,286.45300476178096,,,
25,286.56066660934704,,,
26,286.6846750058282,,,
27,286.70105461358617,,,
28,286.534873865376,,,
29,286.56347281880886,,,
30,286.6338537140987,,,
31,286.57093074438967,,,
32,286.5003737701556,,,
33,286.46651617227224,,,
34,286.1612196932483,,,
35,286.2112634567907,,,
36,286.347436823636,,,
37,286.5096674077471,,,
38,286.4087274960123,,,
39,286.3502190938525,,,
40,286.38040683806844,,,
41,286.37754697343763,,,
42,286.37618928607606,,,
43,286.4755109577205,,,
44,286.50478603929423,,,
45,286.4753520105956,,,
46,286.2588456645075,,,
47,286.4165433445095,,,
48,286.4785337417139,,,
49,286.5405434332444,,,
50,286.5619712354459,,,
51,286.56667732457464,,,
52,286.5898084039639,,,
53,286.42592200559653,,,
54,286.35431938599305,,,
55,286.2642600056643,,,
56,286.3355189030265,,,
57,286.2081669082317,,,
58,286.4822809554092,,,
59,286.38785618291814,,,
60,286.4230058372589,,,
61,286.2708867169884,,,
62,286.3621979557045,,,
63,286.3468042006412,,,
64,286.43590919127627,,,
65,286.4450399406714,,,
66,286.36536631580657,,,
67,286.38818537552237,,,
68,286.25107204109236,,,
69,286.2721453610907,,,
70,286.43048039456755,,,
71,286.648985790777,,,
72,286.60050481719554,,,
73,286.64400353921457,,,
74,286.6129424646329,,,
75,286.46908015364045,,,
76,286.42633549465745,,,
77,286.5810181265876,,,
78,286.4761741342207,,,
79,286.53565161794535,,,
80,286.578942769108,,,
81,286.62446862593134,,,
82,286.6312247651106,,,
83,286.709953237814,,,
84,286.6097389562345,,,
85,286.5184519842965,,,
86,286.6058125376796,,,
87,286.66436827324964,,,
88,286.64887028094034,,,
89,286.67277881191075,,,
90,286.69179585171065,,,
91,286.57219993419966,,,
92,286.65116295718894,,,
93,286.7463483822549,,,
94,286.6682509621121,,,
95,286.55716757228134,,,
96,286.65844888463334,,,
97,286.6547553672848,,,
98,286.66625022860086,,,
99,286.62632775150973,,,
100,286.7017433400002,,,
101,286.6207368335238,,,
102,286.6835179197444,,,
103,286.68820752850826,,,
104,286.65342697515365,,,
105,286.7931623084963,,,
106,286.7742278601647,,,
107,286.7976108910747,,,
108,286.69195065293627,,,
109,286.7236102788861,,,
110,286.7952867686859,,,
111,286.76256017740167,,,
112,286.7140436831489,,,
113,286.4973998806453,,,
114,286.4797165856491,,,
115,286.42524717038674,,,
116,286.4202720251991,,,
117,286.69558118183664,,,
118,286.6912313192779,,,
119,286.6699418304807,,,
120,286.6076300925938,,,
121,286.5655898747987,,,
122,286.651341269674,,,
123,286.60987518233657,,,
124,286.7494919363429,,,
125,286.6303627199838,,,
126,286.5768274644076,,,
127,286.4557684693967,,,
128,286.66635906510186,,,
129,286.649304542148,,,
130,286.63985410258556,,,
131,286.77330838467697,,,
132,286.7443951429839,,,
133,286.5114681360604,,,
134,286.4123316066551,,,
135,286.5951566089147,,,
136,286.55204823893274,,,
137,286.42553507297197,,,
138,286.3974978742078,,,
139,286.4489883667902,,,
140,286.54063490663026,,,
141,286.58385267067234,,,
142,286.28607993831173,,,
143,286.1535533208153,,,
144,286.1823330857144,,,
145,286.2811984941483,,,
146,286.56093784847127,,,
147,286.50146702606725,,,
148,286.4025536277036,,,
149,286.46694769668187,,,
150,286.3597751504439,,,
151,286.4832354949823,,,
152,286.3029452494307,,,
153,286.26146834238773,,,
154,286.2532085243028,,,
155,286.2307867394427,,,
156,286.3574735157449,,,
157,286.29861606629044,,,
158,286.3456162927051,,,
159,286.3148768063181,,,
160,286.4208632338363,,,
161,286.4292868499005,,,
162,286.6087678093321,,,
163,286.52071545563126,,,
164,286.34040969176255,,,
165,286.4098636021134,,,
166,286.50746093824057,,,
167,286.5260534868417,,,
168,286.5612051630425,,,
169,286.6548278727174,,,
170,286.6876926182989,,,
