year,tas,rlut,rsut,rsdt
1850,1.0746125884599564,-4.655903379641245,-1.3328081581176292,-0.02736690517264151
1851,1.664604659643885,-3.491988506997046,-1.5296983651405185,-0.027420033302348656
1852,2.098439344152723,-2.5832726359488447,-1.4106173762669556,-0.02745618691301388
1853,2.224858740216689,-2.3190773187897094,-1.3255170002136794,-0.027491129186842045
1854,2.434875033330684,-2.028628658588559,-1.8803244786506212,-0.02758544655540618
1855,2.6634894953312482,-1.8085946933539958,-1.7954933420724473,-0.027634155156761153
1856,2.8226236793029784,-1.3411536889462354,-2.306822160257724,-0.027706531972341963
1857,2.945552177396337,-1.0340073734399198,-2.2489018475100693,-0.027741233958579414
1858,3.019110169155965,-1.0354157494564618,-2.1808544925934115,-0.027788872487292338
1859,3.1221808319822912,-0.8004566577130561,-2.3594153965689912,-0.02784327942396203
1860,3.1696977371452704,-0.5683259924068409,-1.8938735674105516,-0.027847775269719932
1861,3.180029712020712,-0.7495732135963067,-2.7189182476916756,-0.027923125376219105
1862,3.3350719466448595,-0.4619888701765831,-2.5833319794746785,-0.02795650888987211
1863,3.450151032392057,-0.4576478625292282,-2.605831595854653,-0.02798484929866163
1864,3.614617917011401,0.03512266144977616,-2.597822239114052,-0.028008516764543856
1865,3.5769549606370674,0.18517483971209003,-2.7021048045444758,-0.028046705216297596
1866,3.625722168084792,-0.013155368021784852,-2.596501454618405,-0.02807141522572465
1867,3.7175768537609315,0.18200025701247569,-2.6455455646540997,-0.028102586688532938
1868,3.706353063476854,0.31227249089252496,-2.5415098335815145,-0.028110088650123544
1869,3.637409504383868,0.015993572588655525,-2.481646802417359,-0.02812174136431622
1870,3.5987681036828008,0.19821025606646003,-2.4700515963299807,-0.02812598386225318
1871,3.5298874960294597,-0.023841078687610207,-2.538751073650843,-0.02812950688746696
1872,3.6131464110010256,0.026259363897679577,-2.821115892403384,-0.02814659611925663
1873,3.766180704016051,0.20886467067165881,-2.8705954706436927,-0.02814317113160314
1874,3.853057882457051,0.5013231984362108,-2.688008610600477,-0.02813546249990395
1875,3.824143806525626,0.35069562898266327,-2.55984385736204,-0.02813624289206018
1876,3.7968760620984767,0.37582681696429177,-2.2788019872123044,-0.02813116647149627
1877,3.8294825575911773,0.3761651631191967,-2.660455549348711,-0.028160384698651342
1878,3.8053563332450153,0.4022428143950094,-2.4871321760100784,-0.028147776546177283
1879,3.987549788397189,0.68765681743659,-2.8549187420599367,-0.028173977571611886
1880,3.7962655260097904,0.47881846727861443,-1.9398468248801066,-0.02813518175213403
1881,3.7365147601785793,0.39211140165389224,-3.004792468346892,-0.02821362838562891
1882,3.879662403201678,0.466530099647656,-2.7524963829320512,-0.02820893447204753
1883,3.9264420008121306,0.6474711300428169,-2.5030032066999013,-0.028208726329751244
1884,3.970679039633069,0.8521052910506342,-3.1253059197555757,-0.028246548107631497
1885,4.026381705446511,0.793925781473348,-2.7921366981168205,-0.028218709071438752
1886,4.012663618614965,0.8695378230702602,-2.9146860640322956,-0.028232983951227197
1887,4.084879703622562,0.7397560227240945,-3.2928741130224495,-0.028265306440744098
1888,4.185589211857803,1.277616215029127,-2.990251213591378,-0.02826359183893601
1889,4.0810819394026225,1.006318014491569,-3.2099411373878155,-0.028303394204499455
1890,4.074016641055607,0.7345606996724428,-2.5460089864463527,-0.028286757772661986
1891,4.139327824409577,1.14000165450841,-3.0383853297522734,-0.028308797132865493
1892,4.159184483978606,1.0358892173838399,-2.952755374113309,-0.02830898981608243
1893,4.177870679160151,1.063815640291864,-3.153293561640865,-0.028323199388069042
1894,4.0971411952485255,1.0940079670018292,-2.5926325681907088,-0.02828993031397431
1895,4.0917480582871235,0.8985914067563385,-2.9757347098114764,-0.02831393197880061
1896,4.080340693404025,0.776372648822587,-2.7323403843500955,-0.028291873313719407
1897,4.140424509641946,0.9461401103415881,-2.9109828148688592,-0.02828969691790917
1898,4.203498323774738,1.023232225430604,-3.1421196516101446,-0.02829610458758225
1899,4.258737073016789,1.1768596047255926,-3.006684800171186,-0.028292398213011438
1900,4.269316539980196,1.1961304869421383,-2.906882223570747,-0.028293334741476883
1901,4.1954382616643215,1.1699725424942926,-2.913729059381879,-0.028298751012812318
1902,4.2338556493527335,1.3086315248281721,-2.9920013837738395,-0.02831631353967623
1903,4.205989856732742,1.0556493148072832,-3.1274319391046106,-0.028342988450447137
1904,4.231565656260273,1.2993828739751336,-2.8871489127357677,-0.028335359840696128
1905,4.250951508719311,1.178092391385178,-3.1579497881678975,-0.028345898777217826
