year,tas,rlut,rsut,rsdt
1850,-0.010331939523211986,-0.15640076382368306,-0.31714631752414846,2.0651611976063577e-08
1851,0.06659217731998979,0.26905941678009526,-0.20353632653372244,2.0651611976063577e-08
1852,0.2359080889554548,0.5154404497739904,0.02855822803239505,2.0651611976063577e-08
1853,0.05948116734123232,0.3651389728563288,-0.04952756893561627,2.0651611976063577e-08
1854,-0.07310348825916435,0.019712484960138,-0.4647482691372886,2.0651611976063577e-08
1855,-0.025324646369313086,-0.21907150311326973,0.009353340928555554,2.0651611976063577e-08
1856,0.12368676182393301,0.009182457031698732,0.17967720842004553,2.0651611976063577e-08
1857,0.14907762820320158,0.08404435208674954,0.26552761942467384,2.0651611976063577e-08
1858,-0.11930766182803154,0.2512209502644396,-0.2744594921013004,2.0651611976063577e-08
1859,-0.13606512736976129,-0.2407556268997837,-0.18043533390167,2.0651611976063577e-08
1860,0.01850488355609059,-0.23791584034984226,0.1595855029588762,2.0651611976063577e-08
1861,0.123015875630756,0.5167846403174963,0.16191958692101593,2.0651611976063577e-08
1862,-0.04360042035443712,-0.12716459627921495,0.2599486933033148,2.0651611976063577e-08
1863,0.03905994701739246,-0.10540264608826533,-0.11081899081918323,2.0651611976063577e-08
1864,0.17468164015576804,0.30025555667612025,0.24028035778187018,2.0651611976063577e-08
1865,0.07484068403601896,0.187590313466643,0.05706874865025213,2.0651611976063577e-08
1866,-0.1273175052795068,0.14209589403051837,-0.10838252356887779,2.0651611976063577e-08
1867,-0.07575101554073171,-0.17370867782551613,-0.35311816287951103,2.0651611976063577e-08
1868,0.09949604093640119,-0.3413267169746632,0.6441231046210447,2.0651611976063577e-08
1869,0.019329102433061962,-0.07761626653089593,0.42563025101475205,2.0651611976063577e-08
1870,-0.1984798263142693,-0.33781468387900304,-0.1362389463146627,2.0651611976063577e-08
1871,0.0262141992751026,-0.10230170968455354,0.16519943015370586,2.0651611976063577e-08
1872,0.13445045366205477,-0.12912778378677103,0.5009007751468175,2.0651611976063577e-08
1873,0.24216026888763054,0.43118390361485126,0.07621918904253278,2.0651611976063577e-08
1874,0.01121172003877291,0.07007395349455692,0.09943436516186921,2.0651611976063577e-08
1875,-0.0011441869591521936,-0.08458895271553502,-0.06959501348622155,2.0651611976063577e-08
1876,0.016480609007999192,0.16596596703197974,-0.006650012884449552,2.0651611976063577e-08
1877,0.018213768978341704,-0.20649532345419175,0.08257938901716955,2.0651611976063577e-08
1878,0.1494606938484253,0.12238304317699544,0.40745753250038774,2.0651611976063577e-08
1879,-0.05541288832762348,-0.08752010364446505,0.3527846124246139,2.0651611976063577e-08
1880,-0.03595517821872818,-0.38290673716633705,0.20478987230839607,2.0651611976063577e-08
1881,-0.06692895638212804,-0.03453362203626398,-0.18409369370517936,2.0651611976063577e-08
1882,-0.035480659637073586,-0.053360134079781574,-0.20311250115560142,2.0651611976063577e-08
1883,0.17561228517047311,-0.3109500616465368,0.42528894208574286,2.0651611976063577e-08
1884,0.19263364767601843,0.6882111542819018,-0.14123159011849395,2.0651611976063577e-08
1885,-0.170181918837784,-0.05481647625018127,-0.2507717563292715,2.0651611976063577e-08
1886,-0.17313253853598098,-0.39596403780242895,-0.33430661142286056,2.0651611976063577e-08
1887,-0.06928712494891442,-0.16116471077037886,-0.12742232402762,2.0651611976063577e-08
1888,0.15034008342456673,-0.18953856997848106,0.20611597487375377,2.0651611976063577e-08
1889,0.1453323007397671,0.2718866979286645,0.22029619843293347,2.0651611976063577e-08
1890,-0.16424596314044493,-7.789553927750603e-05,-0.19473137247882732,2.0651611976063577e-08
1891,0.006224064475929936,-0.36903255141763225,0.1299851203700655,2.0651611976063577e-08
1892,0.18088748145407862,0.3351072270836539,0.39277292586083945,2.0651611976063577e-08
1893,-0.21387204475269073,-0.16705478322140266,0.053401381504045276,2.0651611976063577e-08
1894,-0.21290233007971437,-0.30828177138715773,-0.042229893801092544,2.0651611976063577e-08
1895,0.014812381594936141,0.020742838977071187,0.4904149561670579,2.0651611976063577e-08
1896,-0.11921156106132003,-0.09650761801646013,0.17767169592450216,2.0651611976063577e-08
1897,-0.05471012285732968,-0.2522335920508567,0.3830695021706134,2.0651611976063577e-08
1898,-0.03245141308292432,-0.20361276166011066,0.3341671850926815,2.0651611976063577e-08
1899,0.022842586157537426,-0.20416072973478094,0.47224312728020834,2.0651611976063577e-08
1900,0.037562357081071696,-0.08767399007851395,0.5847637703528932,2.0651611976063577e-08
1901,-0.25028212156485097,-0.2445520971912174,0.2671900531242386,2.0651611976063577e-08
1902,-0.1765738277614446,-0.5812629024080138,-0.13224396853763665,2.0651611976063577e-08
1903,0.04436584049551584,0.06642729381138679,0.30003273280381393,2.0651611976063577e-08
1904,-0.13076126861869852,-0.05983469509035899,0.10107941481506089,2.0651611976063577e-08
1905,-0.2636326601571568,-0.42796384902763407,0.26491804974530453,2.0651611976063577e-08
1906,-0.1586239186981402,-0.5402664594557791,0.49345358413103213,2.0651611976063577e-08
1907,0.040029706319899105,-0.3092058416206669,0.5269623309868905,2.0651611976063577e-08
1908,0.04878479022374904,-0.13023001931412637,0.7893452105582526,2.0651611976063577e-08
1909,-0.08429443654466695,-0.23488329122258733,0.5451156955658547,2.0651611976063577e-08
1910,-0.11735825057655802,-0.46467719778985384,0.6573229225043491,2.0651611976063577e-08
1911,-0.04697930710847231,-0.4176874216509532,0.7358928511554694,2.0651611976063577e-08
1912,-0.022729261185986616,-0.15912604205070124,0.4636559520517096,2.0651611976063577e-08
1913,-0.13960018210497083,-0.3541754974631601,0.3905490471804427,2.0651611976063577e-08
1914,-0.29469828791559394,-0.4301700583477839,0.17340338897989227,2.0651611976063577e-08
1915,-0.1383243383510262,-0.786850744456018,0.6875124723539301,2.0651611976063577e-08
1916,-0.019168932755690093,0.17562211304985453,0.6213326657135383,2.0651611976063577e-08
1917,-0.3239115754013824,-0.16961950287682726,0.13183122096832278,2.0651611976063577e-08
1918,-0.33196504340901356,-0.7947791174605356,0.08704045590826581,2.0651611976063577e-08
1919,-0.041509207219291966,-0.4005395581112339,0.841409050098207,2.0651611976063577e-08
1920,-0.13335386394203397,-0.192102347358599,0.4648395384404296,2.0651611976063577e-08
1921,-0.23443450955238632,-0.23383207851898646,0.11993863167131735,2.0651611976063577e-08
1922,-0.07886454020325573,-0.33041123192006694,0.38889254327537515,2.0651611976063577e-08
