year,tas,rlut,rsut,rsdt
1850,0.009107200973801355,0.43371978269186684,-0.06926188800299826,1.7053025658242404e-13
1851,-0.2619418755401739,-0.19266105063800865,-0.31283225705465156,-0.010797533662355363
1852,-0.13221715422065472,-0.3967308115625201,0.33388318690940366,-0.011862510816229133
1853,0.25504428447339933,0.08530285315359265,0.287276113362239,-0.031378236829255
1854,0.23439222053684716,0.22947904164666966,0.06907162732136385,-0.058690485362603795
1855,-0.1866074514601337,-0.05761641953606045,-0.3137232919634698,-0.07544023236965813
1856,-0.17231680819531903,-0.4102161596601377,-0.3481782937083864,-0.08021733403603548
1857,0.16892568201831182,-0.47267007540202144,0.4643047541232619,-0.06830360060678231
1858,0.2641468405994374,0.17085285481405776,0.47561218505948943,-0.035271920759100794
1859,-0.11896039944241465,0.09816329529246559,-0.026966733016053013,-0.007932304792120703
1860,-0.2477826698939225,-0.20423233024013143,-0.2326493837661161,0.012670163681377744
1861,-0.022605551278786606,-0.8061156144176209,1.014880924864471,0.00865645521867009
1862,0.02076340671436583,-0.2442795695395148,0.7185446632644528,-0.01493854954287599
1863,-0.17438849706360315,0.12738426281080706,-0.155975410309523,-0.028892785729112802
1864,-0.16720204516940385,-0.10271353123087579,-0.29602649399808456,-0.04272445102361644
1865,0.10753176440556445,-0.19986164973539644,0.15102010963308032,-0.05382329769781791
1866,-0.060856472481702895,-0.027399714519475538,-0.007011536314465161,-0.059538201530756396
1867,-0.31278959699807274,-0.4115941525741391,-0.24603410025912353,-0.06810829358067849
1868,-0.165902354227228,-0.3739278435774054,-0.05369599616635412,-0.04900990171080366
1869,0.2004567303228555,0.05910847359172067,0.325179147665267,-0.014353831610151246
1870,0.1189649906443151,-0.2515399768426221,0.28408396656747925,-0.011927263036795921
1871,-0.18694489697679728,-0.16080358545673334,-0.2110098585449265,0.009206250283739337
1872,0.006853586473255291,-0.7103285349059547,0.42133453146364275,-0.00218303345059212
1873,0.1616185527331595,-0.0835851077013956,0.5276474425056392,-0.020523665470989272
1874,-0.13562007507584894,-0.2544186911888744,0.34273501886536906,-0.036756850325105006
1875,-0.2516447124486376,-0.5949948800706011,-0.08206662813955745,-0.06729135203249825
1876,-0.08210183733518761,-0.37668679758871804,0.25787066861032315,-0.08116410389965267
1877,0.11514071010799398,-0.39207733749157114,0.57610074323172,-0.09014942413813287
1878,0.11422803354111011,-0.0253639996496986,0.48127922619437413,-0.10154409665676667
1879,-0.10265595187087229,-0.09219223042478575,-0.05317218919707045,-0.09910032388518175
1880,-0.27034693017731115,-0.3888576970643669,-0.1730815734254776,-0.07190625621615254
1881,-0.22123594982832628,-0.5170460471963167,-0.04180773067405141,-0.03402693616988017
1882,0.0684023613087561,-0.3813415138724281,0.33198568787703664,-0.04224993991590509
1883,0.1915080256131887,-0.3729440444424199,1.2996542694193636,-0.0481201071193027
1884,-0.33598531291499967,-1.2856979732358411,2.598422751410297,-0.002566028227761308
1885,-0.4607208199566344,-0.8150467461960318,0.4305495245205435,-0.03117020353403177
1886,-0.1977865485238226,-0.5310503508306681,0.08172281973843099,-0.06258282901774237
1887,-0.047694890612490326,-0.34950796247909466,0.1445748466604755,-0.0826433352997924
1888,0.1306503822573859,-0.250004669902296,0.11258492657378838,-0.09050007451929787
1889,0.02199834509633547,-0.1038157334151606,0.0833201838966886,-0.0932871530490047
1890,-0.1832446984161038,-0.3334302066977557,-0.21297057258394148,-0.08648942546517446
1891,-0.16728915173627001,-0.4285633214832387,0.07114903587877563,-0.036949516071501876
1892,-0.09302992307755176,-0.2944854054874497,-0.08769989076304796,0.003772684709474561
1893,0.25184724695054683,-0.06535594447086623,0.005800102800151308,0.0359608904661286
1894,0.30829908078959534,0.15386873331843276,0.26463974532975953,0.07490023957097947
1895,-0.03423164162268222,0.010485750962772045,-0.209085654119761,0.03848981821511188
1896,-0.002225424204027604,-0.28588403850113764,-0.20491437623380193,-0.012127296974028923
1897,-0.06397928884916837,-0.164991942910234,-0.19327472211175234,-0.04388535332435595
1898,0.16867127662891335,-0.3613219337719329,0.24042548548392517,-0.058978232582603596
1899,0.20378183124591942,-0.0027111649213225064,0.3609543945121487,-0.07678235784476328
1900,0.08219028756741409,-0.3346885015987482,0.2653480221739244,-0.08728330055163269
1901,-0.03212131903939053,-0.27517167793638464,-0.07357935440359142,-0.10501165631728782
1902,-0.06650855728838678,-0.6942420179308044,0.6445250062941312,-0.1008273184388031
1903,-0.17487049034212987,-0.7806867336434209,1.463574968632372,-0.064875113812775
1904,-0.1086892399870294,-0.7510568894113021,0.737539073488648,-6.383819902566756e-05
1905,0.073970080571371,-0.12054174206545554,0.4628085416578358,-0.029123240652950244
1906,-0.21022168495414917,-0.48039906929685117,-0.08954760358035685,0.01865550559858775
1907,-0.27242912871400904,-0.6956446059400889,-0.28939518884712356,-0.008224821011197037
1908,0.013912013181254679,-0.48840036399454334,-0.1735841887316667,0.00869771059683444
1909,0.2633395955444371,-0.10312682722224054,0.32526279367540667,-0.023957888049494613
1910,-0.12023620042697303,-0.18213611214488878,0.060626424624047104,-0.04838175976050252
1911,-0.2708104096059287,-0.6067374365490821,-0.3011391290719132,-0.08354258493210409
1912,-0.10358622748083235,-1.0322349458087103,0.9300001296918339,-0.09707525146836815
1913,0.2583117378584916,-0.5586966596818854,1.1052134167122318,-0.0940582562213308
1914,0.15565216778566082,-0.48897315737531244,0.840513213566723,-0.06736399186434028
1915,0.02804375554450189,-0.27053254553160855,0.16197396244034223,0.010031994174028114
1916,-0.07845477277533064,-0.6580689782848594,0.1907783196228081,0.0728905291123283
1917,0.12763979271363723,-0.5889370390006263,0.17008488256691123,0.11365316931443203
1918,0.3145243768374826,-0.31211573377385093,0.4364021106866858,0.12212140177950914
1919,0.07376347510438563,-0.26986516574160646,0.3297770761676446,0.05731671225106538
1920,0.10234743332773633,-0.41338828733438504,0.24136293769531392,-0.0024544334227698528
1921,0.11357942936064092,-0.742753229828196,0.7275202077479008,-0.03994001193808572
1922,-0.04800640969324377,-0.5503419015549582,0.30353449865928894,-0.07424363617798235
1923,-0.08425951504278828,-0.5609059319659764,0.1920741881457957,-0.08224558378367419
1924,-0.06871343893351423,-0.7327676612872551,0.43797530663785267,-0.0673107702591551
1925,-0.08576491950617537,-0.5570966222635434,0.4041659877830739,-0.025712440000916104
1926,0.09720201846158716,-0.6847706341097535,0.5777982197687379,0.02952723107904376
1927,0.12294537706787878,-0.5608771045753258,0.7615305985647041,0.07579351003096235
1928,0.3310740701463146,-0.5903534646665491,0.5782076008210453,0.04545388183629484
1929,0.39924893313235543,-0.3749578814447432,0.8719562374199086,0.030144287632083433
1930,0.10102401027802443,-0.2784185882557324,0.4355927470254386,0.030808785916462966
1931,-0.22189884539250215,-0.9483421567887262,0.09473390099472567,-0.013379099656447124
1932,-0.09524956002718454,-0.9796616920367853,0.170660921735319,-0.04535317428957342
1933,0.1086963251162274,-0.95284958033821,0.6807859086997041,-0.05917542511588181
1934,0.2708556461074636,-0.4714665681923691,0.648312760592404,-0.04381473215806864
1935,0.07336692663386657,-0.11682579166179607,0.2325344681172794,0.007955356494221633
1936,-0.11850533793659679,-0.8630379182986587,0.24092970652048962,0.120592538258677
1937,0.024527842876977957,-0.6842124806826178,0.37666264178128017,0.12714780809051263
1938,0.2578546125548655,-0.25473808680973775,0.5451272586702061,0.10647709858966437
1939,0.1503680282669393,-0.5430865369382047,0.6527560658577869,0.10107234578981661
1940,-0.011185333307707879,-0.495656950802271,0.17127718327849095,0.063303152212427
1941,-0.0016830262022153875,-0.8455289352403952,0.4568413499277142,0.032390663810588194
1942,0.06935287381361377,-0.8862252590571416,0.6226394829199506,-0.004031101231134926
1943,0.30413128019392843,-0.46672434837552146,0.7838404028540822,-0.04045505654380577
