year,tas,rlut,rsut,rsdt
1850,0.4455167558034532,-2.152013375720344,-1.3109670683163017,5.684341886080802e-14
1851,0.749018298786325,-1.2311337346296511,-1.7518513770237263,5.684341886080802e-14
1852,1.031737562601279,-0.5244522654177501,-1.9849606301298337,5.684341886080802e-14
1853,1.080939064730046,-0.46368535285830603,-2.3652258121365435,5.684341886080802e-14
1854,1.3238621199657814,-0.03428007142233014,-3.0150426916735,5.684341886080802e-14
1855,1.6864171795753577,1.0997794836309822,-3.2814763185293856,5.684341886080802e-14
1856,1.7254249686063758,1.2253793302442375,-3.43386121825192,5.684341886080802e-14
1857,1.8700062437655447,1.3836043189406269,-3.4935147888029405,5.684341886080802e-14
1858,1.9245040663704458,1.342820297260289,-3.4522695754907744,5.684341886080802e-14
1859,2.0282694673634296,1.8244948351483856,-3.5193103767256417,5.684341886080802e-14
1860,2.202140812686025,2.193241449943372,-4.16801393129694,5.684341886080802e-14
1861,2.1629200551484473,2.201681724465459,-3.794262434452307,5.684341886080802e-14
1862,2.276512350445387,2.2719660503483396,-4.3850963016246425,5.684341886080802e-14
1863,2.340269314360569,2.708596818054758,-3.9969290372485347,5.684341886080802e-14
1864,2.2487193030832486,2.33900768014783,-4.4847352810239585,5.684341886080802e-14
1865,2.342233073821774,2.4316470755811963,-4.5368759952780096,5.684341886080802e-14
1866,2.5212830820657928,2.8355844682955933,-4.691572745135588,5.684341886080802e-14
1867,2.3646730682473276,2.845884548765383,-4.216177127194555,5.684341886080802e-14
1868,2.3345816371694923,2.79320747708897,-4.2774454334592065,5.684341886080802e-14
1869,2.2283357898742793,2.273237118747545,-4.09674321668615,5.684341886080802e-14
1870,2.2770757088595133,2.327228638705293,-4.272757727457005,5.684341886080802e-14
1871,2.4978254287773893,2.8613500224121253,-4.456188241266929,5.684341886080802e-14
1872,2.380845415250292,2.6385806950185042,-4.343168882108046,5.684341886080802e-14
1873,2.3627286958435434,2.5759156120056446,-4.169581424375451,5.684341886080802e-14
1874,2.3901829747831016,2.8416334149451643,-4.130575887990588,5.684341886080802e-14
1875,2.4149258340141273,2.800201321525691,-4.198909628093787,5.684341886080802e-14
1876,2.3405506341977684,2.5668411001313416,-4.280701390044044,5.684341886080802e-14
1877,2.395837122890839,2.7511271361816796,-4.5369612447166645,5.684341886080802e-14
1878,2.5562751366439898,3.165180370408194,-4.708058853881283,5.684341886080802e-14
1879,2.430501706604673,2.6479841114545195,-4.573155234403458,5.684341886080802e-14
1880,2.53470042952398,2.939626606840932,-4.69530296753824,5.684341886080802e-14
1881,2.7338207099950864,3.51642498020243,-5.233909503213525,5.684341886080802e-14
1882,2.7543051319741494,3.6220195888369915,-4.864305616487684,5.684341886080802e-14
1883,2.5588453144095524,2.997127725635039,-4.65064006521078,5.684341886080802e-14
1884,2.4828160350922985,2.6621925092694028,-4.6021346123638125,5.684341886080802e-14
1885,2.827832466268376,3.675768296476889,-5.0507172003281795,5.684341886080802e-14
1886,2.8665999965403444,3.8680962642989414,-4.800516204312203,5.684341886080802e-14
1887,2.7266161481326208,3.465859286687021,-4.967238762323262,5.684341886080802e-14
1888,2.6372196711574816,3.1976752374526143,-4.8274396731498825,5.684341886080802e-14
1889,2.780070993157892,3.514531423300184,-5.242326212493708,5.684341886080802e-14
1890,2.9204074994302687,4.094585584416336,-5.4288621252786555,5.684341886080802e-14
1891,2.868537656757894,3.713573350222191,-5.070866919804459,5.684341886080802e-14
1892,2.849160636073293,3.9307607739599746,-5.0385653425674946,5.684341886080802e-14
1893,2.8217774971032554,3.603160699504855,-5.007049740691528,5.684341886080802e-14
1894,2.8783883234932546,3.8320511357241003,-5.15935421004157,5.684341886080802e-14
1895,2.9267656130414252,3.8590929881145257,-5.114384776885601,5.684341886080802e-14
1896,2.8332656213564746,3.6371391188654343,-5.2544121085140745,5.684341886080802e-14
1897,2.927704106221995,4.042611055501084,-5.143814276377469,5.684341886080802e-14
1898,2.9788332725905775,3.882303270650681,-5.455465114253727,5.684341886080802e-14
1899,3.0403939230936885,4.261873600437752,-5.307263716869031,5.684341886080802e-14
1900,2.9516137571466743,4.027975381960232,-5.2344467142908115,5.684341886080802e-14
1901,2.9216215350662083,3.7770495726119577,-5.172349373655251,5.684341886080802e-14
1902,2.9798995345803974,4.291346501479296,-5.153391901186225,5.684341886080802e-14
1903,2.9742499551958304,3.7340420596691217,-5.362096027642423,5.684341886080802e-14
1904,2.983610579698677,4.125846966297729,-5.346097013184348,5.684341886080802e-14
1905,2.8681941374924804,3.910358802088126,-5.234166289078445,5.684341886080802e-14
